half_hour,datetime,lat,long,mod_nc_cph,swc,bwe,Mod_cv,Mod_sqrt,N0_fit,site,SiteName
2023-06-22 20:00:00,2023-06-22 20:00:00,39.18318,-107.24607,2041.6130822018101,0.21158987084595063,0.0,0.009670980886427658,103.40212763768452,3270.877487427499,270,Crys 1
2023-06-22 20:30:00,2023-06-22 20:30:00,39.18318,-107.24607,2062.268425389242,0.200932658537854,0.0,0.009633286007507586,103.80673834667235,3270.877487427499,270,Crys 1
2023-06-22 21:00:00,2023-06-22 21:00:00,39.18318,-107.24607,2061.3236873385486,0.201408724057902,0.0,0.009655628524165552,103.56653608796749,3270.877487427499,270,Crys 1
2023-06-22 21:30:00,2023-06-22 21:30:00,39.18318,-107.24607,1968.7302869643656,0.25387171224946975,0.0,0.00988277202457304,101.18618516278104,3270.877487427499,270,Crys 1
2023-06-22 22:00:00,2023-06-22 22:00:00,39.18318,-107.24607,2042.4006109925494,0.21117376423585688,0.0,0.009706545422630311,103.02326486502102,3270.877487427499,270,Crys 1
2023-06-22 22:30:00,2023-06-22 22:30:00,39.18318,-107.24607,1976.8165308658201,0.24878066996914813,0.0,0.009873667820993182,101.2794858131465,3270.877487427499,270,Crys 1
2023-06-22 23:00:00,2023-06-22 23:00:00,39.18318,-107.24607,2081.694953854937,0.19137394607131458,0.0,0.009627964063946632,103.8641184531059,3270.877487427499,270,Crys 1
2023-06-22 23:30:00,2023-06-22 23:30:00,39.18318,-107.24607,2016.334841873954,0.2253815469555092,0.0,0.009793805700631006,102.10535419704836,3270.877487427499,270,Crys 1
2023-06-23 00:00:00,2023-06-23 00:00:00,39.18318,-107.24607,2028.3137594258487,0.2187388085539014,0.0,0.00978358501598987,102.21202129542932,3270.877487427499,270,Crys 1
2023-06-23 00:30:00,2023-06-23 00:30:00,39.18318,-107.24607,2106.8224978289672,0.17962898687018342,0.0,0.009622504486493762,103.92304845413264,3270.877487427499,270,Crys 1
2023-06-23 01:00:00,2023-06-23 01:00:00,39.18318,-107.24607,2165.8809280313512,0.15447279014843082,0.0,0.009483273375284216,105.44882135384292,3270.877487427499,270,Crys 1
2023-06-23 01:30:00,2023-06-23 01:30:00,39.18318,-107.24607,2060.009963358324,0.2020724993238451,0.0,0.009716600815437005,102.91664945330216,3270.877487427499,270,Crys 1
2023-06-23 02:00:00,2023-06-23 02:00:00,39.18318,-107.24607,1925.750151203682,0.28288076898117354,0.0,0.01006116264976522,99.39209163101397,3270.877487427499,270,Crys 1
2023-06-23 02:30:00,2023-06-23 02:30:00,39.18318,-107.24607,2052.619782125336,0.20584536233388204,0.0,0.009737945687202026,102.6910636104941,3270.877487427499,270,Crys 1
2023-06-23 03:00:00,2023-06-23 03:00:00,39.18318,-107.24607,2061.185180589112,0.20147860890608255,0.0,0.009727853396874634,102.79760181432012,3270.877487427499,270,Crys 1
2023-06-23 03:30:00,2023-06-23 03:30:00,39.18318,-107.24607,2010.3911508353492,0.22875197038931908,0.0,0.009835989409092437,101.66745391933782,3270.877487427499,270,Crys 1
2023-06-23 04:00:00,2023-06-23 04:00:00,39.18318,-107.24607,2029.3919745444127,0.21815050679144884,0.0,0.009782476829631974,102.22360015930862,3270.877487427499,270,Crys 1
2023-06-23 04:30:00,2023-06-23 04:30:00,39.18318,-107.24607,2027.2097145863036,0.2193428257271189,0.0,0.009730850173885548,102.76594358462906,3270.877487427499,270,Crys 1
2023-06-23 05:00:00,2023-06-23 05:00:00,39.18318,-107.24607,2025.525109271268,0.2202676423761173,0.0,0.009731236802019037,102.76186062932103,3270.877487427499,270,Crys 1
2023-06-23 05:30:00,2023-06-23 05:30:00,39.18318,-107.24607,2098.626082610222,0.18338654898571968,0.0,0.009563846389685497,104.56044140132667,3270.877487427499,270,Crys 1
2023-06-23 06:00:00,2023-06-23 06:00:00,39.18318,-107.24607,2146.95664399206,0.16218587555317932,0.0,0.009488963395116201,105.38558938004566,3270.877487427499,270,Crys 1
2023-06-23 06:30:00,2023-06-23 06:30:00,39.18318,-107.24607,2040.6596410991472,0.21209470506558292,0.0,0.009710685064607271,102.97934629192333,3270.877487427499,270,Crys 1
2023-06-23 07:00:00,2023-06-23 07:00:00,39.18318,-107.24607,2086.7745479347373,0.18894496271264083,0.0,0.009606399865187524,104.09726994853543,3270.877487427499,270,Crys 1
2023-06-23 07:30:00,2023-06-23 07:30:00,39.18318,-107.24607,2076.6719656857385,0.19380408021016113,0.0,0.009633358978931238,103.80595202432121,3270.877487427499,270,Crys 1
2023-06-23 08:00:00,2023-06-23 08:00:00,39.18318,-107.24607,2076.626517440712,0.19382619779175045,0.0,0.009639080733899682,103.74433284733266,3270.877487427499,270,Crys 1
2023-06-23 08:30:00,2023-06-23 08:30:00,39.18318,-107.24607,2064.393628112652,0.19986562050648707,0.0,0.009627890719485659,103.86490968121643,3270.877487427499,270,Crys 1
2023-06-23 09:00:00,2023-06-23 09:00:00,39.18318,-107.24607,2106.591551312405,0.17973391415722378,0.0,0.009523809523809525,105.0,3270.877487427499,270,Crys 1
2023-06-23 09:30:00,2023-06-23 09:30:00,39.18318,-107.24607,2096.5692470669933,0.18434047304646425,0.0,0.009531698915904236,104.913091446,3270.877487427499,270,Crys 1
2023-06-23 10:00:00,2023-06-23 10:00:00,39.18318,-107.24607,2095.5788590729094,0.18480139021357667,0.0,0.009537535895848097,104.84888454630324,3270.877487427499,270,Crys 1
2023-06-23 10:30:00,2023-06-23 10:30:00,39.18318,-107.24607,2060.282018503681,0.2019348703514249,0.0,0.009622504486493762,103.92304845413264,3270.877487427499,270,Crys 1
