half_hour,datetime,lat,long,mod_nc_cph,swc,bwe,Mod_cv,Mod_sqrt,N0_fit,site,SiteName
2023-06-22 19:00:00,2023-06-22 19:00:00,39.332739,-106.978789,15249.978305529,-0.14763814214036344,0.0,0.0037267799624996494,268.32815729997475,3663.214541506838,271,RF5
2023-06-22 19:30:00,2023-06-22 19:30:00,39.332739,-106.978789,15326.077057026627,-0.14775585508562294,0.0,0.0037267799624996494,268.32815729997475,3663.214541506838,271,RF5
2023-06-23 01:30:00,2023-06-23 01:30:00,39.332739,-106.978789,14849.73792436379,-0.1469971665334628,0.0,0.003836235584322907,260.6722079547415,3663.214541506838,271,RF5
2023-06-28 14:00:00,2023-06-28 14:00:00,39.332739,-106.978789,2511.1938511816825,0.0919371141811788,0.0,0.009254499937814388,108.0555412739208,3663.214541506838,271,RF5
2023-06-28 14:30:00,2023-06-28 14:30:00,39.332739,-106.978789,2484.099508154093,0.09824748678033335,0.0,0.00930725988812425,107.44300814850634,3663.214541506838,271,RF5
2023-06-30 18:30:00,2023-06-30 18:30:00,39.332739,-106.978789,2079.978890325729,0.24895385541397466,0.0,0.010269015283712423,97.38032054408269,3663.214541506838,271,RF5
2023-06-30 19:30:00,2023-06-30 19:30:00,39.332739,-106.978789,2569.2216233029403,0.07937574167679651,0.0,0.009209840100244181,108.5795181149222,3663.214541506838,271,RF5
2023-06-30 20:00:00,2023-06-30 20:00:00,39.332739,-106.978789,2576.8122875804775,0.07782138573254213,0.0,0.009186304243492507,108.8577052853862,3663.214541506838,271,RF5
2023-06-30 20:30:00,2023-06-30 20:30:00,39.332739,-106.978789,2656.4775150024175,0.06260839426289472,0.0,0.009059517220319521,110.38115781237303,3663.214541506838,271,RF5
2023-06-30 21:00:00,2023-06-30 21:00:00,39.332739,-106.978789,2586.552078562205,0.07585519144068587,0.0,0.009176473818140823,108.9743206179171,3663.214541506838,271,RF5
2023-06-30 21:30:00,2023-06-30 21:30:00,39.332739,-106.978789,2592.5126575245804,0.07466727726927055,0.0,0.00919795460231938,108.71982339941506,3663.214541506838,271,RF5
2023-06-30 22:00:00,2023-06-30 22:00:00,39.332739,-106.978789,2659.9144631073286,0.061994115492555686,0.0,0.009090157869233562,110.00909053346456,3663.214541506838,271,RF5
2023-06-30 22:30:00,2023-06-30 22:30:00,39.332739,-106.978789,2571.107731026411,0.0789876962458404,0.0,0.009254692704880397,108.05329057253915,3663.214541506838,271,RF5
2023-06-30 23:00:00,2023-06-30 23:00:00,39.332739,-106.978789,2639.2941530368257,0.0657291493472449,0.0,0.009126427969889892,109.57189420649804,3663.214541506838,271,RF5
2023-06-30 23:30:00,2023-06-30 23:30:00,39.332739,-106.978789,2610.8287326513123,0.0710879741940873,0.0,0.009203406627203578,108.65541864076545,3663.214541506838,271,RF5
2023-07-01 00:00:00,2023-07-01 00:00:00,39.332739,-106.978789,2633.1952173772743,0.06685710561494976,0.0,0.009166450359313088,109.09348338792918,3663.214541506838,271,RF5
2023-07-01 00:30:00,2023-07-01 00:30:00,39.332739,-106.978789,2599.6750147035364,0.07325499815848013,0.0,0.00922531208028885,108.39741694339399,3663.214541506838,271,RF5
2023-07-01 01:00:00,2023-07-01 01:00:00,39.332739,-106.978789,2537.1677701197436,0.08616103895990833,0.0,0.009335607349326093,107.11675872616759,3663.214541506838,271,RF5
2023-07-01 01:30:00,2023-07-01 01:30:00,39.332739,-106.978789,2624.46952898901,0.06848982213999233,0.0,0.009181111133598008,108.91927844556082,3663.214541506838,271,RF5
2023-07-01 02:00:00,2023-07-01 02:00:00,39.332739,-106.978789,2648.7068724664628,0.06400932931398523,0.0,0.009121870452517103,109.62663909835054,3663.214541506838,271,RF5
2023-07-01 02:30:00,2023-07-01 02:30:00,39.332739,-106.978789,2607.5152909428125,0.07172767863982976,0.0,0.009190182776172597,108.81176406988355,3663.214541506838,271,RF5
2023-07-01 03:00:00,2023-07-01 03:00:00,39.332739,-106.978789,2540.4459187015327,0.08545015140461337,0.0,0.009256277548235603,108.03478988058393,3663.214541506838,271,RF5
2023-07-01 03:30:00,2023-07-01 03:30:00,39.332739,-106.978789,2538.362742457089,0.08590144236456548,0.0,0.009279968166051804,107.75899034419355,3663.214541506838,271,RF5
2023-07-01 04:00:00,2023-07-01 04:00:00,39.332739,-106.978789,2570.1578831071884,0.07918296523160069,0.0,0.009219037424177585,108.47119433287347,3663.214541506838,271,RF5
2023-07-01 04:30:00,2023-07-01 04:30:00,39.332739,-106.978789,2556.043785524306,0.08212115810891837,0.0,0.00924599059415969,108.15498780970627,3663.214541506838,271,RF5
2023-07-01 05:00:00,2023-07-01 05:00:00,39.332739,-106.978789,2551.8089742017823,0.08301634079462307,0.0,0.00925212302755615,108.08330120791094,3663.214541506838,271,RF5
2023-07-01 05:30:00,2023-07-01 05:30:00,39.332739,-106.978789,2541.3185275378337,0.08526158700487033,0.0,0.009264025931008332,107.94443014810908,3663.214541506838,271,RF5
2023-07-01 06:00:00,2023-07-01 06:00:00,39.332739,-106.978789,2518.405973609056,0.09030724671798732,0.0,0.009313072421206565,107.3759501454026,3663.214541506838,271,RF5
2023-07-01 06:30:00,2023-07-01 06:30:00,39.332739,-106.978789,2550.9474431565277,0.08319923807678771,0.0,0.009239477030834173,108.23123393919151,3663.214541506838,271,RF5
2023-07-01 07:00:00,2023-07-01 07:00:00,39.332739,-106.978789,2518.5202291903715,0.09028158977144651,0.0,0.009300816647554057,107.5174404457249,3663.214541506838,271,RF5
