half_hour,datetime,lat,long,mod_nc_cph,swc,bwe,Mod_cv,Mod_sqrt,N0_fit,Rhov_g_cm3,site,SiteName
2023-07-01 00:30:00,2023-07-01 00:30:00,39.22661,-106.76609,1880.2228624496827,0.207183837890625,0.0,0.008026499083676857,124.58731877683218,5397.8283189725325,5.634476259266392e-06,R1,RF 2
2023-07-01 01:00:00,2023-07-01 01:00:00,39.22661,-106.76609,1884.4229837946284,0.204498291015625,0.0,0.008014632045468767,124.77179168385777,5397.8283189725325,6.111165515783396e-06,R1,RF 2
2023-07-01 01:30:00,2023-07-01 01:30:00,39.22661,-106.76609,1839.7495411871873,0.235076904296875,0.0,0.008108404256841999,123.32882874656678,5397.8283189725325,5.90499251623134e-06,R1,RF 2
2023-07-01 02:00:00,2023-07-01 02:00:00,39.22661,-106.76609,1878.9281055526171,0.207977294921875,0.0,0.008025465074128777,124.60337074092338,5397.8283189725325,5.986336000032097e-06,R1,RF 2
2023-07-01 02:30:00,2023-07-01 02:30:00,39.22661,-106.76609,1873.0898699881802,0.211761474609375,0.0,0.008046742493087794,124.27389106324787,5397.8283189725325,5.9066863183362605e-06,R1,RF 2
2023-07-01 03:00:00,2023-07-01 03:00:00,39.22661,-106.76609,1913.7618812227233,0.187164306640625,0.0,0.007943014707895376,125.89678312014172,5397.8283189725325,6.175344919802274e-06,R1,RF 2
2023-07-01 03:30:00,2023-07-01 03:30:00,39.22661,-106.76609,1877.9785261099516,0.208587646484375,0.0,0.008032711545198,124.49096352747857,5397.8283189725325,5.940463693518443e-06,R1,RF 2
2023-07-01 04:00:00,2023-07-01 04:00:00,39.22661,-106.76609,1875.768494516493,0.210052490234375,0.0,0.008046221516589685,124.28193754524428,5397.8283189725325,5.5947439901448686e-06,R1,RF 2
2023-07-01 04:30:00,2023-07-01 04:30:00,39.22661,-106.76609,1816.338080482596,0.253631591796875,0.0,0.008185729324082259,122.1638244326036,5397.8283189725325,5.425503596228892e-06,R1,RF 2
2023-07-01 05:00:00,2023-07-01 05:00:00,39.22661,-106.76609,1905.6701731570952,0.191741943359375,0.0,0.00799156535812377,125.13193037750196,5397.8283189725325,5.248233588887313e-06,R1,RF 2
2023-07-01 05:30:00,2023-07-01 05:30:00,39.22661,-106.76609,1848.826237038937,0.228424072265625,0.0,0.008110537486096702,123.29639086364207,5397.8283189725325,5.16519705612305e-06,R1,RF 2
2023-07-01 06:00:00,2023-07-01 06:00:00,39.22661,-106.76609,1903.445585053725,0.193084716796875,0.0,0.007989524611063396,125.16389255691915,5397.8283189725325,5.1913886528602855e-06,R1,RF 2
2023-07-01 06:30:00,2023-07-01 06:30:00,39.22661,-106.76609,1866.2167218307943,0.216339111328125,0.0,0.008051435839939499,124.2014492669067,5397.8283189725325,5.078153054577033e-06,R1,RF 2
2023-07-01 07:00:00,2023-07-01 07:00:00,39.22661,-106.76609,1836.5705703818467,0.237518310546875,0.0,0.008113206391853924,123.25583150504482,5397.8283189725325,5.032320224770776e-06,R1,RF 2
2023-07-01 07:30:00,2023-07-01 07:30:00,39.22661,-106.76609,1883.3138656683652,0.205230712890625,0.0,0.008008975080953745,124.85992151206888,5397.8283189725325,5.106305639516232e-06,R1,RF 2
