,Date,DateTime,Raw_Moderated_cph,Raw_Mod_Coeff_of_Var,Raw_Mod_sqrt,Corrected_Mod_cph_for_Des,SWC_Des_cm3_cm3,Corrected_Mod_cph_for_UTS,SWC_UTS_cm3_cm3,Rhov_g_cm3,BaroPress_mb,SWC_5,SWC_10,SWC_20,SWC_50,WeightedTDR_SWC,WeightedTDR_SD,WeightedTDR_SE,sT_5,sT_10,sT_20,sT_50,BaroPress,airRH,airT,date,CRNS,Bare
1781,1781,2023-08-07 03:30:00,12354.0,0.0089969685323208,111.14854924829204,2273.701373981672,0.0781327972142086,2197.20406931065,0.072357177734375,6.447360866264586e-06,764.4,0.03,0.027,0.035,0.032,0.0304629306338466,0.0260855008874678,0.0123316534673662,14.3,14.8,13.0,11.2,764.4,61.3,11.8,2023-08-07,0.072357177734375,1096.1726083325307
1782,1782,2023-08-07 04:00:00,12166.0,0.009066216671133,110.29959202100432,2250.259497248301,0.0839356954076505,2166.919464236642,0.078704833984375,7.122248750504617e-06,764.6,0.03,0.027,0.035,0.032,0.0304629306338466,0.0260855008874678,0.0123316534673662,13.8,14.6,13.0,11.2,764.6,69.0,11.5,2023-08-07,0.078704833984375,1096.1726083325307
1783,1783,2023-08-07 04:30:00,11988.0,0.0091332770725198,109.48972554536796,2216.068178493518,0.0929132763034281,2135.215398427492,0.085784912109375,7.012284128473018e-06,764.6,0.03,0.027,0.035,0.032,0.0304629306338466,0.0260855008874678,0.0123316534673662,13.3,14.4,13.0,11.2,764.6,74.2,10.1,2023-08-07,0.085784912109375,1096.1726083325307
1784,1784,2023-08-07 05:00:00,12168.0,0.0090654715536736,110.3086578651014,2239.2352915548176,0.0867613687397506,2161.2997456978505,0.079925537109375,6.677698695314894e-06,764.6,0.03,0.027,0.035,0.032,0.0304629306338466,0.0260855008874678,0.0123316534673662,12.9,14.1,13.0,11.3,764.6,65.1,11.4,2023-08-07,0.079925537109375,1096.1726083325307
1785,1785,2023-08-07 05:30:00,11644.0,0.0092672078050265,107.90736768172968,2140.360814467191,0.1152917186106385,2063.7151712245013,0.103790283203125,6.877711534733429e-06,764.3,0.03,0.027,0.035,0.032,0.0304629306338466,0.0260855008874678,0.0123316534673662,12.6,13.9,13.0,11.3,764.3,62.6,12.5,2023-08-07,0.103790283203125,1096.1726083325307
1786,1786,2023-08-07 06:00:00,12182.0,0.0090602608704106,110.37209792334292,2223.2604977091823,0.0909715031769603,2151.530948016784,0.082061767578125,6.173859574402486e-06,764.2,0.03,0.027,0.035,0.032,0.0304629306338466,0.0260855008874678,0.0123316534673662,12.4,13.7,12.9,11.3,764.2,55.5,12.7,2023-08-07,0.082061767578125,1096.1726083325307
1787,1787,2023-08-07 06:30:00,12068.0,0.0091029540237716,109.85444915887568,2209.7142017524966,0.0946533524074931,2139.586363382797,0.084747314453125,6.069695038903187e-06,764.6,0.03,0.027,0.035,0.032,0.0304629306338466,0.0260855008874678,0.0123316534673662,12.2,13.5,12.9,11.3,764.6,52.9,13.2,2023-08-07,0.084747314453125,1096.1726083325307
1788,1788,2023-08-07 07:00:00,11976.0,0.0091378517169702,109.43491216243562,2194.5598371001624,0.0988996539456087,2124.821183874385,0.088226318359375,6.0779539992313854e-06,764.7,0.03,0.026,0.035,0.032,0.030155186717033,0.0264347328302819,0.0124967492927098,12.0,13.4,12.9,11.3,764.7,54.3,12.8,2023-08-07,0.088226318359375,1096.1726083325307
1789,1789,2023-08-07 07:30:00,12126.0,0.0090811577107205,110.11811840019789,2224.133835617471,0.0907377064624369,2153.0010641388344,0.081756591796875,6.118313491998061e-06,764.8,0.03,0.026,0.035,0.032,0.030155186717033,0.0264347328302819,0.0124967492927098,11.9,13.2,12.8,11.3,764.8,60.4,11.2,2023-08-07,0.081756591796875,1096.1726083325307
1790,1790,2023-08-07 08:00:00,12020.0,0.009121111529894,109.63576058932595,2196.813151847571,0.0982595119651887,2125.172983662763,0.088104248046875,6.242643734881404e-06,764.6,0.03,0.026,0.035,0.032,0.030155186717033,0.0264347328302819,0.0124967492927098,11.6,13.1,12.8,11.3,764.6,64.0,10.6,2023-08-07,0.088104248046875,1096.1726083325307
1791,1791,2023-08-07 08:30:00,12104.0,0.0090894068337574,110.01818031580054,2209.063431238262,0.0948328944461574,2138.4674946111404,0.085052490234375,6.113406741304034e-06,764.5,0.03,0.026,0.035,0.032,0.030155186717033,0.0264347328302819,0.0124967492927098,11.4,12.9,12.7,11.3,764.5,65.1,10.0,2023-08-07,0.085052490234375,1096.1726083325307
1792,1792,2023-08-07 09:00:00,11988.0,0.0091332770725198,109.48972554536796,2181.716069024145,0.1026086182007927,2117.130548243644,0.090057373046875,5.649288673266207e-06,764.7,0.03,0.026,0.035,0.032,0.030155186717033,0.0264347328302819,0.0124967492927098,11.2,12.8,12.7,11.3,764.7,62.1,9.5,2023-08-07,0.090057373046875,1096.1726083325307
1793,1793,2023-08-07 09:30:00,12144.0,0.0090744251080078,110.19981851164728,2199.350711531396,0.0975423215469371,2135.1682509403336,0.085784912109375,5.5666062123967565e-06,764.6,0.03,0.026,0.035,0.032,0.030155186717033,0.0264347328302819,0.0124967492927098,10.9,12.6,12.6,11.3,764.6,64.4,8.7,2023-08-07,0.085784912109375,1096.1726083325307
1794,1794,2023-08-07 10:00:00,12172.0,0.009063981869734,110.3267873184024,2205.1046096611853,0.0959304636841379,2136.978374963044,0.085357666015625,5.903648598579216e-06,764.4,0.029,0.026,0.035,0.032,0.0298031826940977,0.0268341917378076,0.0126855894013706,10.6,12.5,12.6,11.4,764.4,67.0,9.0,2023-08-07,0.085357666015625,1096.1726083325307
1795,1795,2023-08-07 10:30:00,12254.0,0.0090336042752633,110.69778678907724,2217.9058733690963,0.09241434538603,2154.508543068416,0.081390380859375,5.449152842651301e-06,764.6,0.029,0.026,0.035,0.032,0.0298031826940977,0.0268341917378076,0.0126855894013706,10.3,12.3,12.5,11.3,764.6,59.9,9.5,2023-08-07,0.081390380859375,1096.1726083325307
1796,1796,2023-08-07 11:00:00,11980.0,0.0091363260717944,109.45318634009702,2176.3967064924977,0.1041753834640623,2112.640308002397,0.091156005859375,5.588618382602775e-06,764.5,0.029,0.026,0.035,0.032,0.0298031826940977,0.0268341917378076,0.0126855894013706,10.1,12.2,12.4,11.3,764.5,69.4,7.6,2023-08-07,0.091156005859375,1096.1726083325307
1797,1797,2023-08-07 11:30:00,12004.0,0.0091271882204614,109.5627673984187,2178.977464622022,0.103412965398995,2116.8726425092464,0.090118408203125,5.432964058817797e-06,764.5,0.029,0.026,0.035,0.032,0.0298031826940977,0.0268341917378076,0.0126855894013706,9.8,12.0,12.4,11.3,764.5,73.9,6.2,2023-08-07,0.090118408203125,1096.1726083325307
1798,1798,2023-08-07 12:00:00,11930.0,0.0091554517491454,109.22453936730518,2163.238533310668,0.1081308528299703,2101.4486300551634,0.093902587890625,5.445088932126284e-06,764.6,0.029,0.026,0.035,0.032,0.0298031826940977,0.0268341917378076,0.0126855894013706,9.5,11.9,12.3,11.3,764.6,70.3,7.0,2023-08-07,0.093902587890625,1096.1726083325307
1799,1799,2023-08-07 12:30:00,11874.0,0.0091770157636212,108.96788517723928,2158.8226631696325,0.1094844491281071,2096.156095224473,0.095245361328125,5.536286165082382e-06,764.9,0.029,0.026,0.035,0.032,0.0298031826940977,0.0268341917378076,0.0126855894013706,9.1,11.7,12.3,11.3,764.9,76.8,5.9,2023-08-07,0.095245361328125,1096.1726083325307
1800,1800,2023-08-07 13:00:00,11794.0,0.0092080875158475,108.60018416190648,2145.8898575963094,0.113526951325276,2083.54929303778,0.098480224609375,5.540809152390394e-06,765.0,0.029,0.026,0.035,0.032,0.0298031826940977,0.0268341917378076,0.0126855894013706,8.8,11.6,12.2,11.4,765.0,84.3,4.5,2023-08-07,0.098480224609375,1096.1726083325307
1801,1801,2023-08-07 13:30:00,12068.0,0.0091029540237716,109.85444915887568,2203.7344061469066,0.0963125077975482,2139.7269646327204,0.084747314453125,5.539599260071511e-06,765.5,0.029,0.026,0.035,0.032,0.0298031826940977,0.0268341917378076,0.0126855894013706,8.6,11.4,12.2,11.4,765.5,81.0,5.1,2023-08-07,0.084747314453125,1096.1726083325307
1802,1802,2023-08-07 14:00:00,11908.0,0.0091639051835429,109.12378292562992,2186.4615678310656,0.1012261712573366,2116.1244613953704,0.090301513671875,6.155304339752941e-06,765.3,0.029,0.025,0.035,0.032,0.0294954387772841,0.0271834236806217,0.0128506852267142,8.4,11.3,12.1,11.4,765.3,82.1,6.5,2023-08-07,0.090301513671875,1096.1726083325307
1803,1803,2023-08-07 14:30:00,12072.0,0.0091014457884826,109.87265355856296,2205.222893347093,0.0958975357808416,2139.032024303031,0.084869384765625,5.730427689827061e-06,764.9,0.029,0.025,0.035,0.032,0.0294954387772841,0.0271834236806217,0.0128506852267142,8.4,11.1,12.0,11.4,764.9,63.8,9.3,2023-08-07,0.084869384765625,1096.1726083325307
1804,1804,2023-08-07 15:00:00,12120.0,0.0090834052439094,110.09087155618307,2219.397631611374,0.0920107508129114,2143.560201219216,0.083892822265625,6.5517024355800405e-06,764.9,0.029,0.025,0.035,0.032,0.0294954387772841,0.0271834236806217,0.0128506852267142,8.6,11.0,12.0,11.3,764.9,56.4,13.4,2023-08-07,0.083892822265625,1096.1726083325307
1805,1805,2023-08-07 15:30:00,11866.0,0.0091801087922779,108.93117092916977,2179.467622428031,0.1032686480745084,2105.5936619631925,0.092864990234375,6.497152464017719e-06,765.1,0.029,0.025,0.034,0.032,0.0292602193560222,0.0274503538488129,0.012976873730754,9.0,10.9,11.9,11.3,765.1,48.3,15.8,2023-08-07,0.092864990234375,1096.1726083325307
1806,1806,2023-08-07 16:00:00,12090.0,0.0090946679949733,109.95453605922768,2223.4058995506225,0.090932548800325,2143.781116497149,0.083831787109375,6.878188300856447e-06,765.0,0.029,0.025,0.034,0.032,0.0292602193560222,0.0274503538488129,0.012976873730754,9.5,10.8,11.8,11.3,765.0,47.0,17.2,2023-08-07,0.083831787109375,1096.1726083325307
1807,1807,2023-08-07 16:30:00,12212.0,0.009049125308576,110.50791826833044,2238.504186859831,0.0869510284890986,2163.838558713437,0.079376220703125,6.390018386343582e-06,764.9,0.029,0.025,0.034,0.032,0.0292602193560222,0.0274503538488129,0.012976873730754,9.9,10.8,11.8,11.3,764.9,39.7,18.8,2023-08-07,0.079376220703125,1096.1726083325307
1808,1808,2023-08-07 17:00:00,11910.0,0.009163135721752,109.1329464460664,2194.7288756303283,0.0988515241215836,2115.882611261741,0.090362548828125,6.9007420310287775e-06,764.5,0.029,0.025,0.034,0.032,0.0292602193560222,0.0274503538488129,0.012976873730754,10.5,10.9,11.7,11.3,764.5,38.8,20.5,2023-08-07,0.090362548828125,1096.1726083325307
1809,1809,2023-08-07 17:30:00,12170.0,0.0090647266198991,110.3177229641729,2243.4076164699227,0.0856844367023149,2160.500174875823,0.080108642578125,7.106331257629124e-06,764.4,0.029,0.025,0.034,0.032,0.0292602193560222,0.0274503538488129,0.012976873730754,11.1,10.9,11.6,11.3,764.4,36.0,22.3,2023-08-07,0.080108642578125,1096.1726083325307
1810,1810,2023-08-07 18:00:00,12114.0,0.0090856544466786,110.06361796706484,2222.4501866376254,0.0911888093721754,2153.7720085239184,0.081573486328125,5.905073091224895e-06,764.1,0.03,0.025,0.034,0.032,0.0296122233789574,0.0270508949412872,0.0127880336220933,11.9,11.0,11.6,11.3,764.1,27.3,23.9,2023-08-07,0.081573486328125,1096.1726083325307
1811,1811,2023-08-07 18:30:00,11890.0,0.0091708390738664,109.04127658827184,2193.6303908519453,0.09916460589409,2114.7449340275944,0.090606689453125,6.907886476225415e-06,763.9,0.03,0.025,0.034,0.032,0.0296122233789574,0.0270508949412872,0.0127880336220933,13.0,11.2,11.6,11.3,763.9,34.2,22.7,2023-08-07,0.090606689453125,1096.1726083325307
1812,1812,2023-08-07 19:00:00,12178.0,0.0090617487201407,110.35397591387454,2229.9857041916453,0.0891820685213343,2162.817861642822,0.079559326171875,5.751057257981572e-06,763.7,0.03,0.025,0.034,0.031,0.0295071907399682,0.0271700873950419,0.0128443806342503,14.1,11.4,11.5,11.3,763.7,27.2,23.5,2023-08-07,0.079559326171875,1096.1726083325307
1813,1813,2023-08-07 19:30:00,12274.0,0.0090262413232899,110.78808600206072,2249.986249348763,0.0840049674064078,2175.1131577349583,0.076934814453125,6.374559082860928e-06,763.4,0.03,0.025,0.034,0.031,0.0295071907399682,0.0271700873950419,0.0128443806342503,15.0,11.8,11.5,11.3,763.4,31.2,22.9,2023-08-07,0.076934814453125,1096.1726083325307
1814,1814,2023-08-07 20:00:00,12130.0,0.0090796602817862,110.13627921806692,2208.395424615412,0.0950174498285306,2146.870358570221,0.083099365234375,5.307041807916818e-06,763.1,0.03,0.026,0.034,0.031,0.0298149346567819,0.0268208554522278,0.0126792848089067,16.1,12.2,11.5,11.3,763.1,25.1,23.5,2023-08-07,0.083099365234375,1096.1726083325307
1815,1815,2023-08-07 20:30:00,12314.0,0.0090115692698269,110.9684639886486,2237.665306860616,0.0871689986139638,2176.266151831476,0.076690673828125,5.224643081783192e-06,762.9,0.03,0.026,0.034,0.031,0.0298149346567819,0.0268208554522278,0.0126792848089067,17.4,12.6,11.6,11.3,762.9,21.7,25.8,2023-08-07,0.076690673828125,1096.1726083325307
1816,1816,2023-08-07 21:00:00,12282.0,0.0090233011794584,110.82418508610834,2216.945559108713,0.0926748283260661,2164.6529976818583,0.079193115234375,4.473607401283339e-06,762.9,0.03,0.026,0.034,0.031,0.0298149346567819,0.0268208554522278,0.0126792848089067,19.1,13.0,11.6,11.3,762.9,20.8,23.8,2023-08-07,0.079193115234375,1096.1726083325307
1817,1817,2023-08-07 21:30:00,12468.0,0.0089557426064856,111.66019881766287,2253.3491882536714,0.0831550866912892,2195.836032370325,0.072601318359375,4.850355065603378e-06,762.8,0.03,0.026,0.034,0.031,0.0298149346567819,0.0268208554522278,0.0126792848089067,20.0,13.6,11.7,11.3,762.8,19.7,26.2,2023-08-07,0.072601318359375,1096.1726083325307
1818,1818,2023-08-07 22:00:00,12604.0,0.0089072943196992,112.26753760548952,2269.185482229976,0.0792295785986014,2213.3351778816013,0.069122314453125,4.67287966899874e-06,762.4,0.03,0.026,0.034,0.031,0.0298149346567819,0.0268208554522278,0.0126792848089067,20.6,14.1,11.8,11.2,762.4,19.3,25.9,2023-08-07,0.069122314453125,1096.1726083325307
1819,1819,2023-08-07 22:30:00,12440.0,0.0089658157515104,111.53474794878947,2226.9045358933563,0.0899987912210863,2182.946499714472,0.075286865234375,3.7290776806617033e-06,762.3,0.03,0.026,0.034,0.031,0.0298149346567819,0.0268208554522278,0.0126792848089067,21.1,14.5,11.9,11.2,762.3,16.2,25.0,2023-08-07,0.075286865234375,1096.1726083325307
1820,1820,2023-08-07 23:00:00,12500.0,0.0089442719099991,111.80339887498948,2232.037180201085,0.0886411762445548,2179.388642724318,0.076019287109375,4.473607401283339e-06,762.3,0.03,0.027,0.034,0.031,0.0301226785735955,0.0264716235094137,0.0125141889835631,20.7,15.0,12.0,11.2,762.3,20.8,23.8,2023-08-07,0.076019287109375,1096.1726083325307
