,Date,DateTime,Raw_Moderated_cph,Raw_Mod_Coeff_of_Var,Raw_Mod_sqrt,Corrected_Mod_cph_for_Des,SWC_Des_cm3_cm3,Corrected_Mod_cph_for_UTS,SWC_UTS_cm3_cm3,Rhov_g_cm3,BaroPress_mb,SWC_5,SWC_10,WeightedTDR_SWC,WeightedTDR_SD,WeightedTDR_SE,sT_5,sT_10,BaroPress,airRH,airT,date,CRNS,Bare
0,0,2023-07-01 01:00:00,11770.0,0.0092174707596367,108.48963084092416,2607.891179729153,0.0632213129597813,2506.1117334257533,0.055450439453125,7.520832116282402e-06,793.1,0.02,0.069,0.0422762156641192,0.0,0.0,22.6,22.1,793.1,51.7,17.1,2023-07-01,0.055450439453125,850.6119195789416
1,1,2023-07-01 01:30:00,12136.0,0.0090774155266449,110.16351483136329,2696.7880891339178,0.0447138062179464,2587.8058815403724,0.042938232421875,7.798842424412425e-06,793.3,0.02,0.069,0.0422762156641192,0.0,0.0,21.7,21.8,793.3,59.4,15.4,2023-07-01,0.042938232421875,850.6119195789416
2,2,2023-07-01 02:00:00,12094.0,0.0090931638739021,109.97272389097216,2689.627434348969,0.0461168897030914,2576.410277802753,0.044586181640625,8.137733450990453e-06,793.3,0.019,0.069,0.0313685485882494,0.0133775540856707,0.0077447887173914,20.7,21.5,793.3,67.1,14.1,2023-07-01,0.044586181640625,850.6119195789416
3,3,2023-07-01 02:30:00,11700.0,0.0092450032704204,108.16653826391968,2614.154166443556,0.0618354168876776,2503.383600684459,0.055877685546875,8.194136818487393e-06,793.9,0.019,0.069,0.0313685485882494,0.0133775540856707,0.0077447887173914,19.8,21.2,793.9,68.4,13.9,2023-07-01,0.055877685546875,850.6119195789416
4,4,2023-07-01 03:00:00,11642.0,0.0092680037859432,107.89810007595128,2590.2235454834995,0.0672033939674501,2480.428300499866,0.059783935546875,8.197154003866752e-06,794.1,0.019,0.068,0.0309139319420429,0.0139351122445852,0.0080675809192242,19.0,20.9,794.1,69.7,13.6,2023-07-01,0.059783935546875,850.6119195789416
5,5,2023-07-01 03:30:00,11884.0,0.0091731538706911,109.01376059929316,2646.752059975001,0.0548302118202159,2536.811318554635,0.050567626953125,8.02558566749338e-06,794.1,0.018,0.068,0.0309139319420429,0.0139351122445852,0.0080675809192242,18.4,20.5,794.1,71.7,12.8,2023-07-01,0.050567626953125,850.6119195789416
6,6,2023-07-01 04:00:00,11774.0,0.0092159048935318,108.5080642164443,2631.003358310862,0.0581717193394403,2522.492926734072,0.052825927734375,7.966137051606752e-06,794.6,0.018,0.068,0.0309139319420429,0.0139351122445852,0.0080675809192242,17.7,20.2,794.6,74.8,12.0,2023-07-01,0.052825927734375,850.6119195789416
7,7,2023-07-01 04:30:00,11758.0,0.0092221731512832,108.43431191278891,2633.984585246412,0.0575331175271606,2528.2486472223545,0.051910400390625,7.744779883587242e-06,795.1,0.018,0.068,0.0309139319420429,0.0139351122445852,0.0080675809192242,16.8,19.9,795.1,79.4,10.6,2023-07-01,0.051910400390625,850.6119195789416
8,8,2023-07-01 05:00:00,11512.0,0.0093201866441985,107.29398864801328,2575.9430861201413,0.0705026479944983,2477.1550399618886,0.060333251953125,7.385118140275994e-06,795.2,0.018,0.068,0.0309139319420429,0.0139351122445852,0.0080675809192242,16.1,19.6,795.2,81.7,9.4,2023-07-01,0.060333251953125,850.6119195789416
9,9,2023-07-01 05:30:00,11970.0,0.0091401416184513,109.4074951728628,2680.562412452533,0.0479140003013974,2577.582882112422,0.044403076171875,7.398514138442782e-06,795.3,0.018,0.067,0.0304593152958364,0.0144926704034996,0.0083903731210569,15.3,19.2,795.3,80.3,9.7,2023-07-01,0.044403076171875,850.6119195789416
10,10,2023-07-01 06:00:00,11728.0,0.0092339606894139,108.29589096544709,2623.3816413696672,0.0598174324421349,2524.9076747218664,0.052398681640625,7.222410519070402e-06,795.4,0.018,0.067,0.0304593152958364,0.0144926704034996,0.0083903731210569,14.7,18.9,795.4,79.9,9.4,2023-07-01,0.052398681640625,850.6119195789416
11,11,2023-07-01 06:30:00,11608.0,0.0092815669201623,107.74042880924505,2589.313582332235,0.0674114448002642,2491.939597414829,0.057830810546875,7.236218505398789e-06,795.4,0.017,0.067,0.0304593152958364,0.0144926704034996,0.0083903731210569,14.2,18.5,795.4,81.6,9.1,2023-07-01,0.057830810546875,850.6119195789416
12,12,2023-07-01 07:00:00,11810.0,0.0092018479166111,108.67382389517726,2628.1285069400374,0.0587902503699032,2531.616097651409,0.051361083984375,7.059786198769888e-06,795.2,0.017,0.067,0.0304593152958364,0.0144926704034996,0.0083903731210569,13.8,18.2,795.2,82.2,8.6,2023-07-01,0.051361083984375,850.6119195789416
13,13,2023-07-01 07:30:00,11770.0,0.0092174707596367,108.48963084092416,2616.0222503254854,0.0614245950357321,2521.206007910305,0.053009033203125,6.964350931708267e-06,795.1,0.017,0.067,0.0304593152958364,0.0144926704034996,0.0083903731210569,13.3,17.9,795.1,83.2,8.2,2023-07-01,0.053009033203125,850.6119195789416
14,14,2023-07-01 08:00:00,11616.0,0.009278370237815,107.77754868245984,2576.0170572251927,0.07048536794909,2484.5990398209306,0.059051513671875,6.81367987789727e-06,794.9,0.017,0.066,0.0300046986496299,0.0150502285624141,0.0087131653228897,13.0,17.6,794.9,81.4,8.2,2023-07-01,0.059051513671875,850.6119195789416
15,15,2023-07-01 08:30:00,11450.0,0.0093453862703199,107.00467279516349,2541.822579310301,0.078692894134358,2452.660050176125,0.064666748046875,6.732110904691527e-06,795.1,0.017,0.066,0.0300046986496299,0.0150502285624141,0.0087131653228897,12.6,17.3,795.1,83.6,7.6,2023-07-01,0.064666748046875,850.6119195789416
16,16,2023-07-01 09:00:00,11840.0,0.0091901827761725,108.81176406988357,2621.573510396281,0.0602106378346899,2530.781558278124,0.051483154296875,6.6435304980508485e-06,795.2,0.017,0.066,0.0300046986496299,0.0150502285624141,0.0087131653228897,12.2,17.1,795.2,82.5,7.6,2023-07-01,0.051483154296875,850.6119195789416
17,17,2023-07-01 09:30:00,11652.0,0.0092640259310083,107.94443014810908,2574.5915075741163,0.070818737148324,2486.403236812636,0.058746337890625,6.568186933773952e-06,795.1,0.017,0.066,0.0300046986496299,0.0150502285624141,0.0087131653228897,11.9,16.8,795.1,84.8,7.0,2023-07-01,0.058746337890625,850.6119195789416
18,18,2023-07-01 10:00:00,11728.0,0.0092339606894139,108.29589096544709,2592.536329126984,0.0666759257462209,2504.44284111658,0.055755615234375,6.513867524939142e-06,795.2,0.017,0.066,0.0300046986496299,0.0150502285624141,0.0087131653228897,11.6,16.6,795.2,85.2,6.8,2023-07-01,0.055755615234375,850.6119195789416
19,19,2023-07-01 10:30:00,11466.0,0.0093388635780087,107.07940978544848,2537.1952224668785,0.0798384323063729,2452.0609732341577,0.064727783203125,6.429530864792889e-06,795.4,0.017,0.066,0.0300046986496299,0.0150502285624141,0.0087131653228897,11.3,16.3,795.4,85.2,6.6,2023-07-01,0.064727783203125,850.6119195789416
20,20,2023-07-01 11:00:00,11640.0,0.0092687999720008,107.88883167408942,2568.4487533663696,0.0722638115282307,2483.3464363336234,0.059295654296875,6.346149739246526e-06,795.6,0.017,0.065,0.0295500820034234,0.0156077867213286,0.0090359575247224,11.1,16.1,795.6,85.2,6.4,2023-07-01,0.059295654296875,850.6119195789416
21,21,2023-07-01 11:30:00,11572.0,0.0092959929891878,107.57323087088164,2552.639107872976,0.0760481971442425,2468.8389141969665,0.061798095703125,6.285770325154555e-06,795.6,0.017,0.065,0.0295500820034234,0.0156077867213286,0.0090359575247224,10.8,15.9,795.6,85.5,6.2,2023-07-01,0.061798095703125,850.6119195789416
22,22,2023-07-01 12:00:00,11578.0,0.0092935839726944,107.60111523585616,2552.817688507535,0.0760049165241902,2469.5405580231377,0.061676025390625,6.244761107624397e-06,795.7,0.017,0.065,0.0295500820034234,0.0156077867213286,0.0090359575247224,10.5,15.7,795.7,85.5,6.1,2023-07-01,0.061676025390625,850.6119195789416
