,Date,DateTime,Raw_Moderated_cph,Raw_Mod_Coeff_of_Var,Raw_Mod_sqrt,Corrected_Mod_cph_for_Des,SWC_Des_cm3_cm3,Corrected_Mod_cph_for_UTS,SWC_UTS_cm3_cm3,Rhov_g_cm3,BaroPress_mb,SWC_5,SWC_10,SWC_20,SWC_50,WeightedTDR_SWC,WeightedTDR_SD,WeightedTDR_SE,sT_5,sT_10,sT_20,sT_50,BaroPress,airRH,airT,date,CRNS,Bare
5226,5226,2023-10-17 22:00:00,12020.0,0.009121111529894,109.63576058932595,2472.1222240367547,0.1756991206846971,2420.612450267635,0.173736572265625,3.9406750110810775e-06,788.2,0.113,0.079,0.078,0.131,0.0955820394230344,0.0,0.0,12.1,11.1,9.2,9.1,788.2,21.9,20.7,2023-10-17,0.173736572265625,839.577280284973
5227,5227,2023-10-17 22:30:00,11880.0,0.0091746980427196,108.9954127475097,2442.7126536015166,0.1870589881173849,2390.6783869086235,0.183990478515625,4.030644760192518e-06,788.1,0.113,0.079,0.078,0.131,0.0955820394230344,0.0,0.0,11.8,11.1,9.3,9.1,788.1,22.4,20.7,2023-10-17,0.183990478515625,839.577280284973
5228,5228,2023-10-17 23:00:00,11806.0,0.0092034066272035,108.65541864076545,2427.305430334953,0.1932802564713185,2375.7869558790576,0.189361572265625,4.015704442254234e-06,788.1,0.114,0.079,0.078,0.131,0.0960133413606783,0.0005027574658568,0.0002583480366859,11.5,11.0,9.3,9.0,788.1,23.8,19.6,2023-10-17,0.189361572265625,839.577280284973
5229,5229,2023-10-17 23:30:00,11736.0,0.0092308129270285,108.33282051160673,2414.268354689059,0.1986980976559076,2363.419943123208,0.193939208984375,3.984214713763919e-06,788.2,0.114,0.079,0.078,0.131,0.0960133413606783,0.0005027574658568,0.0002583480366859,11.3,10.9,9.3,9.0,788.2,24.9,18.7,2023-10-17,0.193939208984375,839.577280284973
15214,15214,2024-05-13 00:00:00,10144.0,0.0099287683848692,100.71742649611338,2224.452013567565,0.2979656923126051,2167.246097223652,0.286956787109375,4.888087340614777e-06,785.0,0.278,0.294,0.273,0.343,0.2849692303898013,0.2207637292713252,0.1134421264764565,13.2,13.0,9.9,7.4,785.0,43.4,12.9,2024-05-13,0.286956787109375,825.9897750381228
15215,15215,2024-05-13 00:30:00,9764.0,0.0101201305424298,98.812954616285,2154.108389691805,0.3481457616559893,2087.241539564485,0.341339111328125,5.932590832856614e-06,785.2,0.277,0.294,0.273,0.343,0.2845379284521575,0.2202609718054684,0.1131837784397706,12.3,12.8,10.0,7.4,785.2,58.2,11.3,2024-05-13,0.341339111328125,825.9897750381228
15216,15216,2024-05-13 01:00:00,9632.0,0.0101892393242402,98.14275317108238,2129.375418629406,0.3682207323546039,2062.02332385055,0.361480712890625,6.0487240856915815e-06,785.4,0.277,0.294,0.274,0.343,0.2847342158071188,0.2204897788766798,0.1133013537352992,11.5,12.5,10.1,7.4,785.4,63.6,10.2,2024-05-13,0.361480712890625,825.9897750381228
15217,15217,2024-05-13 01:30:00,9624.0,0.0101934733735916,98.10198774744578,2126.221409116278,0.3708847006245122,2061.810724006653,0.361663818359375,5.785159865087681e-06,785.5,0.276,0.294,0.274,0.343,0.284302913869475,0.2199870214108229,0.1130430056986132,11.1,12.1,10.1,7.4,785.5,64.0,9.4,2024-05-13,0.361663818359375,825.9897750381228
15218,15218,2024-05-13 02:00:00,9560.0,0.0102275368716153,97.77525249264254,2100.2514764634184,0.3937864829250576,2038.9888336656247,0.381561279296875,5.56399999064615e-06,785.5,0.276,0.294,0.274,0.343,0.284302913869475,0.2199870214108229,0.1130430056986132,10.5,11.8,10.1,7.5,785.5,66.9,8.1,2024-05-13,0.381561279296875,825.9897750381228
15219,15219,2024-05-13 02:30:00,9644.0,0.0101828981312243,98.20386957752734,2122.1764210332854,0.3743372431338203,2061.4005997604986,0.362030029296875,5.459774154761788e-06,785.8,0.275,0.294,0.274,0.343,0.2838716119318311,0.2194842639449661,0.1127846576619273,9.8,11.4,10.1,7.5,785.8,67.8,7.6,2024-05-13,0.362030029296875,825.9897750381228
15220,15220,2024-05-13 03:00:00,9830.0,0.0100860993350522,99.1463564635635,2166.7170057383287,0.3384372460485043,2103.868893430189,0.328887939453125,5.531969864028236e-06,786.1,0.275,0.293,0.274,0.343,0.2835398562417075,0.219097544954179,0.1125859374065279,9.2,11.0,10.1,7.5,786.1,70.5,7.2,2024-05-13,0.328887939453125,825.9897750381228
15221,15221,2024-05-13 03:30:00,9558.0,0.0102286068655369,97.76502442080194,2095.998507187613,0.3977096556017281,2037.28917413185,0.383148193359375,5.336551556881102e-06,786.4,0.274,0.293,0.274,0.343,0.2831085543040637,0.2185947874883221,0.112327589369842,8.8,10.6,10.1,7.6,786.4,66.7,7.5,2024-05-13,0.383148193359375,825.9897750381228
15222,15222,2024-05-13 04:00:00,9440.0,0.0102923371199077,97.15966241192896,2072.5943717781124,0.4202420501695865,2015.068464090595,0.404327392578125,5.286642145365785e-06,786.6,0.274,0.293,0.274,0.344,0.2831492093213349,0.2186421779859612,0.1123519415532586,8.3,10.3,10.0,7.6,786.6,69.6,6.7,2024-05-13,0.404327392578125,825.9897750381228
15224,15224,2024-05-13 05:00:00,9608.0,0.0102019573312596,98.02040603874276,2077.792012904799,0.4150952739236273,2022.1117402431123,0.397430419921875,5.099204657590432e-06,786.9,0.273,0.292,0.274,0.344,0.2823861516935675,0.2177527015293173,0.1118948732611733,7.4,9.6,9.8,7.6,786.9,73.1,5.4,2024-05-13,0.397430419921875,825.9897750381228
15226,15226,2024-05-13 06:00:00,9754.0,0.0101253168957362,98.76234100101112,2101.470825488688,0.3926709866339278,2042.663043880765,0.378265380859375,5.3314372921257705e-06,787.1,0.272,0.291,0.273,0.344,0.2814268067108387,0.2166344180014619,0.1113202296735593,6.7,9.0,9.6,7.7,787.1,83.3,4.1,2024-05-13,0.378265380859375,825.9897750381228
15227,15227,2024-05-13 06:30:00,9750.0,0.0101273936708366,98.74208829065748,2113.007330973043,0.3823169370548058,2056.8664428131083,0.365875244140625,5.054514262063271e-06,787.1,0.271,0.291,0.273,0.344,0.2809955047731949,0.2161316605356051,0.1110618816368734,6.3,8.7,9.5,7.7,787.1,82.2,3.5,2024-05-13,0.365875244140625,825.9897750381228
15230,15230,2024-05-13 08:00:00,9640.0,0.0101850105465838,98.18350166906862,2099.9102627384445,0.3940993728769432,2042.9553805917103,0.378021240234375,5.1627169627603485e-06,787.1,0.27,0.29,0.273,0.344,0.2802324471454275,0.2152421840789611,0.1106048133447881,5.7,8.0,9.2,7.8,787.1,83.4,3.6,2024-05-13,0.378021240234375,825.9897750381228
15232,15232,2024-05-13 09:00:00,9762.0,0.0101211671755226,98.80283396745256,2118.9158677641767,0.3771501668868867,2063.5429169575937,0.360260009765625,4.969244916158877e-06,787.0,0.27,0.29,0.273,0.344,0.2802324471454275,0.2152421840789611,0.1106048133447881,5.4,7.6,8.9,7.8,787.0,84.7,2.8,2024-05-13,0.360260009765625,825.9897750381228
15233,15233,2024-05-13 09:30:00,9842.0,0.0100799486488404,99.20685460188726,2121.263230205149,0.3751223527954243,2070.1894651249527,0.354766845703125,4.568714508413338e-06,787.2,0.269,0.29,0.273,0.344,0.2798011452077836,0.2147394266131043,0.1103464653081021,5.1,7.4,8.8,7.8,787.2,86.2,1.3,2024-05-13,0.354766845703125,825.9897750381228
15234,15234,2024-05-13 10:00:00,9624.0,0.0101934733735916,98.10198774744578,2083.8553440182664,0.4091962066057686,2028.759605403524,0.391082763671875,5.029139248982777e-06,787.5,0.269,0.289,0.272,0.344,0.2792731021626988,0.2141239005511058,0.1100301697571741,4.9,7.2,8.7,7.8,787.5,86.3,2.7,2024-05-13,0.391082763671875,825.9897750381228
15235,15235,2024-05-13 10:30:00,9782.0,0.0101108151556557,98.90399385262458,2119.356926807456,0.3767680812110447,2062.0663404049537,0.361480712890625,5.145017715691807e-06,787.5,0.269,0.289,0.272,0.344,0.2792731021626988,0.2141239005511058,0.1100301697571741,5.0,7.0,8.6,7.9,787.5,84.8,3.3,2024-05-13,0.361480712890625,825.9897750381228
15236,15236,2024-05-13 11:00:00,9586.0,0.0102136574373455,97.9081201943945,2091.6180960594256,0.4018038824820541,2035.2071017777284,0.385040283203125,5.132883239947251e-06,787.6,0.269,0.289,0.272,0.344,0.2792731021626988,0.2141239005511058,0.1100301697571741,5.1,6.8,8.5,7.9,787.6,84.6,3.3,2024-05-13,0.385040283203125,825.9897750381228
15237,15237,2024-05-13 11:30:00,9666.0,0.0101713032949558,98.31581764904364,2108.295461714893,0.3865027012187685,2053.686063620779,0.368560791015625,4.924244108216043e-06,787.7,0.269,0.289,0.272,0.344,0.2792731021626988,0.2141239005511058,0.1100301697571741,5.0,6.7,8.4,7.9,787.7,84.5,2.7,2024-05-13,0.368560791015625,825.9897750381228
15238,15238,2024-05-13 12:00:00,9630.0,0.010190297341929,98.13256340277675,2104.633453188324,0.3897967829950716,2049.017714831202,0.372650146484375,5.026413745633721e-06,787.9,0.268,0.289,0.272,0.344,0.2788418002250549,0.2136211430852489,0.1097718217204881,4.8,6.6,8.3,7.9,787.9,85.1,2.9,2024-05-13,0.372650146484375,825.9897750381228
15239,15239,2024-05-13 12:30:00,9824.0,0.0100891789033907,99.11609354691092,2174.088357783044,0.3329157507554213,2116.606918762044,0.319793701171875,5.029139248982777e-06,788.0,0.268,0.289,0.272,0.344,0.2788418002250549,0.2136211430852489,0.1097718217204881,4.8,6.5,8.1,7.9,788.0,86.3,2.7,2024-05-13,0.319793701171875,825.9897750381228
15240,15240,2024-05-13 13:00:00,9718.0,0.010144054004815,98.57991681879226,2158.388910996696,0.3448116181525256,2096.818854739204,0.334075927734375,5.437695413762415e-06,788.2,0.268,0.288,0.272,0.344,0.2785100445349313,0.2132344240944619,0.1095731014650888,4.8,6.4,8.1,7.9,788.2,86.1,3.9,2024-05-13,0.334075927734375,825.9897750381228
15241,15241,2024-05-13 13:30:00,9718.0,0.010144054004815,98.57991681879226,2163.238939229608,0.3410815385867302,2101.4020635278853,0.330718994140625,5.449349021230203e-06,788.5,0.267,0.288,0.272,0.344,0.2780787425972875,0.212731666628605,0.1093147534284028,4.9,6.3,8.0,7.9,788.5,75.1,6.0,2024-05-13,0.330718994140625,825.9897750381228
15242,15242,2024-05-13 14:00:00,9886.0,0.0100574920264863,99.42836617384395,2215.322285864209,0.3039645755457342,2148.9229041084445,0.298309326171875,5.722020917136847e-06,788.6,0.268,0.288,0.271,0.344,0.27831375717997,0.2130056170232504,0.1094555261695602,5.7,6.3,7.9,7.9,788.6,68.8,8.1,2024-05-13,0.298309326171875,825.9897750381228
15243,15243,2024-05-13 14:30:00,9722.0,0.0101419669655984,98.60020283954796,2178.082620638863,0.3299698970447121,2113.274172945812,0.322174072265625,5.679132665910695e-06,788.6,0.268,0.288,0.271,0.344,0.27831375717997,0.2130056170232504,0.1094555261695602,7.0,6.5,7.8,7.9,788.6,73.8,6.9,2024-05-13,0.322174072265625,825.9897750381228
15244,15244,2024-05-13 15:00:00,9790.0,0.010106683232657,98.94442884771227,2207.7974267855966,0.3090161252775241,2141.064477276564,0.303314208984375,5.771873637595024e-06,788.7,0.269,0.288,0.271,0.344,0.2787450591176139,0.2135083744891073,0.1097138742062462,8.2,6.8,7.7,7.8,788.7,70.3,7.9,2024-05-13,0.303314208984375,825.9897750381228
15245,15245,2024-05-13 15:30:00,9648.0,0.0101807870296921,98.2242332624694,2151.935510078245,0.3498535714261421,2088.144913405497,0.340606689453125,5.657209603643224e-06,788.5,0.269,0.288,0.271,0.344,0.2787450591176139,0.2135083744891073,0.1097138742062462,9.4,7.2,7.6,7.9,788.5,56.2,11.1,2024-05-13,0.340606689453125,825.9897750381228
15246,15246,2024-05-13 16:00:00,9920.0,0.0100402416112812,99.59919678390986,2215.1610514866284,0.3040717870338506,2142.3319795107927,0.302520751953125,6.295413273805517e-06,788.2,0.271,0.288,0.27,0.344,0.2794113756379402,0.2142850823496096,0.1101129949840895,12.0,7.8,7.6,7.8,788.2,57.3,12.5,2024-05-13,0.302520751953125,825.9897750381228
