,Date,DateTime,Raw_Moderated_cph,Raw_Mod_Coeff_of_Var,Raw_Mod_sqrt,Corrected_Mod_cph_for_Des,SWC_Des_cm3_cm3,Corrected_Mod_cph_for_UTS,SWC_UTS_cm3_cm3,Rhov_g_cm3,BaroPress_mb,SWC_5,SWC_10,SWC_20,WeightedTDR_SWC,WeightedTDR_SD,WeightedTDR_SE,sT_5,sT_10,sT_20,BaroPress,airRH,airT,date,CRNS,Bare
46,46,2023-07-02 00:00:00,12592.0,0.0089115375724939,112.2140811128443,2635.790593607765,0.0511288872372545,2560.1588997142203,0.062286376953125,5.470703104056851e-06,787.8,0.055,0.11,0.187,0.1020432448313073,0.0011628514401229,0.0005990369639646,39.6,27.0,18.7,787.8,23.5,25.2,2023-07-02,0.062286376953125,799.1759333681613
48,48,2023-07-02 01:00:00,12568.0,0.0089200423025089,112.10709165793214,2626.7716868042435,0.0528394208340237,2550.9861004845407,0.063751220703125,5.5015461802462375e-06,787.7,0.052,0.11,0.188,0.1009301241556279,0.0001358495597246,6.998220495371845e-05,33.5,27.0,19.1,787.7,23.5,25.3,2023-07-02,0.063751220703125,799.1759333681613
49,49,2023-07-02 01:30:00,12222.0,0.0090454225688209,110.55315463612968,2557.5935197709587,0.0667845758080262,2480.756852333073,0.075958251953125,5.735754584378319e-06,787.7,0.051,0.11,0.188,0.100488342696204,0.0006512851594792,0.000335506214421,31.2,26.6,19.3,787.7,25.2,24.8,2023-07-02,0.075958251953125,799.1759333681613
50,50,2023-07-02 02:00:00,12370.0,0.0089911480765718,111.22050170719426,2591.4090626225475,0.0597792798485981,2515.022680230694,0.069793701171875,5.624452805158878e-06,787.8,0.051,0.109,0.189,0.1003545715608131,0.0008073587201261,0.0004159067098748,29.4,26.1,19.6,787.8,26.3,23.7,2023-07-02,0.069793701171875,799.1759333681613
51,51,2023-07-02 02:30:00,12742.0,0.008858928563208,112.88046775239728,2682.0865817300114,0.0427032720531156,2596.318979879487,0.056671142578125,6.117464515980172e-06,788.1,0.05,0.109,0.189,0.0999127901013891,0.0013227943198807,0.0006814307193421,27.6,25.5,19.7,788.1,33.8,20.8,2023-07-02,0.056671142578125,799.1759333681613
52,52,2023-07-02 03:00:00,12414.0,0.0089751998855367,111.41813137905338,2603.4938773801523,0.0573648539896976,2522.2514758148973,0.068572998046875,5.964864853093299e-06,788.1,0.048,0.107,0.189,0.0983372375065742,0.0031610242395161,0.0016283854481516,25.9,24.9,19.9,788.1,42.0,16.7,2023-07-02,0.068572998046875,799.1759333681613
53,53,2023-07-02 03:30:00,12498.0,0.0089449875376284,111.79445424527998,2614.1641761846063,0.055270334287848,2538.154994152137,0.065887451171875,5.5456717508929205e-06,788.3,0.048,0.107,0.19,0.0985494612091667,0.0029134184400999,0.001500832588668,24.3,24.4,19.9,788.3,40.0,16.3,2023-07-02,0.065887451171875,799.1759333681613
54,54,2023-07-02 04:00:00,12464.0,0.0089571795487502,111.6422858956229,2607.5962132607315,0.0565555011059478,2534.9372886464303,0.066436767578125,5.307964212890048e-06,788.5,0.047,0.106,0.189,0.0975494612091667,0.0040801391993338,0.0021018628125564,22.8,23.8,20.0,788.5,37.6,16.6,2023-07-02,0.066436767578125,799.1759333681613
55,55,2023-07-02 04:30:00,12450.0,0.0089622142989644,111.57956802210698,2613.3853258999384,0.0554220547384361,2537.624579231648,0.065948486328125,5.528701138993236e-06,788.8,0.046,0.106,0.19,0.0973199034523353,0.0043479689996721,0.0022398339625401,21.6,23.2,20.0,788.8,39.4,16.5,2023-07-02,0.065948486328125,799.1759333681613
56,56,2023-07-02 05:00:00,12700.0,0.0088735650941611,112.69427669584644,2674.0924269278644,0.0441172038592918,2593.539863317566,0.057037353515625,5.751653028472472e-06,788.8,0.046,0.105,0.189,0.0967616849117593,0.0049992541591514,0.0025753401769611,20.7,22.6,20.0,788.8,42.5,15.9,2023-07-02,0.057037353515625,799.1759333681613
57,57,2023-07-02 05:30:00,12598.0,0.0089094151882526,112.24081254160627,2654.0189473702067,0.0477419597254987,2570.838115850136,0.060577392578125,5.991764939974904e-06,788.7,0.045,0.105,0.189,0.0963199034523353,0.005514689758906,0.0028408641864284,20.0,22.1,20.0,788.7,42.7,16.5,2023-07-02,0.060577392578125,799.1759333681613
58,58,2023-07-02 06:00:00,12268.0,0.0090284483182265,110.76100396800312,2591.9758970910502,0.0596650115847206,2510.1089490712675,0.070709228515625,6.039795975867405e-06,788.8,0.045,0.104,0.189,0.0959739086143518,0.0059183691189691,0.0030488175413659,19.5,21.6,19.9,788.8,44.9,15.8,2023-07-02,0.070709228515625,799.1759333681613
59,59,2023-07-02 06:30:00,12462.0,0.0089578982793069,111.63332835672328,2621.6771850851287,0.0538160736904532,2538.2224865363214,0.065887451171875,6.088738826998631e-06,788.7,0.044,0.104,0.19,0.0957443508575204,0.0061861989193075,0.0031867886913496,19.1,21.1,19.8,788.7,48.1,14.8,2023-07-02,0.065887451171875,799.1759333681613
60,60,2023-07-02 07:00:00,12528.0,0.0089342711236482,111.92854863706576,2631.915761663449,0.0518609235195467,2547.9536546985296,0.064239501953125,6.102363085829582e-06,788.5,0.044,0.103,0.19,0.0953983560195369,0.0065898782793706,0.003394742046287,18.6,20.7,19.8,788.5,48.8,14.6,2023-07-02,0.064239501953125,799.1759333681613
61,61,2023-07-02 07:30:00,12302.0,0.0090159633713167,110.91438139393829,2582.149780296724,0.061660319043591,2500.169321424686,0.072418212890625,6.072215320654234e-06,788.4,0.044,0.102,0.19,0.0950523611815535,0.0069935576394337,0.0036026954012244,18.2,20.4,19.7,788.4,51.0,13.8,2023-07-02,0.072418212890625,799.1759333681613
62,62,2023-07-02 08:00:00,12502.0,0.0089435564540999,111.81234278915724,2614.606626746276,0.0551842255937563,2531.6714505817104,0.066986083984375,6.066492535147899e-06,788.3,0.044,0.102,0.189,0.0948401374789609,0.0072411634388499,0.003730248260708,17.7,20.0,19.6,788.3,53.2,13.1,2023-07-02,0.066986083984375,799.1759333681613
63,63,2023-07-02 08:30:00,12182.0,0.0090602608704106,110.37209792334292,2548.596892957634,0.0687129454882111,2468.6670767807227,0.078216552734375,5.995874433518811e-06,788.4,0.043,0.102,0.189,0.0943983560195369,0.0077565990386045,0.0039957722701753,17.3,19.8,19.5,788.4,53.9,12.7,2023-07-02,0.078216552734375,799.1759333681613
64,64,2023-07-02 09:00:00,12490.0,0.0089478517668205,111.75866856758807,2616.317775009938,0.0548517564658284,2534.769829171784,0.066436767578125,5.957728894242173e-06,788.6,0.043,0.101,0.189,0.0940523611815535,0.0081602783986675,0.0042037256251128,16.9,19.5,19.4,788.6,57.0,11.7,2023-07-02,0.066436767578125,799.1759333681613
65,65,2023-07-02 09:30:00,12356.0,0.0089962403571319,111.15754585272202,2580.3425857610005,0.0620306611635271,2500.936863601454,0.072296142578125,5.879701953652473e-06,788.5,0.043,0.101,0.188,0.0938401374789609,0.0084078841980838,0.0043312784845964,16.5,19.2,19.3,788.5,59.9,10.7,2023-07-02,0.072296142578125,799.1759333681613
66,66,2023-07-02 10:00:00,12560.0,0.0089228826281031,112.0714058089752,2626.2222666080647,0.0529443839462434,2544.078737150652,0.064910888671875,5.979282202316095e-06,788.6,0.043,0.101,0.188,0.0938401374789609,0.0084078841980838,0.0043312784845964,15.9,18.9,19.2,788.6,61.3,10.6,2023-07-02,0.064910888671875,799.1759333681613
67,67,2023-07-02 10:30:00,12320.0,0.0090093746269555,110.99549540409286,2575.8798391799305,0.0629497391216749,2499.1008227517823,0.072601318359375,5.689380854961694e-06,788.8,0.042,0.1,0.188,0.0930523611815535,0.0093269991579014,0.0048047558490011,15.4,18.6,19.1,788.8,65.4,8.8,2023-07-02,0.072601318359375,799.1759333681613
68,68,2023-07-02 11:00:00,12510.0,0.0089406963464303,111.84811129384347,2613.9710551793128,0.0553079374169095,2535.1997613952403,0.066375732421875,5.753896339376426e-06,788.8,0.042,0.1,0.188,0.0930523611815535,0.0093269991579014,0.0048047558490011,14.9,18.3,19.0,788.8,60.5,10.2,2023-07-02,0.066375732421875,799.1759333681613
69,69,2023-07-02 11:30:00,12506.0,0.0089421260572168,111.83022847155416,2615.6690570222645,0.054977696876615,2536.234350939587,0.066192626953125,5.79998877099103e-06,788.9,0.041,0.1,0.188,0.0926105797221295,0.009842434757656,0.0050702798584685,14.4,18.0,18.9,788.9,67.1,8.7,2023-07-02,0.066192626953125,799.1759333681613
70,70,2023-07-02 12:00:00,12166.0,0.009066216671133,110.29959202100432,2555.7184538868783,0.0671841798836491,2476.78970373984,0.076690673828125,5.9013630387530656e-06,788.9,0.042,0.099,0.188,0.09270636634357,0.0097306785179645,0.0050127092039386,14.0,17.7,18.8,788.9,69.6,8.4,2023-07-02,0.076690673828125,799.1759333681613
71,71,2023-07-02 12:30:00,12316.0,0.009010837544011,110.97747519204066,2605.3472311934784,0.0569985678180935,2523.028319472987,0.068450927734375,6.04204193569515e-06,789.1,0.041,0.099,0.188,0.092264584884146,0.0102461141177191,0.0052782332134059,13.8,17.4,18.7,789.1,67.7,9.2,2023-07-02,0.068450927734375,799.1759333681613
72,72,2023-07-02 13:00:00,12144.0,0.0090744251080078,110.19981851164728,2576.188794165392,0.0628859022188965,2493.2305789651527,0.073699951171875,6.161737536070631e-06,789.4,0.041,0.099,0.187,0.0920523611815535,0.0104937199171353,0.0054057860728895,13.7,17.1,18.6,789.4,65.2,10.1,2023-07-02,0.073699951171875,799.1759333681613
73,73,2023-07-02 13:30:00,12246.0,0.0090365545053469,110.66164647247936,2602.962983484292,0.0574699708255954,2517.834048319315,0.069305419921875,6.261182159192322e-06,789.6,0.041,0.098,0.187,0.09170636634357,0.0108973992771984,0.0056137394278269,13.9,16.9,18.5,789.6,62.2,11.1,2023-07-02,0.069305419921875,799.1759333681613
74,74,2023-07-02 14:00:00,12446.0,0.0089636543591165,111.5616421535646,2651.2338125996143,0.0482534782614596,2565.1301510348776,0.061492919921875,6.216106619601884e-06,789.8,0.041,0.098,0.187,0.09170636634357,0.0108973992771984,0.0056137394278269,14.5,16.8,18.4,789.8,60.6,11.4,2023-07-02,0.061492919921875,799.1759333681613
75,75,2023-07-02 14:30:00,12480.0,0.0089514359254929,111.71392035015153,2658.6534408760936,0.0468954828825282,2574.0102654872003,0.060089111328125,6.089588032815172e-06,789.9,0.042,0.098,0.187,0.092148147802994,0.0103819636774438,0.0053482154183596,15.0,16.7,18.3,789.9,49.6,14.3,2023-07-02,0.060089111328125,799.1759333681613
