,Date,DateTime,Raw_Moderated_cph,Raw_Mod_Coeff_of_Var,Raw_Mod_sqrt,Corrected_Mod_cph_for_Des,SWC_Des_cm3_cm3,Corrected_Mod_cph_for_UTS,SWC_UTS_cm3_cm3,Rhov_g_cm3,BaroPress_mb,SWC_5,SWC_10,SWC_20,SWC_50,WeightedTDR_SWC,WeightedTDR_SD,WeightedTDR_SE,sT_5,sT_10,sT_20,sT_50,BaroPress,airRH,airT,date,CRNS,Bare
9,9,2023-07-01 05:30:00,18300.0,0.0073922127095457,135.27749258468685,2007.5543868154616,0.1967696527449928,1955.1682873777872,0.172943115234375,4.961787477898436e-06,699.0,0.03,0.047,0.131,0.118,0.0650369750374679,0.0014858795292612,0.0007206421355679,9.1,12.6,13.6,11.0,699.0,70.2,5.6,2023-07-01,0.172943115234375,847.215619220697
10,10,2023-07-01 06:00:00,18646.0,0.0073233056425837,136.55035701161677,2043.271760046629,0.1782642809835034,1990.2411928699416,0.157562255859375,4.934314211901608e-06,699.0,0.03,0.046,0.131,0.118,0.064718974623427,0.0018495090177725,0.0008970001282556,8.6,12.3,13.5,10.9,699.0,68.9,5.8,2023-07-01,0.157562255859375,847.215619220697
11,11,2023-07-01 06:30:00,18454.0,0.0073613038082564,135.8455004775646,2013.602463574589,0.1935093705659742,1961.268047474718,0.170196533203125,4.941475770989999e-06,698.8,0.03,0.046,0.131,0.118,0.064718974623427,0.0018495090177725,0.0008970001282556,8.1,12.0,13.4,11.0,698.8,69.0,5.8,2023-07-01,0.170196533203125,847.215619220697
12,12,2023-07-01 07:00:00,18640.0,0.007324484191363,136.5283853270081,2032.484074809628,0.1836682606295583,1979.594617508638,0.162078857421875,4.947651331237756e-06,698.7,0.03,0.046,0.131,0.118,0.064718974623427,0.0018495090177725,0.0008970001282556,7.8,11.6,13.2,11.0,698.7,70.0,5.6,2023-07-01,0.162078857421875,847.215619220697
13,13,2023-07-01 07:30:00,18388.0,0.0073745029291642,135.60235986147143,2003.3069100635744,0.1990918949050096,1951.411099730597,0.174713134765625,4.924813253432073e-06,698.6,0.03,0.046,0.131,0.118,0.064718974623427,0.0018495090177725,0.0008970001282556,7.4,11.4,13.1,11.0,698.6,70.6,5.4,2023-07-01,0.174713134765625,847.215619220697
14,14,2023-07-01 08:00:00,18306.0,0.0073910011693082,135.29966740535616,1989.9730493812256,0.2065625169759556,1938.471823210804,0.180877685546875,4.919991093724825e-06,698.3,0.03,0.046,0.131,0.118,0.064718974623427,0.0018495090177725,0.0008970001282556,7.0,11.0,12.9,11.0,698.3,68.7,5.8,2023-07-01,0.180877685546875,847.215619220697
15,15,2023-07-01 08:30:00,18292.0,0.0073938290237029,135.2479205015737,1987.589106529447,0.2079278508133231,1935.580093472044,0.182281494140625,4.975923624559115e-06,698.2,0.03,0.046,0.131,0.118,0.064718974623427,0.0018495090177725,0.0008970001282556,6.7,10.8,12.8,11.0,698.2,70.4,5.6,2023-07-01,0.182281494140625,847.215619220697
16,16,2023-07-01 09:00:00,18608.0,0.0073307794088477,136.41114323983948,2017.912526564628,0.1912185996317455,1964.8108143426896,0.168548583984375,5.004884103694046e-06,698.3,0.03,0.046,0.131,0.118,0.064718974623427,0.0018495090177725,0.0008970001282556,6.5,10.5,12.6,11.0,698.3,72.7,5.2,2023-07-01,0.168548583984375,847.215619220697
17,17,2023-07-01 09:30:00,18340.0,0.0073841470086064,135.4252561378416,1982.943930562792,0.2106148446805541,1931.400374814043,0.184356689453125,4.94206330334478e-06,698.2,0.03,0.046,0.13,0.118,0.0644944515678879,0.0021062483182257,0.0010215170585446,6.1,10.2,12.5,11.0,698.2,74.2,4.7,2023-07-01,0.184356689453125,847.215619220697
18,18,2023-07-01 10:00:00,18338.0,0.0073845496667853,135.41787178950938,1982.9921853990568,0.2105867492172685,1931.189753181021,0.184417724609375,4.967426420701751e-06,698.2,0.03,0.046,0.13,0.118,0.0644944515678879,0.0021062483182257,0.0010215170585446,5.9,10.0,12.3,11.0,698.2,73.6,4.9,2023-07-01,0.184417724609375,847.215619220697
