Date (aggregated based on UTC),Raw_Moderated_cph,Raw_Mod_Coeff_of_Var,Raw_Mod_sqrt,Corrected_Mod_cph_for_Des,SWC_Des_cm3_cm3,Corrected_Mod_cph_for_UTS,SWC_UTS_cm3_cm3,Rhov_g_cm3,BaroPress_mb,SWC_5,SWC_10,SWC_20,SWC_50,WeightedTDR_SWC,WeightedTDR_SD,WeightedTDR_SE,sT_5,sT_10,sT_20,sT_50,PRISM_ppt_mm,BaroPress,airRH,airT
2023-11-20,8418.041666666666,0.007710488605665363,129.73376286757423,1702.9204790853662,0.4838018259009311,1672.8261153864341,0.4033190409342448,3.330907216538553e-06,689.2583333333333,0.12054166666666666,0.09389583333333333,0.126,0.10045833333333333,0.1117017212571881,0.05289458236429375,0.02563279753750983,0.10416666666666667,0.6625,1.2958333333333334,2.8208333333333333,5.0327,689.2583333333333,95.64791666666667,-4.70625
2023-11-21,7729.375,0.008043451341673146,124.33039183216654,1682.118771854419,0.5192868609880434,1657.493959545477,0.4276784261067708,2.750394901478011e-06,699.6104166666668,0.12731914893617022,0.09527659574468085,0.126,0.10091489361702129,0.11473638323465148,0.056363818163465015,0.027313994644570596,0.15319148936170213,0.6829787234042554,1.297872340425532,2.782978723404255,3.9081998,699.6104166666668,83.12916666666666,-5.141666666666667
2023-11-22,7900.395833333333,0.007956650504810144,125.69446073719273,1685.106328391843,0.5138358462152347,1661.2781691140187,0.42110951741536456,2.6548814256705804e-06,698.24375,0.13151063829787235,0.09693617021276596,0.126,0.10031914893617021,0.11679910510513641,0.058721928756988666,0.028456738735043875,0.18085106382978725,0.6893617021276596,1.2936170212765958,2.734042553191489,0.0,698.24375,60.206250000000004,-0.9583333333333334
2023-11-23,8499.9375,0.007671309195647194,130.374327947178,1700.1177951581865,0.4876580590923854,1679.856726256613,0.3922538757324219,2.234017416253013e-06,689.2937499999999,0.1316808510638298,0.09768085106382979,0.126,0.1,0.11707454074718845,0.05903680771117565,0.028609329569884198,0.18085106382978725,0.6957446808510638,1.2957446808510638,2.695744680851064,0.0,689.2937499999999,48.45208333333333,-0.48541666666666666
2023-11-24,8848.875,0.007517715369571079,133.02830146885222,1713.4126402220982,0.46771513146721927,1691.186453603391,0.3778394063313802,2.433099619634411e-06,683.9229166666668,0.13129787234042553,0.09772340425531915,0.126,0.09929787234042553,0.11688743975337298,0.05882291322453245,0.028505675966330732,0.19574468085106386,0.6936170212765957,1.2808510638297872,2.6829787234042555,0.67289996,683.9229166666668,65.02083333333333,-3.5520833333333335
2023-11-25,8670.791666666666,0.007595438044537898,131.67762277850812,1688.8329701085806,0.5100440637696391,1668.223509666048,0.4135780334472656,2.2864652855767505e-06,683.3083333333334,0.13185106382978723,0.09761702127659574,0.12651063829787235,0.099,0.11715363667588581,0.059127230443408556,0.028653148567681582,0.19787234042553192,0.6851063829787233,1.2595744680851064,2.6382978723404253,5.9638996,683.3083333333334,88.98125,-8.96875
2023-11-26,8177.916666666667,0.007819847302995935,127.8865274992255,1673.843062896589,0.5341227430788127,1659.3239441299236,0.4243812561035156,1.6204116819600338e-06,689.3708333333334,0.1323125,0.09729166666666667,0.127,0.09900000000000002,0.11733457661267258,0.05933408158889433,0.028753388957068193,0.20000000000000004,0.6958333333333333,1.2604166666666667,2.6083333333333334,1.2583,689.3708333333334,79.21249999999999,-11.53125
2023-11-27,8071.729166666667,0.007871304284766489,127.05252458721147,1674.7873737565242,0.5321248715302188,1662.2218245790957,0.4193992614746094,1.3998998922525759e-06,692.0458333333332,0.13272916666666668,0.09804166666666668,0.127,0.09889583333333334,0.11772191950968225,0.05977689329406616,0.028967976203598207,0.21041666666666667,0.69375,1.2416666666666667,2.5875,0.0,692.0458333333332,62.24166666666667,-10.335416666666667
2023-11-28,7855.541666666667,0.007978546058084486,125.34127171464371,1684.2161953482043,0.5149957239160469,1672.5502037972412,0.4031537373860677,1.2914489030367215e-06,695.7333333333332,0.13039583333333335,0.09729166666666667,0.127,0.09900000000000002,0.11661073618293331,0.05850658477033994,0.028352382701515324,0.19999999999999998,0.6812499999999999,1.2083333333333333,2.558333333333333,0.0,695.7333333333332,42.143750000000004,-6.0
2023-11-29,8163.666666666667,0.007827557281244785,127.77023945326873,1677.3749439490684,0.5269866217944447,1669.4947917126585,0.4075520833333333,8.746962973823624e-07,690.9229166666668,0.12672916666666667,0.09677083333333335,0.127,0.09900000000000002,0.1150605171160595,0.05673436910899238,0.027493564213692433,0.19166666666666668,0.6541666666666667,1.2,2.50625,0.0,690.9229166666668,20.789583333333333,-2.1625
