Date (aggregated based on UTC),Raw_Moderated_cph,Raw_Mod_Coeff_of_Var,Raw_Mod_sqrt,Corrected_Mod_cph_for_Des,SWC_Des_cm3_cm3,Corrected_Mod_cph_for_UTS,SWC_UTS_cm3_cm3,Rhov_g_cm3,BaroPress_mb,SWC_5,SWC_10,SWC_20,SWC_50,WeightedTDR_SWC,WeightedTDR_SD,WeightedTDR_SE,sT_5,sT_10,sT_20,sT_50,PRISM_ppt_mm,BaroPress,airRH,airT
2023-08-01,5164.979166666667,0.009841152701422618,101.62897579817526,2193.9951015581105,0.19426487577504814,2080.643376744573,0.19423421223958334,1.0088093053492677e-05,787.6,0.06258333333333334,0.095125,0.11395833333333334,0.059708333333333335,0.08246928872692041,0.04741381370040199,0.02530932350120895,23.977777777777778,22.272916666666664,20.354166666666668,17.704166666666666,0.73289996,787.6,65.12916666666666,18.8625
2023-08-02,5034.0,0.00996815512505882,100.33277080655951,2195.326161141997,0.19332979417409538,2080.1811025322045,0.19405746459960938,1.0248652198912057e-05,787.5208333333334,0.06277083333333333,0.09441666666666666,0.1138125,0.05977083333333333,0.08229442651470996,0.047620601210025516,0.02541970593131975,21.331818181818182,21.216666666666665,20.310416666666665,17.952083333333334,4.8203998,787.5208333333334,73.07083333333334,17.777083333333334
2023-08-03,4881.125,0.010123895074806794,98.79477498238866,2093.675116340031,0.24605758442819725,1989.4781490708135,0.23801294962565103,9.705631362134189e-06,786.7708333333334,0.13485416666666666,0.1259375,0.12010416666666666,0.059,0.12733804739300333,0.005646814706217136,0.0030142494137699364,20.027659574468085,19.939583333333335,19.464583333333334,17.797916666666666,13.5484,786.7708333333334,73.94583333333334,16.302083333333332
2023-08-04,4939.395833333333,0.010062423893159858,99.38793595429239,2109.354557051189,0.2371293203663001,2020.052195642192,0.22204971313476562,8.187349718805926e-06,786.4791666666666,0.14745833333333333,0.141875,0.11737500000000001,0.058916666666666666,0.138038892174583,0.018301355760447675,0.00976919798898094,18.491304347826087,18.420833333333334,18.345833333333335,17.402083333333334,3.0022,786.4791666666666,67.27499999999999,15.372916666666667
2023-08-05,4984.416666666667,0.010017124221733783,99.83904456759882,2150.5826819956114,0.21503288642390705,2063.60151523563,0.20150121053059897,7.805412548850593e-06,786.4520833333332,0.13997916666666668,0.14077083333333332,0.117625,0.0588125,0.13424622919652648,0.013816251047659612,0.007375065198270889,19.96808510638298,19.289583333333333,18.410416666666666,17.027083333333334,0.0,786.4520833333332,60.697916666666664,16.345833333333335
2023-08-06,5044.979166666667,0.009956914071691171,100.44341992099248,2174.5158654401416,0.2026898964994633,2093.327023597438,0.1884892781575521,7.193786017957777e-06,786.0145833333332,0.1315,0.13775,0.118625,0.058979166666666666,0.12948640572478975,0.008187407459752636,0.004370408702924777,19.411627906976744,19.491666666666667,18.704166666666666,17.008333333333333,0.71,786.0145833333332,61.78333333333333,15.741666666666667
2023-08-07,5121.875,0.009882321847812223,101.20453704126088,2193.640399046462,0.1942881898483683,2120.361042804416,0.17800140380859375,6.404554798647434e-06,785.8666666666667,0.12341666666666666,0.13410416666666666,0.11929166666666667,0.059,0.12463785413928366,0.0024536363094637016,0.0013097422515498422,20.02608695652174,19.71875,18.85625,16.997916666666665,0.0,785.8666666666667,50.60833333333333,16.7
2023-08-08,5264.833333333333,0.009747021639626366,102.60791841724615,2212.443705461001,0.1855475834276069,2147.6288498998865,0.16750717163085938,5.5939182907670095e-06,784.2083333333334,0.11610416666666667,0.12960416666666666,0.11933333333333333,0.058875000000000004,0.11974602485602262,0.0033313139219306124,0.0017782434095468716,19.76222222222222,19.160416666666666,18.400000000000002,16.931250000000002,0.0,784.2083333333334,50.92291666666667,14.947916666666666
2023-08-09,5296.375,0.009718066200321682,102.91441545412376,2219.1097394663543,0.18287107877970263,2151.908562322909,0.16607284545898438,5.784301573412845e-06,783.5437499999999,0.1096875,0.126,0.1195625,0.058729166666666666,0.11560204328432334,0.00823187887707446,0.004394147385804566,19.982222222222223,19.585416666666667,18.75,16.897916666666667,0.0,783.5437499999999,51.979166666666664,14.31875
2023-08-10,5376.854166666667,0.009644004969068363,103.69717807896744,2226.366003521498,0.1792055914516049,2155.061692779921,0.16455078125,6.130299532553271e-06,783.4770833333333,0.10281249999999999,0.12145833333333333,0.11835416666666666,0.058541666666666665,0.11067723574092307,0.014055828342206601,0.007502950697833282,18.31304347826087,18.425,18.220833333333335,16.84375,0.0,783.4770833333333,50.19583333333333,15.387500000000001
