,date,Unnamed: 0,Date (aggregated based on UTC),Raw_Moderated_cph,Raw_Mod_Coeff_of_Var,Raw_Mod_sqrt,Corrected_Mod_cph_for_Des,SWC_Des_cm3_cm3,Corrected_Mod_cph_for_UTS,SWC_UTS_cm3_cm3,Rhov_g_cm3,BaroPress_mb,SWC_5,SWC_10,SWC_20,SWC_50,WeightedTDR_SWC,WeightedTDR_SD,WeightedTDR_SE,sT_5,sT_10,sT_20,sT_50,PRISM_ppt_mm,BaroPress,airRH,airT,date.1,CRNS,Bare,scaled_stationary_N_Des,scaled_stationary_N_UTS,N0,TDR_pore_swc_g,TDR_tot_swc_g,NewName,ND,doy_x,doy_y,min_temp_x,mean_temp,mean_P_mb,mean_RH,cumulative_GSI,GSI,VPD,year,min_temp_y,max_temp,GDD,cumulative_GDD,Bare_norm,Bare_norm7,VPD_kPa,N0_7,ND_7,VPD_7
0,2023-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023.0,7.0,21.0,9.0,9.0,,,,,,
1,2023-06-28,135.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,807.0157200921567,,,,,,F1,,179.0,179.0,3.0,13.285714285714286,717.2367346938776,27.40816326530612,0.6679135400824231,0.6679135400824231,1107.7473404307443,2023.0,3.0,23.0,9.0,18.0,,,1.1077473404307443,,,
2,2023-06-29,136.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,799.3852903632657,,,,,,F1,,180.0,180.0,13.0,16.6,717.54,21.2,1.483959828650697,0.8160462885682738,1488.651876581524,2023.0,7.0,16.0,6.5,24.5,,,1.488651876581524,,,
3,2023-06-30,137.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,807.7903864462614,,,,,,F1,,181.0,181.0,3.0,9.304347826086955,719.0934782608696,51.0,2.1982455429364114,0.7142857142857143,574.2210284473892,2023.0,3.0,17.0,6.0,30.5,0.9506002083435177,,0.5742210284473892,,,
4,2023-07-01,0.0,2023-07-01,9194.297297297297,0.0073747977731746,135.6020131323885,1910.808888593445,0.1969746337877365,1858.016058653311,0.1745894148543074,5.2616760904817545e-06,699.0804347826087,0.0319565217391304,0.0468043478260869,0.1294782608695652,0.1175869565217391,0.0654329787424613,0.0,0.0,12.69111111111111,12.817391304347826,12.595652173913043,10.904347826086957,,699.0804347826087,59.80869565217391,9.306521739130435,2023-07-01,0.1745894148543074,803.8654994544939,2506.7395409342776,2438.2731892334964,3654.842002027608,0.0632396291264072,0.1402396291264072,F1,5464.978892596359,182.0,182.0,2.0,11.848484848484848,721.8121212121212,62.36363636363637,2.7696741143649826,0.5714285714285714,522.6232219996951,2023.0,1.0,20.0,7.5,38.0,0.949359792857681,,0.5226232219996951,,,
5,2023-07-02,1.0,2023-07-02,9201.041666666666,0.007371981399777,135.652432455561,1912.4012136621504,0.1959166528065153,1859.751386804257,0.1735954284667968,5.242264154239936e-06,699.375,0.0311875,0.0457916666666666,0.1254375,0.1170833333333333,0.0638719485395632,0.001784574988483,0.0008648078371286,15.16875,13.904166666666669,12.695833333333333,10.6375,0.0,699.375,48.13958333333333,12.591666666666669,2023-07-02,0.1735954284667968,810.1658350330343,2508.828469992318,2440.550459166266,3647.703758746509,0.0617309255187823,0.1387309255187823,F1,5450.986721160762,183.0,183.0,4.0,11.16326530612245,721.7857142857143,60.38775510204081,3.62681697150784,0.8571428571428571,525.665785157597,2023.0,4.0,21.0,8.0,46.0,0.9536046874514945,,0.525665785157597,,,
6,2023-07-03,2.0,2023-07-03,9264.1875,0.0073469234219785,136.11644709425136,1924.831918075924,0.189162429431068,1879.4126674431564,0.1644490559895833,4.476486510353274e-06,699.0395833333333,0.0293125,0.0442708333333333,0.1212708333333333,0.116625,0.0617070848297823,0.0042594544768985,0.0020641383171272,16.77446808510638,15.191666666666668,13.475,10.66875,0.15,699.0395833333333,36.90833333333333,14.360416666666666,2023-07-03,0.1644490559895833,810.0161238191504,2525.1359816758177,2466.35194415589,3657.086515369485,0.0596386292371991,0.1366386292371991,F1,5483.135122601846,184.0,184.0,3.0,12.16326530612245,721.3836734693878,55.83673469387755,4.341102685793554,0.7142857142857143,626.1180415954356,2023.0,3.0,24.0,9.5,55.5,0.9544810829241573,,0.6261180415954356,,,
7,2023-07-04,3.0,2023-07-04,9335.4375,0.0073187816815607,136.63919858222917,1921.2565556697343,0.191108151439467,1875.19707298774,0.1663347880045572,4.547284150481209e-06,697.8854166666666,0.0255833333333333,0.0420208333333333,0.1166249999999999,0.11525,0.058429460995686,0.0080064450893319,0.0038799358421359,16.97021276595745,15.9875,14.395833333333334,10.95,0.0,697.8854166666666,37.65,14.05,2023-07-04,0.1663347880045572,801.4361001166598,2520.445558488932,2460.8198224664934,3628.389832972861,0.0564708731657547,0.1334708731657548,F1,5431.805514127414,185.0,185.0,6.0,13.354166666666666,720.05625,46.583333333333336,5.341102685793554,1.0,818.7841020329745,2023.0,6.0,23.0,9.5,65.0,0.9535244945113005,,0.8187841020329745,,,
8,2023-07-05,4.0,2023-07-05,9404.208333333334,0.007291930554466,137.14181675619673,1934.3834064213413,0.1839097506077486,1884.666350750307,0.1619974772135416,4.8853834713395295e-06,697.5291666666667,0.0238958333333333,0.0404583333333333,0.1122083333333333,0.1136041666666666,0.0561712587490125,0.0105880295076654,0.0051309756984559,17.06595744680851,15.4125,13.9125,11.154166666666669,0.4601,697.5291666666667,41.97916666666666,13.954166666666666,2023-07-05,0.1619974772135416,807.3843048183016,2537.6663261038543,2473.246349127736,3637.805613141812,0.0542883671066292,0.1312883671066292,F1,5431.785042569745,186.0,186.0,5.0,12.875,719.8020833333334,53.770833333333336,6.341102685793554,1.0,686.765676215504,2023.0,5.0,22.0,8.5,73.5,0.9524292527649203,,0.686765676215504,,,
9,2023-07-06,5.0,2023-07-06,9565.708333333334,0.007230678238145,138.3107707541745,1946.532297483397,0.1776991175853401,1903.4371120382232,0.1538772583007812,4.1950003798559084e-06,697.34375,0.021625,0.0389166666666666,0.1075208333333333,0.1116458333333333,0.0536135525267194,0.0135120078802284,0.0065479402017726,18.57659574468085,16.414583333333333,14.489583333333334,11.275,0.0,697.34375,34.85625,14.645833333333334,2023-07-06,0.1538772583007812,813.4629816554858,2553.6041343198167,2497.8792061887243,3642.9470241857016,0.0518163966107001,0.1288163966107001,F1,5453.814343125383,187.0,187.0,4.0,13.1875,719.6062499999999,48.270833333333336,7.1982455429364105,0.8571428571428571,784.3384972673808,2023.0,4.0,25.0,10.0,83.5,0.9537864706646924,,0.7843384972673808,,,
10,2023-07-07,6.0,2023-07-07,9797.770833333334,0.0071441352150358,139.9810360052239,1962.396741351423,0.1696908482719607,1923.8182692505875,0.1454175313313802,3.7176327356030655e-06,695.8541666666666,0.0183541666666666,0.0367916666666666,0.1028541666666666,0.1097291666666666,0.0435693004722,0.0249946306771717,0.0121124372106824,18.22978723404255,16.41875,14.772916666666667,11.489583333333334,0.0,695.8541666666666,31.06458333333333,14.491666666666667,2023-07-07,0.1454175313313802,807.0636635473929,2574.4162777928286,2524.6253847080206,3600.587979843609,0.0421088334370896,0.1191088334370896,F1,5380.46929757075,188.0,188.0,5.0,13.458333333333334,718.0229166666667,39.1875,8.186213708923129,0.9879681659867188,938.5018688425002,2023.0,5.0,24.0,9.5,93.0,0.9560023525440607,,0.9385018688425002,,,
11,2023-07-08,7.0,2023-07-08,9810.3125,0.0071393865197124,140.07178352983755,1961.738555471312,0.1699050705577125,1923.749778036214,0.1452878316243489,3.656401387337325e-06,695.4104166666666,0.0159166666666666,0.0354375,0.0987708333333333,0.1078333333333333,0.0420696107293583,0.0267090810450066,0.0129432625467093,19.448936170212768,17.075,15.133333333333333,11.679166666666667,0.0,695.4104166666666,28.75208333333333,15.214583333333332,2023-07-08,0.1452878316243489,810.9078653750743,2573.5528211798687,2524.535503734749,3588.351282124513,0.0406594141233935,0.1176594141233935,F1,5361.127774029438,189.0,189.0,4.0,14.395833333333334,717.5770833333332,41.875,9.029072263534877,0.8428585546117475,953.3280627828092,2023.0,4.0,24.0,9.5,102.5,0.9573897725322512,,0.9533280627828092,,,
12,2023-07-09,8.0,2023-07-09,9824.8125,0.0071343376001942,140.17380594431907,1992.1856356753967,0.1554237968621444,1958.3842384186144,0.1318766276041666,3.2002337300027864e-06,697.38125,0.0132291666666666,0.0336458333333333,0.0947083333333333,0.1059791666666666,0.040438924567474,0.0285732869605369,0.0138466596559239,18.846808510638297,16.741666666666667,15.110416666666666,11.86875,0.0,697.38125,22.95625,15.579166666666666,2023-07-09,0.1318766276041666,812.2899456342988,2613.495538795002,2569.98628215008,3631.78077996232,0.0390833894630305,0.1160833894630305,F1,5433.929472013145,190.0,190.0,3.0,13.875,719.6833333333334,31.354166666666668,9.701280836806234,0.6722085732713567,1088.5055917443217,2023.0,3.0,25.0,10.0,112.5,0.9569278836001782,,1.0885055917443216,,,
