,date,Unnamed: 0,Date (aggregated based on UTC),Raw_Moderated_cph,Raw_Mod_Coeff_of_Var,Raw_Mod_sqrt,Corrected_Mod_cph_for_Des,SWC_Des_cm3_cm3,Corrected_Mod_cph_for_UTS,SWC_UTS_cm3_cm3,Rhov_g_cm3,BaroPress_mb,SWC_5,SWC_10,SWC_20,WeightedTDR_SWC,WeightedTDR_SD,WeightedTDR_SE,sT_5,sT_10,sT_20,PRISM_ppt_mm,BaroPress,airRH,airT,date.1,CRNS,Bare,scaled_stationary_N_Des,scaled_stationary_N_UTS,N0,TDR_pore_swc_g,TDR_tot_swc_g,NewName,ND,doy_x,doy_y,min_temp_x,mean_temp,mean_P_mb,mean_RH,cumulative_GSI,GSI,VPD,year,min_temp_y,max_temp,GDD,cumulative_GDD,Bare_norm,Bare_norm7,VPD_kPa,N0_7,ND_7,VPD_7
0,2023-06-27,218.0,,,,,,,,,,,,,,,,,,,,,,,,,,1122.247735632145,,,,,,F2,,178.0,,,,,,,,,,,,,,,,,,,
1,2023-06-28,219.0,,,,,,,,,,,,,,,,,,,,,,,,,,1113.48007709708,,,,,,F2,,179.0,,,,,,,,,,,,,,,,,,,
2,2023-06-29,220.0,,,,,,,,,,,,,,,,,,,,,,,,,,1103.3476574725694,,,,,,F2,,180.0,180.0,0.0,12.742857142857142,762.0257142857143,43.25714285714286,0.2857142857142857,0.2857142857142857,835.687603487864,2023.0,0.0,24.0,9.5,9.5,0.9539754127896731,,0.835687603487864,,,
3,2023-06-30,221.0,,,,,,,,,,,,,,,,,,,,,,,,,,1123.7752935281555,,,,,,F2,,181.0,181.0,1.0,11.387755102040815,763.3897959183673,54.16326530612245,0.7142857142857142,0.4285714285714285,617.3908735196658,2023.0,1.0,21.0,8.0,17.5,0.9544118367900922,,0.6173908735196658,,,
4,2023-07-01,0.0,2023-07-01,9168.652173913044,0.0073851526810735,135.41246808571276,2324.806708323676,0.198855018344655,2253.850107801043,0.188063911769701,5.833182797092442e-06,724.2021739130436,0.0303695652173913,0.067891304347826,0.1960869565217391,0.0806450127027716,0.0,0.0,11.5,11.382608695652175,11.358695652173912,,724.2021739130436,74.23913043478261,9.115217391304348,2023-07-01,0.188063911769701,1116.3286009068038,2972.8512605788574,2873.2325117185314,4285.336313016687,0.0700240934226864,0.1255240934226864,F2,6224.114263589245,182.0,182.0,0.0,11.522727272727272,766.4727272727273,68.47727272727273,1.0,0.2857142857142857,428.4029814489365,2023.0,0.0,24.0,9.5,27.0,0.9552256613656293,,0.42840298144893646,,,
5,2023-07-02,1.0,2023-07-02,9313.645833333334,0.0073274445902949,136.47895704527204,2355.7868778411525,0.1856017920305296,2283.192113550411,0.1768620808919271,5.887499761803234e-06,724.1437500000001,0.0314583333333333,0.0664166666666666,0.1850208333333333,0.0781115097683536,0.0029493040043225,0.0015098864166579,14.610638297872342,14.239583333333334,13.21875,0.0,724.1437500000001,60.35625,11.7,2023-07-02,0.1768620808919271,1124.525444250963,3012.4672147453807,2910.6380182277326,4322.016243695516,0.0678242519170475,0.1233242519170475,F2,6269.849305353342,183.0,183.0,2.0,13.0625,766.0958333333333,62.79166666666666,1.5714285714285712,0.5714285714285714,559.5781039397576,2023.0,2.0,24.0,9.5,36.5,0.9612761648849967,,0.5595781039397576,,,
6,2023-07-03,2.0,2023-07-03,9351.0625,0.0073127569868528,136.75291593465906,2367.366562092015,0.1807931589476346,2299.061531143479,0.1711985270182291,5.507918536619473e-06,723.7166666666667,0.0301041666666666,0.0647916666666666,0.1720208333333333,0.0740428092533505,0.0076857637724436,0.0039347013073749,14.473333333333333,13.864583333333334,12.952083333333334,2.98,723.7166666666667,56.770833333333336,12.720833333333331,2023-07-03,0.1711985270182291,1117.0535795699154,3027.2747593033987,2930.8685235362364,4309.824748655733,0.0642913978021678,0.1197913978021678,F2,6257.80851499314,184.0,184.0,2.0,13.875,765.5791666666668,59.72916666666666,2.1428571428571423,0.5714285714285714,638.5679237759555,2023.0,2.0,27.0,11.0,47.5,0.959355768084987,,0.6385679237759555,,,
7,2023-07-04,3.0,2023-07-04,9482.083333333334,0.0072621982944844,137.70674086071674,2371.433568423791,0.1793806889881059,2306.5476176869174,0.1687202453613281,5.211929888802424e-06,722.4875000000001,0.0247916666666666,0.0616875,0.1586458333333333,0.0676799188920426,0.015092938150152,0.0077267796968279,16.60625,15.964583333333332,14.69375,0.0,722.4875000000001,46.2625,13.875,2023-07-04,0.1687202453613281,1116.872665552523,3032.475451841369,2940.4118676866296,4263.649736729572,0.0587664978217971,0.1142664978217971,F2,6186.662317642361,185.0,185.0,6.0,14.583333333333334,763.9416666666666,51.708333333333336,3.1428571428571423,1.0,801.7065202125694,2023.0,6.0,26.0,11.0,58.5,0.9595112076069793,,0.8017065202125695,,,
8,2023-07-05,4.0,2023-07-05,9609.145833333334,0.0072138297061538,138.62757566622136,2408.359436857781,0.1650921610362093,2334.386145190805,0.1592280069986979,5.872196005282703e-06,722.2312499999999,0.0203958333333333,0.0580833333333333,0.1453541666666666,0.0615560244990486,0.0222218922989478,0.0113764241615789,14.872916666666669,14.575,13.979166666666666,0.0,722.2312499999999,54.95416666666667,13.23125,2023-07-05,0.1592280069986979,1120.95319923918,3079.6944804724035,2975.9007238557647,4276.214433760411,0.053449118126339,0.108949118126339,F2,6170.0906150234605,186.0,186.0,4.0,14.791666666666666,763.7395833333334,55.35416666666666,4.0,0.8571428571428571,751.2139588339662,2023.0,4.0,25.0,10.0,68.5,0.958490615547856,,0.7512139588339662,,,
9,2023-07-06,5.0,2023-07-06,9794.520833333334,0.0071460151682577,139.95325290247277,2425.9586256801977,0.1589098799796046,2362.452646628538,0.1506296793619791,4.987992198850343e-06,722.03125,0.017625,0.0551458333333333,0.1338958333333333,0.049211702277967,0.0365921771968598,0.0187332439194138,15.368085106382978,14.5125,13.545833333333334,0.0,722.03125,49.25208333333333,13.64375,2023-07-06,0.1506296793619791,1122.2382862360564,3102.1994786249647,3011.680203663216,4193.551851158347,0.0427305387191458,0.0982305387191458,F2,6046.160632924569,187.0,187.0,3.0,14.604166666666666,763.5958333333333,53.3125,4.7142857142857135,0.7142857142857143,776.1188377912013,2023.0,3.0,26.0,10.5,79.0,0.9599718886505947,,0.7761188377912013,,,
10,2023-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188.0,3.0,14.0,761.8916666666668,48.75,5.428571428571428,0.7142857142857143,819.284990455462,2023.0,3.0,26.0,10.5,89.5,,,0.819284990455462,,,
11,2023-07-08,6.0,2023-07-08,10165.1875,0.0070139193112539,142.58096765389047,2473.112118051767,0.1428928790742618,2412.7491394642952,0.1358528137207031,4.638883651995458e-06,719.9416666666666,0.0091458333333333,0.0481458333333333,0.1117291666666666,0.0418013774561113,0.0452186920406051,0.0231495596218912,17.580851063829787,16.558333333333334,15.1375,0.0,719.9416666666666,42.454166666666666,14.9,2023-07-08,0.1358528137207031,1128.9212242169317,3162.49710196527,3075.798717108686,4202.145619927658,0.0362961510214148,0.0917961510214148,F2,6045.5871361590525,189.0,189.0,3.0,15.3125,761.2395833333334,48.41666666666666,6.142857142857142,0.7142857142857143,897.529464446171,2023.0,3.0,26.0,10.5,100.0,,,0.897529464446171,,,
12,2023-07-09,7.0,2023-07-09,10241.9375,0.0069874658653228,143.11905261241554,2519.997033559684,0.1282489160448436,2472.738826642207,0.120031992594401,3.5428425351745832e-06,721.9854166666668,0.0061458333333333,0.0418333333333333,0.0986458333333333,0.036673066629506,0.0511886664388357,0.0262058682419835,17.12608695652174,16.412499999999998,15.264583333333334,0.0,721.9854166666668,31.80625,14.320833333333333,2023-07-09,0.120031992594401,1134.6054980310705,3222.4512821002486,3152.2742196147365,4228.871613506476,0.031843236893342,0.087343236893342,F2,6100.927374446615,190.0,190.0,1.0,13.854166666666666,763.5708333333333,40.60416666666666,6.565996957773627,0.4231398149164845,940.5560486235822,2023.0,1.0,27.0,11.0,111.0,,,0.9405560486235822,,,
13,2023-07-10,8.0,2023-07-10,10093.833333333334,0.0070387861960616,142.0788604334113,2511.5350854324,0.130843890166233,2453.0257839135943,0.125091552734375,4.426204507649023e-06,723.4729166666666,0.0033958333333333,0.0346458333333333,0.0887083333333333,0.0319499790554113,0.0566869119335634,0.0290206768123353,16.704166666666666,16.3875,15.510416666666666,0.0,723.4729166666666,36.08125,14.504166666666668,2023-07-10,0.125091552734375,1129.833958774562,3211.6305488895773,3127.1438193823947,4164.939714889952,0.0277421782606044,0.0832421782606044,F2,5912.930262898821,191.0,191.0,3.0,14.5625,764.8270833333332,43.875,7.273475249822294,0.707478292048667,930.4972516219722,2023.0,3.0,26.0,10.5,121.5,0.9694847227358747,,0.9304972516219722,,,
14,2023-07-11,9.0,2023-07-11,10083.895833333334,0.0070418715658037,142.01147039371298,2534.9495255470906,0.1238838252510108,2470.511284116424,0.1205482482910156,4.830754167458567e-06,724.375,0.0037291666666666,0.0326875,0.0838958333333333,0.0301894144061949,0.0587364222377602,0.03006991682441,16.332608695652173,15.30625,14.31875,0.0,724.375,41.10625,15.3125,2023-07-11,0.1205482482910156,1136.4646332295908,3241.571811344423,3149.434524293312,4184.767487558835,0.0262134793449283,0.0817134793449283,F2,5969.158582578737,192.0,192.0,4.0,15.375,765.7666666666668,49.895833333333336,8.130618106965152,0.8571428571428571,875.2979551280692,2023.0,4.0,27.0,11.0,132.5,0.9716398781945974,,0.8752979551280693,,,
15,2023-07-12,10.0,2023-07-12,10037.291666666666,0.0070583117796714,141.68218582609293,2533.5129956461174,0.1243630786702451,2455.906029745605,0.1243336995442708,5.858641677710512e-06,724.2979166666668,0.002375,0.03025,0.0807708333333333,0.0286428320508817,0.0605368312570565,0.0309916302587252,18.260416666666668,17.056250000000002,15.675,0.0,724.2979166666668,45.3875,15.889583333333334,2023-07-12,0.1243336995442708,1139.2821023457814,3239.7348458402903,3130.81558794306,4165.581421180997,0.0248705813317123,0.0803705813317123,F2,5903.347219238433,193.0,193.0,4.0,15.854166666666666,765.6229166666667,53.020833333333336,8.98776096410801,0.8571428571428571,846.291428003593,2023.0,4.0,27.0,11.0,143.5,0.9729759862195266,,0.8462914280035929,,,0.7655802815206262
16,2023-07-13,11.0,2023-07-13,10279.208333333334,0.0069746986935392,143.37983411233876,2553.415193645959,0.1187156948087468,2478.7446566177937,0.1185340881347656,5.576401021159705e-06,723.75625,0.0017083333333333,0.0284791666666666,0.0771458333333333,0.0272143784735389,0.0621997240835902,0.0318429427336215,17.741666666666667,16.602083333333333,15.502083333333331,0.0,723.75625,44.39791666666667,15.939583333333331,2023-07-13,0.1185340881347656,1137.5015927089871,3265.1848216168923,3159.930516671041,4182.539930638505,0.0236302545787303,0.0791302545787303,F2,5929.160195739737,194.0,194.0,4.0,16.395833333333332,764.9812499999999,50.8125,9.840287466714702,0.8525265026066933,917.2343902683452,2023.0,4.0,28.0,11.5,155.0,0.9751666327960986,,0.9172343902683452,,,0.7714050520049461
17,2023-07-14,12.0,2023-07-14,10457.041666666666,0.0069152048345831,144.61430562222858,2555.6290276107093,0.1180553449697541,2491.7197612401965,0.1154518127441406,4.753126741774056e-06,723.8666666666667,0.0015428571428571,0.02675,0.0742083333333333,0.0259550587476568,0.0636657246395041,0.0325934568626984,18.082608695652173,16.79375,15.577083333333334,0.0,723.8666666666667,39.875,15.864583333333334,2023-07-14,0.1154518127441406,1134.5801490685976,3268.0157662581205,3176.4713204782693,4172.165851575818,0.0225367868095676,0.0780367868095676,F2,5935.126107776815,195.0,195.0,4.0,16.375,765.1708333333332,46.35416666666666,10.670900187299944,0.8306127205852408,999.045843148434,2023.0,4.0,27.0,11.0,166.0,0.9746282347959867,,0.9990458431484339,,,0.7986661212641438
18,2023-07-15,13.0,2023-07-15,10241.625,0.0069883336353599,143.1116390230416,2587.1296942862505,0.1097445833152382,2530.888896039988,0.1067390441894531,4.128012207007872e-06,725.4395833333333,0.0018333333333333,0.0248749999999999,0.071625,0.0247249873931398,0.0650976765516943,0.0333265399013932,18.506521739130434,17.29375,16.041666666666668,0.0,725.4395833333333,36.87916666666667,14.845833333333331,2023-07-15,0.1067390441894531,1149.4790134950208,3308.297307213834,3226.4045574637794,4209.664607461964,0.02146871541174,0.07696871541174,F2,6002.376151247594,196.0,196.0,2.0,14.541666666666666,767.0354166666666,43.25,11.235258481058484,0.5643582937585387,939.5935549521828,2023.0,2.0,26.0,10.5,176.5,0.9775414970476445,,0.9395935549521828,,,0.835179733657233
19,2023-07-16,14.0,2023-07-16,10242.125,0.006987499450402,143.11970137213785,2624.9606210836487,0.1000671841329912,2570.4419979809823,0.0981661478678385,3.933089924419166e-06,726.9145833333333,0.0014615384615384,0.0231666666666666,0.0693125,0.0236135283854028,0.0663915493385092,0.0339889337891822,18.73695652173913,17.443749999999998,16.210416666666667,0.0,726.9145833333333,35.75,15.085416666666667,2023-07-16,0.0981661478678385,1150.972072828412,3356.673681049922,3276.82727991672,4258.380377365933,0.0205036351571171,0.0760036351571171,F2,6071.489413614957,197.0,197.0,2.0,14.8125,768.5854166666667,45.16666666666666,11.802424584056832,0.5671661029983505,923.8698232092376,2023.0,2.0,28.0,11.5,188.0,0.9813900194746104,,0.9238698232092376,,,0.8612005707479101
20,2023-07-17,15.0,2023-07-17,10110.4375,0.0070331026626572,142.19499033883656,2630.462482162922,0.0986907422762165,2569.042091529262,0.0983899434407552,4.430163001190042e-06,727.025,0.00075,0.0216041666666666,0.067625,0.0226931771724852,0.0674629495254857,0.034537433566333,19.628260869565217,18.047916666666666,16.604166666666668,0.0,727.025,34.15416666666667,17.277083333333334,2023-07-17,0.0983899434407552,1160.0259703446814,3363.709196986144,3275.0426640203364,4256.597680269923,0.0197044938692044,0.0752044938692044,F2,6047.577618839148,198.0,198.0,4.0,16.604166666666668,768.35,43.97916666666666,12.617085532022363,0.8146609479655315,1058.599127595349,2023.0,4.0,31.0,13.0,201.0,0.9886599024324093,,1.058599127595349,,,0.8912027995921524
