,start_date,end_date,length_days
13,2023-08-06 13:00:00,2023-08-13 12:30:00,7
77,2023-09-05 09:00:00,2023-09-16 09:00:00,12
78,2023-09-16 10:30:00,2023-10-12 01:00:00,26
357,2024-09-06 13:30:00,2024-09-12 13:30:00,7
