,start_date,end_date,length_days
8,2023-07-01 17:00:00,2023-07-20 05:30:00,19
12,2023-07-20 16:00:00,2023-08-01 11:00:00,12
36,2023-08-07 13:00:00,2023-08-24 00:30:00,17
60,2023-08-28 17:30:00,2023-09-11 04:30:00,14
108,2023-10-04 15:00:00,2023-10-11 23:00:00,8
