,start_date,end_date,length_days
14,2023-07-02 23:00:00,2023-07-26 08:30:00,24
57,2023-08-11 13:00:00,2023-08-24 04:30:00,13
79,2023-08-27 13:30:00,2023-09-15 07:30:00,19
108,2023-09-21 20:00:00,2023-09-30 06:00:00,9
342,2024-07-16 10:00:00,2024-07-27 01:30:00,11
413,2024-09-12 14:30:00,2024-09-21 22:00:00,10
