,start_date,end_date,length_days
0,2023-07-06,2023-07-25,20
1,2023-08-06,2023-08-16,11
3,2023-09-06,2023-09-14,9
4,2023-09-21,2023-10-02,12
12,2024-08-01,2024-08-10,10
15,2024-09-03,2024-09-12,10
