,start_date,end_date,length_days
0,2023-08-04,2023-08-23,20
1,2023-08-30,2023-09-29,31
2,2023-10-01,2023-10-11,11
3,2023-10-15,2023-10-26,12
4,2024-06-06,2024-06-21,16
6,2024-07-04,2024-07-19,16
7,2024-08-01,2024-08-10,10
8,2024-08-30,2024-09-21,23
