,start_date,end_date,length_days
0,2023-07-06,2023-07-19,14
1,2023-07-22,2023-07-30,9
4,2023-09-04,2023-09-14,11
5,2023-09-22,2023-10-02,11
6,2023-10-04,2023-10-11,8
10,2024-07-09,2024-07-15,7
11,2024-07-17,2024-07-25,9
16,2024-09-15,2024-09-21,7
