,start_date,end_date,length_days
0,2023-07-01,2023-07-31,31
2,2023-08-06,2023-08-23,18
3,2023-08-28,2023-09-07,11
5,2023-09-23,2023-10-11,19
10,2024-07-04,2024-07-11,8
13,2024-08-31,2024-09-21,22
