,Site,N0_Desilets,N0_UTS,GRAV_TDR_offset,TDR_Grav_ratio
0,C2,4476.914852762898,6658.079180552581,0.09033625005122618,0.5449707902010243
1,C1,3858.1154300107655,5579.744006018646,0.02388559782684746,0.7890616019601121
2,C3,4478.965498481541,6689.517085636909,0.08909757318133522,0.5764639307976699
3,C4,4081.240935827319,5793.585408869748,0.0004031569939763474,0.9956293598277707
4,F2,5265.746236620318,7923.9906688802075,0.1444945622065248,0.49708999677110577
5,F3,4539.657614977215,6853.379792224486,0.07162354837880638,0.7598420422217516
6,F4,4495.540643331596,6424.477438239721,0.009040919341933157,0.8921076996705845
7,F1,4278.227135340476,6413.117012566582,0.11521762827541357,0.4650879856120243
8,R1,4329.208275967764,6708.439183228245,0.26085745353343204,0.42747320216737134
9,R2,4301.423512871152,6366.421405477702,0.0869644227240565,0.5484603322470912
10,R5,4476.752380690419,6669.9751619930275,0.04690661194076334,0.7887333070853496
11,R3,4441.735469144038,6493.190511167728,0.006108680479782899,0.9525725283463197
12,R7,4605.980379683317,6931.607447281519,-0.014267615070836182,1.05658709575287
13,R6,4880.702153003337,7453.760375974777,0.05840558700524033,0.6795592412594789
14,R4,4802.815315931446,7174.797822304441,-0.051973246728760636,1.2121400959793813
