date,doy,min_temp,mean_temp,mean_P_mb,mean_RH,cumulative_GSI,GSI,VPD
2023-06-30,181,4.0,12.818181818181818,790.2295454545455,51.11363636363637,0.8571428571428571,0.8571428571428571,723.5426471501042
2023-07-01,182,6.0,14.125,792.9666666666667,59.4375,1.8571428571428572,1.0,653.7127932323423
2023-07-02,183,6.0,16.8125,792.2583333333333,47.875,2.8264859409268928,0.9693430837840358,998.1021318910854
2023-07-03,184,9.0,18.5,791.5770833333332,38.479166666666664,3.6982807080758366,0.871794767148944,1310.2567451233792
2023-07-04,185,10.0,18.520833333333332,789.84375,37.9375,4.565931109767214,0.8676504016913775,1323.5187145875918
2023-07-05,186,8.0,17.375,789.9104166666666,48.4375,5.527451617345079,0.9615205075778649,1023.1343757508324
2023-07-06,187,6.0,16.914893617021278,789.6255319148936,49.787234042553195,6.506279051713242,0.9788274343681626,967.7522100218797
2023-07-07,188,5.0,16.854166666666668,787.9770833333333,40.1875,7.428673928283041,0.9223948765697999,1148.3363949766403
2023-07-08,189,3.0,16.9375,787.2937499999999,43.104166666666664,8.098734608267504,0.6700606799844621,1098.12815366961
2023-07-09,190,4.0,17.270833333333332,789.5083333333333,31.041666666666668,8.832841850736127,0.734107242468622,1359.3329614504773
2023-07-10,191,10.0,19.4375,790.6020833333333,27.833333333333332,9.604845407751743,0.7720035570156148,1629.5886175500325
2023-07-11,192,10.0,20.1875,791.5583333333334,33.229166666666664,10.392500512738629,0.7876551049868856,1579.503664041966
2023-07-12,193,12.0,20.4375,791.3666666666667,36.1875,11.194685623895065,0.8021851111564371,1533.0076442994014
2023-07-13,194,9.0,20.645833333333332,790.7104166666667,37.020833333333336,11.99701578114518,0.8023301572501138,1532.5434967996357
2023-07-14,195,7.0,19.6875,791.1,35.958333333333336,12.819281392137098,0.822265610991918,1468.7500448258625
2023-07-15,196,5.0,17.645833333333332,793.1145833333334,33.208333333333336,13.679227873216114,0.8599464810790163,1348.171260547148
2023-07-16,197,5.0,18.4375,794.6083333333332,33.958333333333336,14.52265161105067,0.8434237378345548,1401.0440389294245
2023-07-17,198,11.0,21.270833333333332,794.0083333333333,29.333333333333332,15.245484626456777,0.7228330154061082,1786.9343507004535
2023-07-18,199,9.0,22.083333333333332,792.5291666666667,28.8125,15.935569080803065,0.6900844543462877,1891.7297460918792
2023-07-19,200,15.0,20.979166666666668,794.5395833333333,48.770833333333336,16.819180752103996,0.8836116713009301,1272.4426518370235
2023-07-20,201,11.0,19.458333333333332,794.7645833333332,59.145833333333336,17.81176835727886,0.9925876051748643,923.7196634404341
2023-07-21,202,8.0,18.666666666666668,795.0833333333334,56.770833333333336,18.80228724664874,0.9905188893698778,930.339554016391
2023-07-22,203,6.0,18.6875,794.6041666666666,42.1875,19.69422121992692,0.8919339732781831,1245.8112855098138
2023-07-23,204,12.0,21.083333333333332,794.3291666666668,29.354166666666668,20.423602714796015,0.7293814948690943,1765.9792164188982
2023-07-24,205,10.0,21.416666666666668,795.40625,35.0,21.18660507897504,0.7630023641790263,1658.3924346271158
2023-07-25,206,12.0,21.375,795.0916666666667,38.25,21.976774429803804,0.7901693508287623,1571.4580773479606
2023-07-26,207,13.0,20.708333333333332,795.0854166666667,42.479166666666664,22.818925340938193,0.8421509111343912,1405.117084369948
2023-07-27,208,12.0,19.604166666666668,794.1208333333334,47.6875,23.727187868274978,0.908262527336784,1193.5599125222911
2023-07-28,209,14.0,21.4375,793.8666666666667,36.1875,24.499008878676044,0.7718210104010661,1630.1727667165883
2023-07-29,210,11.0,21.333333333333332,795.0625,36.145833333333336,25.27373884136519,0.7747299626891477,1620.8641193947271
2023-07-30,211,13.0,22.520833333333332,795.3166666666666,37.145833333333336,26.01895334033894,0.7452144989737497,1715.3136032840011
2023-07-31,212,13.0,19.6875,794.5041666666666,52.75,26.961564240055814,0.9426108997168737,1083.645120906004
2023-08-01,213,12.0,18.5625,794.0479166666668,67.22916666666667,27.961564240055814,1.0,700.6825175632032
2023-08-02,214,12.0,18.836734693877553,793.8510204081632,65.55102040816327,28.961564240055814,1.0,749.3035529713239
2023-08-03,215,10.0,17.0,793.1723404255318,68.40425531914893,29.961564240055814,1.0,612.2400186228961
2023-08-04,216,9.0,16.8125,792.6833333333334,57.645833333333336,30.961564240055814,1.0,811.0078473759299
