date,doy,min_temp,mean_temp,mean_P_mb,mean_RH,cumulative_GSI,GSI,VPD
2023-06-28,179,0.0,0.0,796.3,15.0,0.2857142857142857,0.2857142857142857,519.18
2023-06-30,181,15.0,15.75,792.2,77.25,1.2857142857142856,1.0,407.1007909165121
2023-07-01,182,3.0,13.081632653061224,793.973469387755,68.38775510204081,2.0,0.7142857142857143,476.0132652562781
2023-07-02,183,5.0,15.708333333333334,793.2354166666668,55.125,3.0,1.0,800.8786278059814
2023-07-03,184,5.0,17.166666666666668,792.4791666666666,47.416666666666664,3.959457982911604,0.9594579829116043,1029.7344546828663
2023-07-04,185,11.0,17.9375,790.7166666666667,43.3125,4.876509907419144,0.9170519245075399,1165.4338415758723
2023-07-05,186,7.0,17.375,790.81875,49.270833333333336,5.843197760329083,0.9666878529099399,1006.5988706881925
2023-07-06,187,6.0,16.666666666666668,790.5916666666667,52.979166666666664,6.843197760329083,1.0,892.0667723818907
2023-07-07,188,5.0,16.875,788.9895833333334,42.291666666666664,7.777759036723454,0.934561276394371,1109.4039155380126
2023-07-08,189,5.0,17.3125,788.3145833333333,44.395833333333336,8.715577179835366,0.9378181431119113,1098.981942041884
2023-07-09,190,4.0,16.354166666666668,790.4833333333332,37.645833333333336,9.503162550879876,0.7875853710445104,1159.6812814338275
2023-07-10,191,6.0,17.3125,791.5020833333333,39.895833333333336,10.413187033037188,0.9100244821573114,1187.9216570966037
2023-07-11,192,7.0,18.458333333333332,792.4770833333333,42.208333333333336,11.310804078880853,0.8976170458436656,1227.62545330027
2023-07-12,193,9.0,19.333333333333332,792.2916666666666,44.541666666666664,12.203237904348464,0.892433825467611,1244.2117585036451
2023-07-13,194,7.0,19.333333333333332,791.6958333333333,43.833333333333336,13.090705632921221,0.887467728572757,1260.1032685671776
2023-07-14,195,8.0,19.208333333333332,792.0791666666668,40.5,13.95803713099657,0.8673314980753477,1324.5392061588875
2023-07-15,196,5.0,17.166666666666668,794.0729166666666,36.1875,14.848776454157521,0.8907393231609525,1249.634165884952
2023-07-16,197,5.0,17.729166666666668,795.5437499999999,40.020833333333336,15.749701876688667,0.9009254225311459,1217.038647900333
2023-07-17,198,6.0,19.4375,794.9354166666667,39.833333333333336,16.6063838260712,0.8566819493825334,1358.617761975893
2023-07-18,199,8.0,20.666666666666668,793.4145833333333,36.145833333333336,17.40143668440353,0.795052858332335,1555.8308533365282
2023-07-19,200,12.0,20.666666666666668,795.4020833333334,50.354166666666664,18.304674355335326,0.9032376709317957,1209.6394530182536
2023-07-20,201,11.0,19.166666666666668,795.6270833333333,61.104166666666664,19.304674355335326,1.0,863.6219172948976
2023-07-21,202,8.0,18.0625,796.0604166666667,64.20833333333333,20.304674355335326,1.0,741.6442058248188
2023-07-22,203,6.0,18.3125,795.5854166666667,47.229166666666664,21.23880856050116,0.9341342051658332,1110.7705434693335
2023-07-23,204,7.0,18.8125,795.2062500000001,40.479166666666664,22.116094309385858,0.8772857488847006,1292.6856035689582
2023-07-24,205,8.0,19.354166666666668,796.2229166666666,46.6875,23.02308767280258,0.9069933634167192,1197.6212370664985
