half_hour,datetime,lat,long,bare_nc_cph,swc,bwe,site,SiteName
2023-06-29 08:30:00,2023-06-29 08:30:00,39.17225,-107.24512,,0.0,0.0,279,Crys 2
2023-06-29 13:00:00,2023-06-29 13:00:00,39.17225,-107.24512,1085.779531466337,0.0,0.0,279,Crys 2
2023-06-29 13:30:00,2023-06-29 13:30:00,39.17225,-107.24512,1091.4443115935867,0.0,0.0,279,Crys 2
2023-06-29 14:00:00,2023-06-29 14:00:00,39.17225,-107.24512,1069.5265280152985,0.0,0.0,279,Crys 2
2023-06-29 14:30:00,2023-06-29 14:30:00,39.17225,-107.24512,1104.414959240885,0.0,0.0,279,Crys 2
2023-06-29 15:00:00,2023-06-29 15:00:00,39.17225,-107.24512,1054.8054860871168,0.0,0.0,279,Crys 2
2023-06-29 15:30:00,2023-06-29 15:30:00,39.17225,-107.24512,1103.322522764666,0.0,0.0,279,Crys 2
2023-06-29 16:00:00,2023-06-29 16:00:00,39.17225,-107.24512,1145.9648739338058,0.0,0.0,279,Crys 2
2023-06-29 16:30:00,2023-06-29 16:30:00,39.17225,-107.24512,1082.4470046370961,0.0,0.0,279,Crys 2
2023-06-29 17:00:00,2023-06-29 17:00:00,39.17225,-107.24512,1066.4892336920864,0.0,0.0,279,Crys 2
2023-06-29 17:30:00,2023-06-29 17:30:00,39.17225,-107.24512,1061.2651283037305,0.0,0.0,279,Crys 2
2023-06-29 18:00:00,2023-06-29 18:00:00,39.17225,-107.24512,1120.9961105778984,0.0,0.0,279,Crys 2
2023-06-29 18:30:00,2023-06-29 18:30:00,39.17225,-107.24512,1092.2425887805057,0.0,0.0,279,Crys 2
2023-06-29 19:00:00,2023-06-29 19:00:00,39.17225,-107.24512,1087.8023952331544,0.0,0.0,279,Crys 2
2023-06-29 19:30:00,2023-06-29 19:30:00,39.17225,-107.24512,1145.0960985067811,0.0,0.0,279,Crys 2
2023-06-29 20:00:00,2023-06-29 20:00:00,39.17225,-107.24512,1136.1514204866749,0.0,0.0,279,Crys 2
2023-06-29 20:30:00,2023-06-29 20:30:00,39.17225,-107.24512,1100.8732432376187,0.0,0.0,279,Crys 2
2023-06-29 21:00:00,2023-06-29 21:00:00,39.17225,-107.24512,1078.6010786648671,0.0,0.0,279,Crys 2
2023-06-29 21:30:00,2023-06-29 21:30:00,39.17225,-107.24512,1098.8618574887294,0.0,0.0,279,Crys 2
2023-06-29 22:00:00,2023-06-29 22:00:00,39.17225,-107.24512,1129.9874004321969,0.0,0.0,279,Crys 2
2023-06-29 22:30:00,2023-06-29 22:30:00,39.17225,-107.24512,1099.9183042341278,0.0,0.0,279,Crys 2
2023-06-29 23:00:00,2023-06-29 23:00:00,39.17225,-107.24512,1110.8362779702868,0.0,0.0,279,Crys 2
2023-06-29 23:30:00,2023-06-29 23:30:00,39.17225,-107.24512,1093.4141617182318,0.0,0.0,279,Crys 2
2023-06-30 00:00:00,2023-06-30 00:00:00,39.17225,-107.24512,1085.568345314362,0.0,0.0,279,Crys 2
2023-06-30 00:30:00,2023-06-30 00:30:00,39.17225,-107.24512,1101.1577351906053,0.0,0.0,279,Crys 2
2023-06-30 01:00:00,2023-06-30 01:00:00,39.17225,-107.24512,1080.3303437757702,0.0,0.0,279,Crys 2
2023-06-30 01:30:00,2023-06-30 01:30:00,39.17225,-107.24512,1052.792984816322,0.0,0.0,279,Crys 2
2023-06-30 02:00:00,2023-06-30 02:00:00,39.17225,-107.24512,1095.4528614707751,0.0,0.0,279,Crys 2
2023-06-30 02:30:00,2023-06-30 02:30:00,39.17225,-107.24512,1064.116445975589,0.0,0.0,279,Crys 2
2023-06-30 03:00:00,2023-06-30 03:00:00,39.17225,-107.24512,1112.2090564486355,0.0,0.0,279,Crys 2
2023-06-30 03:30:00,2023-06-30 03:30:00,39.17225,-107.24512,1098.8521831805444,0.0,0.0,279,Crys 2
2023-06-30 04:00:00,2023-06-30 04:00:00,39.17225,-107.24512,1081.4215921982345,0.0,0.0,279,Crys 2
2023-06-30 04:30:00,2023-06-30 04:30:00,39.17225,-107.24512,1081.6834759458209,0.0,0.0,279,Crys 2
2023-06-30 05:00:00,2023-06-30 05:00:00,39.17225,-107.24512,1069.0734727402364,0.0,0.0,279,Crys 2
2023-06-30 05:30:00,2023-06-30 05:30:00,39.17225,-107.24512,1120.6840520946766,0.0,0.0,279,Crys 2
2023-06-30 06:00:00,2023-06-30 06:00:00,39.17225,-107.24512,1091.1358542377307,0.0,0.0,279,Crys 2
2023-06-30 06:30:00,2023-06-30 06:30:00,39.17225,-107.24512,1071.8477953122997,0.0,0.0,279,Crys 2
2023-06-30 07:00:00,2023-06-30 07:00:00,39.17225,-107.24512,1100.3355619153294,0.0,0.0,279,Crys 2
2023-06-30 07:30:00,2023-06-30 07:30:00,39.17225,-107.24512,1074.2565052015634,0.0,0.0,279,Crys 2
2023-06-30 08:00:00,2023-06-30 08:00:00,39.17225,-107.24512,1084.5334664109464,0.0,0.0,279,Crys 2
