half_hour,datetime,lat,long,bare_nc_cph,swc,bwe,site,SiteName
2023-06-22 16:30:00,2023-06-22 16:30:00,39.31247,-107.20899,36.12522816437332,0.0,0.0,269,Crys 6
2023-06-22 17:00:00,2023-06-22 17:00:00,39.31247,-107.20899,29.789186221306547,0.0,0.0,269,Crys 6
2023-06-22 17:30:00,2023-06-22 17:30:00,39.31247,-107.20899,29.83359644657247,0.0,0.0,269,Crys 6
2023-06-22 18:00:00,2023-06-22 18:00:00,39.31247,-107.20899,29.366505717074766,0.0,0.0,269,Crys 6
2023-06-22 18:30:00,2023-06-22 18:30:00,39.31247,-107.20899,26.75156591091515,0.0,0.0,269,Crys 6
2023-06-22 19:00:00,2023-06-22 19:00:00,39.31247,-107.20899,29.747644385824263,0.0,0.0,269,Crys 6
2023-06-22 19:30:00,2023-06-22 19:30:00,39.31247,-107.20899,32.722914937154876,0.0,0.0,269,Crys 6
2023-06-22 20:00:00,2023-06-22 20:00:00,39.31247,-107.20899,36.74239570844495,0.0,0.0,269,Crys 6
2023-06-22 20:30:00,2023-06-22 20:30:00,39.31247,-107.20899,38.121236080197164,0.0,0.0,269,Crys 6
2023-06-22 21:00:00,2023-06-22 21:00:00,39.31247,-107.20899,46.73973126779967,0.0,0.0,269,Crys 6
2023-06-22 21:30:00,2023-06-22 21:30:00,39.31247,-107.20899,53.09421079501624,0.0,0.0,269,Crys 6
2023-06-22 22:00:00,2023-06-22 22:00:00,39.31247,-107.20899,61.712301184633965,0.0,0.0,269,Crys 6
2023-06-22 22:30:00,2023-06-22 22:30:00,39.31247,-107.20899,66.21554994841695,0.0,0.0,269,Crys 6
2023-06-22 23:00:00,2023-06-22 23:00:00,39.31247,-107.20899,73.8915814738213,0.0,0.0,269,Crys 6
2023-06-22 23:30:00,2023-06-22 23:30:00,39.31247,-107.20899,88.81124419321134,0.0,0.0,269,Crys 6
2023-06-23 00:30:00,2023-06-23 00:30:00,39.31247,-107.20899,95.22135767076249,0.0,0.0,269,Crys 6
2023-06-23 01:00:00,2023-06-23 01:00:00,39.31247,-107.20899,84.99677291792631,0.0,0.0,269,Crys 6
2023-06-23 01:30:00,2023-06-23 01:30:00,39.31247,-107.20899,89.54380701925169,0.0,0.0,269,Crys 6
2023-06-23 02:00:00,2023-06-23 02:00:00,39.31247,-107.20899,82.41796265541961,0.0,0.0,269,Crys 6
2023-06-23 02:30:00,2023-06-23 02:30:00,39.31247,-107.20899,107.17998165767013,0.0,0.0,269,Crys 6
2023-06-23 03:00:00,2023-06-23 03:00:00,39.31247,-107.20899,104.17953510509933,0.0,0.0,269,Crys 6
2023-06-23 03:30:00,2023-06-23 03:30:00,39.31247,-107.20899,142.4610391168183,0.0,0.0,269,Crys 6
2023-06-23 04:00:00,2023-06-23 04:00:00,39.31247,-107.20899,154.77525955480365,0.0,0.0,269,Crys 6
2023-06-23 04:30:00,2023-06-23 04:30:00,39.31247,-107.20899,191.20967336057353,0.0,0.0,269,Crys 6
2023-06-23 05:00:00,2023-06-23 05:00:00,39.31247,-107.20899,193.5482633525552,0.0,0.0,269,Crys 6
2023-06-23 05:30:00,2023-06-23 05:30:00,39.31247,-107.20899,221.42727042470932,0.0,0.0,269,Crys 6
2023-06-23 06:30:00,2023-06-23 06:30:00,39.31247,-107.20899,296.13802091635927,0.0,0.0,269,Crys 6
2023-06-23 07:00:00,2023-06-23 07:00:00,39.31247,-107.20899,313.4286365698665,0.0,0.0,269,Crys 6
2023-06-23 07:30:00,2023-06-23 07:30:00,39.31247,-107.20899,293.71776838462955,0.0,0.0,269,Crys 6
2023-06-23 08:00:00,2023-06-23 08:00:00,39.31247,-107.20899,414.51877561827683,0.0,0.0,269,Crys 6
2023-06-23 08:30:00,2023-06-23 08:30:00,39.31247,-107.20899,294.4295408187948,0.0,0.0,269,Crys 6
2023-06-23 09:00:00,2023-06-23 09:00:00,39.31247,-107.20899,289.94976330440437,0.0,0.0,269,Crys 6
