,Date,Crys 1,Crys 2,Crys 3,Crys 6,Fry 4,Fry 5,Fry 6,RF 1,RF 2,RF 3,RF5,RF 6,RF 7,RF 8,RF 9
146,8/25/2023,10.4846,10.4846,10.4927,10.467899,5.9075,7.3282,5.1161,5.6015997,4.8262997,4.6433,6.2935,8.3561,7.8443,12.064899,12.1818
147,8/26/2023,5.4119997,5.4119997,5.2587,4.8491,21.977499,12.572599,5.619,9.3572,8.2605,6.8936,5.8339,5.0078998,5.171,2.6729999,2.6139998
148,8/27/2023,2.1526,2.1526,3.5089,2.2272,1.9755,3.1058,3.3292,4.5638,5.0768,5.6264,2.9929,3.0014,2.5578,1.4231,2.3076
149,8/28/2023,2.9041998,2.9041998,3.2131999,2.1106,0.46069998,1.5179,0.074099995,2.3274999,2.6654,2.8144,0.4012,0.4464,0.1704,0.38419998,0.4182
150,8/29/2023,0.47559997,0.47559997,1.6951,0.7333,0,0.4464,0.012,0.9953,1.129,0.76119995,0.0534,0.44739997,0.2816,0,0
151,8/30/2023,0.62509996,0.62509996,0.0012,0,0,0,0,0,0,0,0,0,0,0,0
152,8/31/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,9/1/2023,1.1251999,1.1251999,0.0012,0,0,0,0,0,0,0,0,0,0,0,0
154,9/2/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,9/3/2023,0.2312,0.2312,0.8129,0.6537,0,0,0,0,0,0,0,0.1768,0,0.011899999,0.4482
156,9/4/2023,2.1471999,2.1471999,1.5396,1.0296,0.0004,0.9891,1.3689,0.7919,0.8842,0.9285,1.3239,1.1488,1.1012,1.9905,1.7070999
157,9/5/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0019,0.0026
158,9/6/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,9/7/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,9/8/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,9/9/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,9/10/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,9/11/2023,3.4801,3.4801,3.8585,2.0774,4.8199,3.9759,3.4543,3.9145,4.0627,4.0731,3.2826998,2.3248,2.6536999,1.5653,1.5274999
164,9/12/2023,0,0,0,0,0.024799999,1.0353,0.86259997,0.61079997,0.68979996,0.40359998,0.7152,0.1302,0.0346,0,0.0105
165,9/13/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,9/14/2023,1.2772,1.2772,1.4424,0.6961,0.0857,1.1567,1.5503,1.2810999,1.6592,1.3827,1.806,1.1018,0.8746,0.6351,0.6313
167,9/15/2023,3.8084998,3.8084998,5.1155,4.0659,10.457399,10.2206,7.3341,9.7661,10.6468,11.663099,6.9926,5.082,5.4214997,1.5332999,1.5873
168,9/16/2023,6.7162,6.7162,3.8774,2.6922998,5.9474998,5.0706997,1.9641999,5.4781,5.7574,5.6008997,2.5877,2.4778,2.3686,3.5663,3.4412
169,9/17/2023,0,0,0,0,0,0,0,0.0244,0.023799999,0,0,0,0,0,0
170,9/18/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,9/19/2023,4.9288,4.9288,4.4437,3.2568,2.9166,3.8251998,3.4726999,4.08,4.2703,4.63,3.8342998,4.5306,4.8142,3.7988,3.9059
172,9/20/2023,1.6062,1.6062,1.2587,0.6358,0.0035,0,0.0011,0.3195,0.44239998,0.43629998,0.024899999,0.392,0.4455,0.2279,0.20189999
173,9/21/2023,0.80609995,0.80609995,2.1158,1.6895,0.0034,1.0299,2.4747999,0.7685,0.75119996,0.9224,1.847,1.0095999,0.89129996,0.7532,0.72139996
174,9/22/2023,0.16129999,0.16129999,0.2501,0.112399995,0.0034,0.6096,0.1261,0.6701,0.6543,0.4155,0.4425,0.40449998,0.6107,0,0
175,9/23/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,9/24/2023,1.1276,1.1276,0.0012,0,0,0,0,0,0,0,0,0,0,0,0
177,9/25/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,9/26/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,9/27/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,9/28/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,9/29/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,9/30/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,10/1/2023,1.1142,1.1142,0.1352,0,0.5703,0.4034,0,0.5365,0.51489997,0.4799,0,0,0,0,0
184,10/2/2023,0.0007,0.0007,0.0477,0,0.018,0.24589999,0.3403,0.8559,0.9849,1.1164,0.31379998,0,0,0,0
185,10/3/2023,10.2746,10.2746,12.300699,8.689199,6.0365996,6.1902,6.23,8.176,8.8972,9.8405,5.8363,4.5348997,4.8259997,4.7960997,5.3255997
186,10/4/2023,0.89879996,0.89879996,2.0197,0.9461,3.4542,1.9043,1.4491999,2.8126,2.7242,1.8723999,1.1675999,0.1165,0.4262,0.3166,0.40489998
187,10/5/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,10/6/2023,0,0,0,0,0.0323,0,0,0,0,0,0,0,0,0,0
189,10/7/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,10/8/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,10/9/2023,1.023,1.023,0.0027,0,0,0,0,0,0,0,0,0,0,0,0
192,10/10/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,10/11/2023,0.0836,0.0836,0.5155,0.5329,0,0,0,0,0,0,0,0.1586,0.0695,0.1917,0.1312
194,10/12/2023,12.9269,12.9269,18.9966,18.2052,10.2561,11.4544,14.885799,11.9945,12.401899,12.9815,14.0927,11.6459,12.797999,14.931399,14.5892
195,10/13/2023,11.2692995,11.2692995,9.4788,4.9595,7.3069,5.9028,4.4621,7.7984,7.9774,7.1555996,3.9942,1.2405,2.2285,3.5058,3.6731
196,10/14/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,10/15/2023,1.1855,1.1855,0.1407,0,1.1284,0.042,0,0,0,0,0,0,0,0,0
198,10/16/2023,0,0,0,0,0,0,0,0.0609,0.0743,0,0,0,0,0,0
199,10/17/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,10/18/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,10/19/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,10/20/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,10/21/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,10/22/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
