,date,Date (aggregated based on UTC),Raw_Moderated_cph,Raw_Mod_Coeff_of_Var,Raw_Mod_sqrt,Corrected_Mod_cph_for_Des,SWC_Des_cm3_cm3,Corrected_Mod_cph_for_UTS,SWC_UTS_cm3_cm3,Rhov_g_cm3,BaroPress_mb,SWC_5,SWC_10,SWC_20,SWC_50,WeightedTDR_SWC,WeightedTDR_SD,WeightedTDR_SE,sT_5,sT_10,sT_20,sT_50,PRISM_ppt_mm,BaroPress,airRH,airT,date.1,CRNS,Bare,scaled_stationary_N_Des,scaled_stationary_N_UTS,N0,TDR_pore_swc_g,TDR_tot_swc_g,NewName,ND
0,2023-07-01,2023-07-01,5676.108695652174,0.0093868953448807,106.5416971172248,2069.791066941073,0.1394664700491503,2000.437795409664,0.1321676503057065,6.416977913933188e-06,768.3282608695652,0.178391304347826,0.1353695652173913,0.1978043478260869,0.1685869565217391,0.1674571270725262,0.0,0.0,12.434782608695652,11.952173913043476,11.85,10.52391304347826,,768.3282608695652,71.62173913043478,11.093478260869563,2023-07-01,0.1321676503057065,816.7739577395549,2631.2417232780667,2543.0757124115835,4489.682892183412,0.17543472478196095,0.27043472478196096,F3,6903.610581842413
1,2023-07-02,2023-07-02,5735.3125,0.0093379669163635,107.09723723324818,2080.894843903424,0.1343378105877879,2008.6931578694296,0.128729502360026,6.658086045838385e-06,767.7416666666667,0.1750624999999999,0.1324583333333333,0.1938333333333333,0.1667083333333333,0.1641979197993964,0.0038079418773335,0.0019692611030353,14.497916666666669,13.004166666666668,12.172916666666666,10.53125,0.0323,767.7416666666667,63.208333333333336,13.514583333333333,2023-07-02,0.128729502360026,816.5676113337835,2645.3575061200954,2553.5704210282465,4499.45435935896,0.17202025003869575,0.2670202500386958,F3,6908.141241747218
2,2023-07-03,2023-07-03,5772.625,0.0093081129804234,107.4436166081516,2091.9074080768323,0.1299117129170038,2023.2310943401465,0.1233901977539062,6.288472775846147e-06,767.1437500000001,0.1701666666666667,0.1294375,0.1895833333333333,0.1646041666666667,0.1601555234641616,0.0085309340038631,0.0044117365883045,14.752083333333331,13.35625,12.547916666666666,10.677083333333334,0.77,767.1437500000001,60.208333333333336,14.297916666666666,2023-07-03,0.1233901977539062,819.2645585661376,2659.3573338303263,2572.051912045912,4505.196662935776,0.16778527538620228,0.2627852753862023,F3,6927.533019634361
4,2023-07-05,2023-07-05,5870.083333333333,0.0092300886903594,108.34846772714047,2103.748130501636,0.1249709095675173,2030.063927274402,0.1206995646158854,6.721943979764663e-06,765.3895833333332,0.1590833333333333,0.1228124999999999,0.1798958333333333,0.1604583333333333,0.1510857763350101,0.0191277040205045,0.0098918115694373,14.425,13.589583333333332,12.90625,10.997916666666669,0.4671,765.3895833333332,55.68333333333334,15.279166666666669,2023-07-05,0.1206995646158854,817.6390665537655,2674.4099656517315,2580.7382163748666,4489.000799991968,0.15828344874399827,0.2532834487439983,F3,6880.9611366722465
5,2023-07-06,2023-07-06,5949.833333333333,0.0091692003728321,109.07727048258197,2110.6769619089205,0.1224414958461935,2045.154664632628,0.1155192057291666,5.936148731563075e-06,765.2229166666666,0.1542708333333333,0.1198333333333333,0.1756666666666666,0.1584166666666666,0.1471000095634221,0.0237845321786717,0.0123000706371467,14.28125,13.270833333333334,12.770833333333334,11.116666666666667,0.0,765.2229166666666,53.77708333333334,15.091666666666669,2023-07-06,0.1155192057291666,813.2486757134416,2683.218308959228,2599.922460816833,4484.983551086323,0.15410780146733274,0.24910780146733275,F3,6900.191942697011
6,2023-07-07,2023-07-07,6098.9375,0.0090557738744016,110.43822594913507,2124.756346292104,0.1170254415588353,2066.812245831086,0.1082013448079427,5.197185217893698e-06,763.5020833333333,0.1486875,0.1165625,0.1704999999999999,0.1547083333333333,0.1424369059909274,0.0292327365682607,0.0151175865897056,15.2875,13.760416666666666,13.05625,11.191666666666668,0.0,763.5020833333333,49.18333333333334,14.48125,2023-07-07,0.1082013448079427,814.2345205942908,2701.1168612425035,2627.4548684036936,4492.4206614117,0.14922254930654488,0.24422254930654488,F3,6935.150862037136
7,2023-07-08,2023-07-08,6116.729166666667,0.0090424519245345,110.5997993171448,2130.21077717065,0.1147413942730567,2066.026958137348,0.108245849609375,5.7564935037792615e-06,762.8479166666666,0.1434375,0.1139791666666666,0.1658333333333333,0.15175,0.1382727939667829,0.0340979369773838,0.017633604489345,15.322916666666666,13.920833333333334,13.21875,11.327083333333334,0.0,762.8479166666666,48.88541666666666,15.833333333333334,2023-07-08,0.108245849609375,812.9900766097979,2708.050858752493,2626.4565638996582,4483.512740649195,0.14486006047320518,0.23986006047320518,F3,6897.460083038614
8,2023-07-09,2023-07-09,6124.020833333333,0.0090368776748769,110.66647951090778,2155.673332057473,0.1055339754891675,2106.1818988129826,0.0955543518066406,4.35406711304459e-06,765.13125,0.1376875,0.1108333333333333,0.1607708333333333,0.1486666666666666,0.1336221123585758,0.0395316279856363,0.0204436149078752,15.23125,13.816666666666668,13.333333333333334,11.454166666666666,0.0,765.13125,41.07291666666666,14.395833333333334,2023-07-09,0.0955543518066406,817.5740374040333,2740.420375593863,2677.503916934008,4513.639731751053,0.1399878220546458,0.2349878220546458,F3,6990.794467917329
9,2023-07-10,2023-07-10,6080.125,0.0090691296000292,110.27040612432116,2162.5387804357374,0.103054440697544,2103.0658403084594,0.0964673360188802,5.243122844817476e-06,766.4499999999999,0.1329375,0.1080625,0.1560625,0.1454166666666666,0.1295949852758443,0.0442367800605305,0.0228768644855825,15.59375,14.029166666666669,13.40625,11.541666666666666,0.0,766.4499999999999,44.32083333333333,15.05625,2023-07-10,0.0964673360188802,814.7171534275283,2749.148142618483,2673.5425977070418,4507.313873070498,0.13576884407638992,0.23076884407638992,F3,6944.698599878096
10,2023-07-11,2023-07-11,5980.666666666667,0.0091440739433402,109.36540043867768,2151.073077639662,0.1070299255788448,2085.3958542780106,0.1018409729003906,5.8337546811405145e-06,767.4020833333334,0.1292708333333333,0.1059375,0.152375,0.1425416666666666,0.1264669288583833,0.047891489941953,0.0247668823073366,15.2625,13.864583333333334,13.3375,11.641666666666666,0.0,767.4020833333334,50.35833333333333,15.84375,2023-07-11,0.1018409729003906,817.6645284363465,2734.572258092937,2651.079458680275,4467.215368540138,0.13249176816870376,0.22749176816870376,F3,6858.527234698499
11,2023-07-12,2023-07-12,5967.708333333333,0.0091542686520389,109.24576821196324,2153.26130555592,0.1064087690993894,2077.4452392567355,0.104583740234375,6.764322302348861e-06,767.2312499999999,0.1260416666666666,0.1039791666666666,0.1488958333333333,0.1390416666666666,0.123602054449367,0.0512387073237178,0.0264978816780332,16.085416666666667,14.352083333333333,13.572916666666666,11.697916666666666,0.0,767.2312499999999,53.39166666666667,16.310416666666665,2023-07-12,0.104583740234375,820.8596765942531,2737.3540637955816,2640.9721631643956,4456.745235447315,0.12949041216632245,0.22449041216632246,F3,6806.466448069278
