,KGE,r,beta,gamma,r_squared,RMSE,ubRMSE,std_pred,std_obs,std_bias,Site,Method,N0_fit,N0_upper_CI,N0_lower_CI
0,0.6030137711806907,0.8621758682810835,1.2401219874881546,0.7154933995267556,-0.16829674620347657,0.04646395455527229,0.021804489976169367,0.03814254134939679,0.04298724240017345,0.0048447010507766605,C2,"UTS, single N0 for all sites",6782.534554785393,7028.683581751238,6499.884182532492
1,0.22035892710572513,0.8997941529738491,1.7021980440248665,0.6764000962095952,-2.0847265011888703,0.09748520151365003,0.02795476143416225,0.06390636408538337,0.05550477691678468,0.008401587168598693,C1,"UTS, single N0 for all sites",6782.534554785393,7028.683581751238,6499.884182532492
2,0.6420512517207679,0.9163735616535338,1.0986238509068156,0.6662227370888426,0.7120717118751073,0.03239315496101553,0.0266087621371922,0.04418547769835282,0.0603685967605573,0.01618311906220448,C3,"UTS, single N0 for all sites",6782.534554785393,7028.683581751238,6499.884182532492
3,0.2599235117530905,0.8063385026983771,1.704279052418015,0.8808385580653096,-5.476974324067175,0.08712967819861343,0.03123989269046248,0.051394547377692806,0.034235763870264974,0.017158783507427833,C4,"UTS, single N0 for all sites",6782.534554785393,7028.683581751238,6499.884182532492
4,0.7653483735294827,0.9489402344932434,1.0685236746126348,0.7814621493442475,0.8441829806077144,0.015125562504010736,0.012851847831548028,0.03199603659538,0.03831811075052644,0.006322074155146441,F2,"UTS, single N0 for all sites",6782.534554785393,7028.683581751238,6499.884182532492
5,0.7699893928433603,0.8683090327733487,1.055539680152936,0.8197842612755905,0.6942636940708757,0.031016477535588317,0.027824619266061446,0.048539255172696597,0.05609433032046679,0.007555075147770193,F3,"UTS, single N0 for all sites",6782.534554785393,7028.683581751238,6499.884182532492
6,0.7554548729399876,0.936980197877919,1.0002045485890074,0.7637146177412447,0.8479647342233966,0.018731593621558466,0.018731574814282666,0.03669631768645327,0.04803995129754589,0.01134363361109262,F4,"UTS, single N0 for all sites",6782.534554785393,7028.683581751238,6499.884182532492
7,0.22625634628223212,0.9026469619870725,1.7152999828510707,0.7215263707432377,-6.232181741404654,0.0928089239713682,0.018821677590428614,0.042711749788236025,0.034510803577131405,0.00820094621110462,F1,"UTS, single N0 for all sites",6782.534554785393,7028.683581751238,6499.884182532492
8,0.5403929725325374,0.8827922121142912,1.3999615943565562,0.80626905978606,-1.6434700634201387,0.09020836287356278,0.02942015081133643,0.06262615072435992,0.05548295750092303,0.007143193223436893,R1,"UTS, single N0 for all sites",6782.534554785393,7028.683581751238,6499.884182532492
9,0.370654053927568,0.8953058871593007,1.586692145317016,1.2022567407964955,-9.953018375422532,0.07631645078524925,0.0255034045104037,0.043988702191323004,0.023059572755909277,0.020929129435413727,R2,"UTS, single N0 for all sites",6782.534554785393,7028.683581751238,6499.884182532492
10,0.7609534831172797,0.8165936476900464,0.8999962962104651,0.8837906785387128,0.5433372602926922,0.03492668501382063,0.02985300004155905,0.04111021210246792,0.051684411860064144,0.010574199757596221,R5,"UTS, single N0 for all sites",6782.534554785393,7028.683581751238,6499.884182532492
11,0.5575111595432062,0.8720953784784035,0.9384188294647576,0.5809003207377457,0.6242910924622805,0.037553831100010496,0.03605709788545906,0.033398490027437486,0.061267266294860186,0.0278687762674227,R3,"UTS, single N0 for all sites",6782.534554785393,7028.683581751238,6499.884182532492
12,0.6070075023477153,0.7468329084750471,0.7228492250761248,0.8836514936113378,-1.0873644704608214,0.05036740114370133,0.023487759755856628,0.02226789346549348,0.0348618475369778,0.012593954071484316,R7,"UTS, single N0 for all sites",6782.534554785393,7028.683581751238,6499.884182532492
13,0.7168105074001856,0.8984251473163176,0.8505652472565434,0.7819447485298038,0.5205980239890774,0.04236502674703834,0.030426209769460883,0.04069502096071482,0.06118677666286543,0.02049175570215061,R6,"UTS, single N0 for all sites",6782.534554785393,7028.683581751238,6499.884182532492
14,0.6455333145844392,0.8520257933558496,0.8410795189355652,0.7198312188416114,0.4524777972390346,0.03819901919741893,0.029873236795013705,0.03125496954612581,0.05162396343741647,0.02036899389129066,R4,"UTS, single N0 for all sites",6782.534554785393,7028.683581751238,6499.884182532492
