,KGE,r,beta,gamma,r_squared,RMSE,ubRMSE,std_pred,std_obs,std_bias,Site,Method,N0_fit,N0_upper_CI,N0_lower_CI
0,0.7118598553985145,0.9367478099462798,0.8619879992791392,0.7550988137199042,0.6567951664801557,0.028143574509107705,0.02170961749310804,0.031268537298307315,0.04803995129754589,0.016771413999238573,F4,"UTS, single N0 for forest, half-forest, or non-forest",6480.731759542499,6486.438988946224,6478.961727606384
1,0.6807114223909216,0.8173419840801304,0.7733704788857007,0.8687738396075367,0.014996293173232034,0.051295410660675236,0.030712462917632813,0.03472593146523746,0.051684411860064144,0.016958480394826683,R5,"UTS, single N0 for forest, half-forest, or non-forest",6480.731759542499,6486.438988946224,6478.961727606384
2,0.6316474709789336,0.8996470545303195,0.7306613399598617,0.7696316901577873,-0.05849460032654541,0.0629508934712046,0.03375886591532007,0.034407779453765656,0.06118677666286543,0.02677899720909977,R6,"UTS, single N0 for forest, half-forest, or non-forest",6480.731759542499,6486.438988946224,6478.961727606384
