,date,Date (aggregated based on UTC),Raw_Moderated_cph,Raw_Mod_Coeff_of_Var,Raw_Mod_sqrt,Corrected_Mod_cph_for_Des,SWC_Des_cm3_cm3,Corrected_Mod_cph_for_UTS,SWC_UTS_cm3_cm3,Rhov_g_cm3,BaroPress_mb,SWC_5,WeightedTDR_SWC,WeightedTDR_SD,WeightedTDR_SE,sT_5,PRISM_ppt_mm,BaroPress,airRH,airT,date.1,CRNS,Bare,scaled_stationary_N_Des,scaled_stationary_N_UTS,N0,TDR_pore_swc_g,TDR_tot_swc_g,NewName,ND
0,2023-07-01,2023-07-01,5912.565217391304,0.0091968031579793,108.74007864421232,2648.2932209470755,0.0493814375288594,2549.836598620285,0.0585406759510869,7.147854490151672e-06,796.1217391304348,0.0393695652173913,0.0393695652173913,0.0,0.0,18.68478260869565,,796.1217391304348,69.16956521739131,13.343478260869563,2023-07-01,0.0585406759510869,952.9293602007804,3520.713261795393,3389.822341864122,4611.096470656101,0.038849105258998214,0.09084910525899821,R4,6641.3405654232765
1,2023-07-02,2023-07-02,6051.0625,0.009091196917764,110.0052707626108,2682.5672029018383,0.043855241259804,2587.318024016228,0.0534578959147135,6.820093322218658e-06,795.1750000000001,0.0403125,0.0403125,0.0013335111579985,0.0009429347826086,20.50208333333333,0.0,795.1750000000001,55.56458333333333,16.310416666666665,2023-07-02,0.0534578959147135,942.5832374021204,3566.2780285093736,3439.651171398073,4681.692270531167,0.03977957458015175,0.09177957458015175,R4,6762.573231878482
2,2023-07-03,2023-07-03,6143.354166666667,0.0090223533400166,110.84222535062167,2710.8225645706043,0.0394586941186922,2623.7647263575827,0.0487340291341145,6.147857476562307e-06,794.3458333333333,0.0394791666666666,0.0394791666666666,0.0001549998560209,0.0001096014492753,21.570833333333336,0.0,794.3458333333333,47.93541666666667,17.575,2023-07-03,0.0487340291341145,944.1247911270028,3603.841477208032,3488.104411872717,4721.255026324006,0.038957257792965085,0.09095725779296508,R4,6836.415203949894
3,2023-07-04,2023-07-04,6183.916666666667,0.0089929332790915,111.206647835133,2698.97910160564,0.0413392098877109,2606.9603498935166,0.050909678141276,6.53830537093703e-06,792.6958333333333,0.0381666666666666,0.0381666666666666,0.0017011554445937,0.0012028985507246,21.360416666666666,0.0,792.6958333333333,43.833333333333336,18.416666666666668,2023-07-04,0.050909678141276,941.5281885238944,3588.096454415042,3465.7642153245106,4685.262339015665,0.037662108853146185,0.08966210885314618,R4,6762.558309043626
4,2023-07-05,2023-07-05,6223.3125,0.0089645019605854,111.5599790008648,2725.6914442708003,0.0373156435704663,2625.5008475015125,0.0485394795735677,7.064919101925945e-06,792.7687500000001,0.0370208333333333,0.0370208333333333,0.0033216084848129,0.0023487318840579,20.697916666666668,0.1545,792.7687500000001,49.77708333333334,17.929166666666667,2023-07-05,0.0485394795735677,944.690449951784,3623.6085715518366,3490.4124586883677,4718.006968547745,0.03653142327076465,0.08853142327076464,R4,6783.650769425599
5,2023-07-06,2023-07-06,6288.0,0.0089195011622433,112.13305960086927,2732.3115094666096,0.0363768867719305,2635.5931628993344,0.0474014282226562,6.809595815773e-06,792.5083333333333,0.0367916666666666,0.0367916666666666,0.0036456990928567,0.0025778985507246,21.085416666666667,0.0,792.5083333333333,53.42291666666667,17.10625,2023-07-06,0.0474014282226562,946.063876655086,3632.409466839595,3503.8294581287196,4726.725087162221,0.036305286154288297,0.0883052861542883,R4,6805.079206144848
6,2023-07-07,2023-07-07,6437.375,0.0088144851537575,113.46114993295905,2735.4074295878577,0.0358590271853737,2659.0772457847875,0.0445175170898437,5.325219802171235e-06,790.7770833333334,0.0362083333333333,0.0362083333333333,0.004470657004241,0.0031612318840579,21.93125,0.0,790.7770833333334,42.79791666666667,17.416666666666668,2023-07-07,0.0445175170898437,946.497325799784,3636.5252675153374,3535.0498386371696,4725.082811858203,0.03572966440325771,0.0877296644032577,R4,6852.784111580303
7,2023-07-08,2023-07-08,6468.5,0.0087930914846541,113.73583012380412,2749.1039800814056,0.0338779087786476,2663.655608485967,0.0439478556315104,5.945158604446809e-06,790.1020833333333,0.0353958333333333,0.0353958333333333,0.0056197055236691,0.0039737318840579,22.75,0.0,790.1020833333333,44.84791666666666,17.849999999999998,2023-07-08,0.0439478556315104,949.6581325683692,3654.7338354269523,3541.136438924425,4738.91329739987,0.03492790553575078,0.08692790553575078,R4,6842.127306400424
8,2023-07-09,2023-07-09,6465.854166666667,0.0087947499674742,113.71317366759916,2777.1076224026115,0.029986187801486,2708.510455346564,0.0389137268066406,4.692760227347172e-06,792.2583333333333,0.0347291666666666,0.0347291666666666,0.0065625145652512,0.0046403985507246,22.37291666666667,0.0,792.2583333333333,38.110416666666666,16.916666666666668,2023-07-09,0.0389137268066406,948.3982807133184,3691.9626415572593,3600.7676961238935,4779.010621543193,0.03427005210600147,0.08627005210600146,R4,6941.8099690813315
9,2023-07-10,2023-07-10,6441.270833333333,0.0088113598655484,113.49747372666002,2787.968117184399,0.0285358340519241,2708.8367877438955,0.0389175415039062,5.415031422270251e-06,793.3354166666667,0.0338125,0.0338125,0.0078588769974265,0.0055570652173913,22.65833333333333,0.0,793.3354166666667,40.40833333333333,17.872916666666665,2023-07-10,0.0389175415039062,953.1152279169288,3706.400879629033,3601.2015313162924,4786.3720726903,0.03336550364009627,0.08536550364009628,R4,6919.777503471736
