,KGE,r,beta,gamma,r_squared,RMSE,ubRMSE,std_pred,std_obs,std_bias,Site,Method,N0_fit,N0_CI_upper,N0_CI_lower
0,0.4801368882848829,0.9234834874193852,1.4480613147724561,0.7477225011440716,-2.3445605205893005,0.07861566924190366,0.0178561907019786,0.046544351941884866,0.04298724240017345,0.0035571095417114146,C2,"Desilets, single N0 for all sites",4559.85324599415,4683.1722560195785,4463.55005409924
1,-0.06318430030234934,0.9231353578509851,2.041338570710948,0.7998334085158563,-5.877428995666423,0.1455604599244027,0.044795717598710504,0.09062435809463865,0.05550477691678468,0.035119581177853965,C1,"Desilets, single N0 for all sites",4559.85324599415,4683.1722560195785,4463.55005409924
2,0.6385627618989504,0.9588844991629071,1.2962197932221928,0.7970216100654282,0.06912580657088307,0.05824472193855721,0.017708766665308552,0.06236771410661831,0.0603685967605573,0.001999117346061008,C3,"Desilets, single N0 for all sites",4559.85324599415,4683.1722560195785,4463.55005409924
3,-0.012126449487114943,0.8768296037953069,2.004321835654607,1.023804488600539,-12.090341064292737,0.12386696692763154,0.04347098833251566,0.07025294093119745,0.034235763870264974,0.03601717706093248,C4,"Desilets, single N0 for all sites",4559.85324599415,4683.1722560195785,4463.55005409924
4,0.8093971034315401,0.9589594635581624,1.171031483922865,0.9265604326265741,0.6338070870361703,0.023187773838619235,0.011890406136876787,0.04157635482299295,0.03831811075052644,0.0032582440724665054,F2,"Desilets, single N0 for all sites",4559.85324599415,4683.1722560195785,4463.55005409924
5,0.6896662750709817,0.9227433191271938,1.2852167746231171,0.9051853515408985,-0.7805317455038774,0.07485034875016766,0.025486887502570405,0.06525786634966128,0.05609433032046679,0.009163536029194494,F3,"Desilets, single N0 for all sites",4559.85324599415,4683.1722560195785,4463.55005409924
6,0.8776329314108895,0.9541155318813905,1.1083967985218697,0.9665567775061437,0.8108611882853426,0.020892619098783375,0.015447845025833134,0.051466565974503414,0.04803995129754589,0.003426614676957526,F4,"Desilets, single N0 for all sites",4559.85324599415,4683.1722560195785,4463.55005409924
7,-0.12893207131004614,0.9395763442848921,2.104304482907236,0.7733985602574525,-16.118804237183586,0.1427880243563311,0.026516978422345086,0.056165161436199824,0.034510803577131405,0.02165435785906842,F1,"Desilets, single N0 for all sites",4559.85324599415,4683.1722560195785,4463.55005409924
8,0.2164877987456656,0.8897304065541553,1.759499885914249,0.8422282992043773,-8.077360711443335,0.1671627086605498,0.041484238054488184,0.08222022780864821,0.05548295750092303,0.02673727030772518,R1,"Desilets, single N0 for all sites",4559.85324599415,4683.1722560195785,4463.55005409924
9,0.09133166976173168,0.9330986053048003,1.8439616944557708,1.3300469603816762,-21.572079160331054,0.10955621984363231,0.03600600504159074,0.05655488537463531,0.023059572755909277,0.03349531261872603,R2,"Desilets, single N0 for all sites",4559.85324599415,4683.1722560195785,4463.55005409924
10,0.852099753076567,0.8573465397409011,1.0309998895543238,1.023737737123363,0.6839657010551394,0.02905538858278973,0.02850671532378923,0.05455152676645895,0.051684411860064144,0.0028671149063948034,R5,"Desilets, single N0 for all sites",4559.85324599415,4683.1722560195785,4463.55005409924
11,0.6793328565733432,0.932386350324643,1.0860066316736834,0.6985722797101476,0.7819084950977717,0.028611977672409767,0.024571044365293487,0.046480664514582236,0.061267266294860186,0.01478660178027795,R3,"Desilets, single N0 for all sites",4559.85324599415,4683.1722560195785,4463.55005409924
12,0.7055929498277069,0.8087621585458873,0.7767560936638362,1.016302069527912,-0.4060941323730196,0.041338774453053805,0.020514588456265255,0.027520598737713908,0.0348618475369778,0.007341248799263889,R7,"Desilets, single N0 for all sites",4559.85324599415,4683.1722560195785,4463.55005409924
13,0.8804780056019735,0.9404548827748237,0.9886301670880335,0.8969921699137593,0.8802320583200269,0.021175216920897865,0.021056089752595958,0.05426003698202397,0.06118677666286543,0.006926739680841461,R6,"Desilets, single N0 for all sites",4559.85324599415,4683.1722560195785,4463.55005409924
14,0.8305731764569247,0.868151031255885,0.9201363587905288,0.9296928396976908,0.6998177380905372,0.02828419725587439,0.025629374269184175,0.044161419293727966,0.05162396343741647,0.007462544143688507,R4,"Desilets, single N0 for all sites",4559.85324599415,4683.1722560195785,4463.55005409924
