date,Date (aggregated based on UTC),Raw_Moderated_cph,Raw_Mod_Coeff_of_Var,Raw_Mod_sqrt,Corrected_Mod_cph_for_Des,SWC_Des_cm3_cm3,Corrected_Mod_cph_for_UTS,SWC_UTS_cm3_cm3,SWC_5,SWC_10,WeightedTDR_SWC,WeightedTDR_SD,WeightedTDR_SE,sT_5,sT_10,PRISM_ppt_mm,BaroPress,airRH,airT,date,CRNS,Bare
2023-09-16,2023-09-16,4939.5625,0.0100537157770125,99.4779405484688,2102.163880017888,0.126061733830807,2033.0442939110203,0.1106246556991185,0.0632708333333333,0.0524583333333333,0.0584402927094447,0.0004057269979609,0.0002351345740491,10.795833333333334,11.460416666666667,3.8774,796.0916666666667,82.07291666666667,8.733333333333333,2023-09-16,0.1106246556991185,1070.4723642890904
2023-09-17,2023-09-17,5011.0625,0.0099761039454832,100.25007857782929,2126.3694292840605,0.1180847393058196,2061.644729871245,0.1027589455629006,0.0628125,0.05175,0.057870270575559,0.0002937342231973,0.0001702304056724,10.520833333333334,11.0375,0.0,795.7145833333334,73.88541666666667,9.5625,2023-09-17,0.1027589455629006,1069.8891133068528
2023-09-18,2023-09-18,5020.9375,0.0100224964449676,99.78538671287411,2123.6498664391,0.1190299529438691,2050.2526432021973,0.1059219360351562,0.0621041666666666,0.0510625,0.0571712446422717,0.0011514930782535,0.0006673350204359,10.85,11.285416666666668,0.0,793.4645833333334,75.13125000000001,9.702083333333333,2023-09-18,0.1059219360351562,1066.5119648982297
2023-09-19,2023-09-19,4819.354166666667,0.0102037477420329,98.00953270839484,2062.7217794067724,0.1404699968981524,1986.559283769953,0.1249950320221656,0.0653958333333333,0.050875,0.0589085755012516,0.0009803461819073,0.0005681487380971,10.310416666666669,10.739583333333334,4.4437,791.6291666666666,88.17708333333333,8.770833333333334,2023-09-19,0.1249950320221656,1075.2678532946209
2023-09-20,2023-09-20,4914.916666666667,0.0100189184160869,99.83139255719652,2099.2615493068715,0.1272174487480015,2040.920959618653,0.1086361533717105,0.0663541666666666,0.0508333333333333,0.0594201536323756,0.0016080920939382,0.0009319519071697,9.916666666666666,10.4,1.2587,790.1770833333334,75.16458333333334,9.18125,2023-09-20,0.1086361533717105,1074.9279720136806
2023-09-21,2023-09-21,5060.3125,0.0099397649793688,100.62064666608974,2111.436442658372,0.122847908968898,2046.3477005637612,0.1069137573242187,0.0655,0.050625,0.0588545163671358,0.00091401144556,0.0005297051786247,10.91875,10.914583333333333,2.1158,787.8916666666668,63.54375,11.61875,2023-09-21,0.1069137573242187,1093.1192151384364
2023-09-22,2023-09-22,5185.145833333333,0.0098093498714883,101.95156595656736,2138.2392847142137,0.1141033026611077,2098.7416890932022,0.0930920977925145,0.0651666666666666,0.0501875,0.0584746460335724,0.0004478811821878,0.0002595645631856,10.55625,10.864583333333334,0.2501,788.40625,41.59166666666667,12.4625,2023-09-22,0.0930920977925145,1084.0553248074225
2023-09-23,2023-09-23,5157.5,0.0098551170811302,101.48150662389392,2153.528153379355,0.1094002290719094,2104.028028299761,0.0918508676382211,0.0635208333333333,0.0495,0.0572569531023563,0.0010463221724402,0.0006063843904185,9.958333333333334,10.477083333333333,0.0,790.9479166666666,48.97291666666666,10.595833333333331,2023-09-23,0.0918508676382211,1073.307342156284
2023-09-24,2023-09-24,5174.104166666667,0.009834979723469,101.68678984134677,2158.279029572859,0.1080814186185351,2111.707917081972,0.0900344848632812,0.0618333333333333,0.0486041666666666,0.0559231343041054,0.0026830209424841,0.0015549149789057,8.814583333333333,9.729166666666666,0.0012,792.9333333333334,61.3375,7.360416666666667,2023-09-24,0.0900344848632812,1068.6340443644708
2023-09-25,2023-09-25,4964.3125,0.0100922201491917,99.09402529195796,2180.438929988826,0.1016243616170033,2132.83700647098,0.0851934523809523,0.0604583333333333,0.0480833333333333,0.0549297377059926,0.0039019953582212,0.0022613580587638,8.439583333333333,9.210416666666667,0.0,796.1833333333334,62.15833333333333,7.408333333333334,2023-09-25,0.0851934523809523,1064.131907984846
