date,Date (aggregated based on UTC),Raw_Moderated_cph,Raw_Mod_Coeff_of_Var,Raw_Mod_sqrt,Corrected_Mod_cph_for_Des,SWC_Des_cm3_cm3,Corrected_Mod_cph_for_UTS,SWC_UTS_cm3_cm3,SWC_5,SWC_10,SWC_20,WeightedTDR_SWC,WeightedTDR_SD,WeightedTDR_SE,sT_5,sT_10,sT_20,PRISM_ppt_mm,BaroPress,airRH,airT,date,CRNS,Bare
2023-07-01,2023-07-01,5753.645833333333,0.0093126633662853,107.39044091723464,2337.7616358301484,0.0869020698731535,2264.3872555376324,0.0742441813151041,0.0643333333333333,0.0947916666666666,0.140125,0.0902709395126742,0.0,0.0,17.369767441860464,16.022916666666667,15.81875,1.5281999,,60.54166666666666,13.208333333333334,2023-07-01,0.0742441813151041,843.0513250309479
2023-07-02,2023-07-02,5870.854166666667,0.0091970499673432,108.74417683503944,2368.9637168972804,0.0796564231154362,2299.8329236623044,0.0679664611816406,0.06825,0.095625,0.139875,0.0922745347549748,0.0023417565477327,0.0012122004099486,21.31136363636364,18.741666666666667,17.212500000000002,0.0,,45.22916666666666,16.541666666666668,2023-07-02,0.0679664611816406,838.9113186310028
2023-07-03,2023-07-03,5957.9375,0.0091784291106806,108.9596339379612,2378.443576057359,0.0774631036433169,2313.549410058873,0.0655097961425781,0.0675833333333333,0.095125,0.1390416666666666,0.0916316178790231,0.0015903299261666,0.000823227585429,20.25526315789474,19.7875,18.072916666666668,0.0,,37.85416666666666,17.791666666666668,2023-07-03,0.0655097961425781,836.6557305197779
2023-07-04,2023-07-04,5995.489361702128,0.0091135797470675,109.73366349342606,2379.288539266772,0.0772624606887552,2306.601732043143,0.0667120750914228,0.0629743589743589,0.0927692307692307,0.1373846153846154,0.0884017636596991,0.0021846502228377,0.0011308749828338,20.74473684210526,18.807692307692307,17.946153846153845,0.0,,39.60416666666666,18.041666666666668,2023-07-04,0.0667120750914228,836.3165450028978
2023-07-05,2023-07-05,5979.229166666667,0.0091584166729964,109.19747943448682,2376.560080988123,0.0779234400489783,2299.378062464354,0.067944844563802,0.061625,0.091625,0.1357916666666666,0.0870738171582829,0.0037367238897522,0.0019342993768537,21.125531914893617,18.779166666666665,17.8,0.020399999,,42.85416666666666,17.791666666666668,2023-07-05,0.067944844563802,835.7212001812919
2023-07-06,2023-07-06,6058.3125,0.0090422518868072,110.61659643925434,2390.488136158676,0.0748819184516613,2328.165629456453,0.0632565816243489,0.0607083333333333,0.0901666666666666,0.1341666666666666,0.0858258774138376,0.0051952874788608,0.0026893186731018,19.115384615384617,18.8375,17.66875,0.4845,,43.895833333333336,17.333333333333332,2023-07-06,0.0632565816243489,840.0783875895582
2023-07-07,2023-07-07,6180.425531914893,0.0089967260383821,111.16116312333544,2386.034557938427,0.0757712370108776,2323.1961844512703,0.0639304303108377,0.0586382978723404,0.0891489361702127,0.1340851063829787,0.0845238904469056,0.006717020232316,0.0034770372211109,19.542857142857144,20.559574468085103,18.77446808510638,0.0,,37.10416666666666,18.0625,2023-07-07,0.0639304303108377,827.6588940422596
2023-07-08,2023-07-08,6232.212765957447,0.008939635934728,111.8731086967068,2411.9170382899906,0.0702365385156108,2355.180813692804,0.0588645123420877,0.0557021276595744,0.0864680851063829,0.132595744680851,0.0819700926903227,0.0097018409644697,0.0050221170965757,16.593333333333334,20.34255319148936,18.83404255319149,0.0,,36.3125,17.875,2023-07-08,0.0588645123420877,838.868592621202
2023-07-09,2023-07-09,6252.3125,0.0089592347617925,111.62161816303826,2436.209032845672,0.0650921516968435,2390.7522529379294,0.0532709757486979,0.0524166666666666,0.0844583333333333,0.1314166666666666,0.0795538931799608,0.0125258399960913,0.006483948296382,15.013793103448275,20.339583333333334,18.9875,0.0,,25.104166666666668,17.875,2023-07-09,0.0532709757486979,836.1787536086275
2023-07-10,2023-07-10,6185.458333333333,0.0090169930222258,110.91055640534005,2420.603512390316,0.0683629332057572,2362.0411139706957,0.0576629638671875,0.050125,0.082875,0.1305,0.0777866402204245,0.0145913650592983,0.0075531586422666,18.26969696969697,21.0125,19.39583333333333,0.0,,27.666666666666668,19.3125,2023-07-10,0.0576629638671875,834.5029084558423
2023-07-11,2023-07-11,6124.520833333333,0.0090404554802912,110.61889163243664,2433.046220291534,0.0657641387562518,2369.2219355746406,0.0564994812011718,0.0487083333333333,0.0807916666666666,0.1290833333333333,0.0761394617199887,0.016516549825784,0.0085497224248768,18.802941176470583,20.754166666666663,19.25625,0.0,,31.83333333333333,19.8125,2023-07-11,0.0564994812011718,837.9862640388448
2023-07-12,2023-07-12,6071.979166666667,0.0090586602650736,110.40030203371568,2430.5545962943497,0.0662900402805215,2351.3416301509938,0.0593032836914062,0.0474583333333333,0.0797916666666666,0.1280833333333333,0.0750267209092431,0.0178170959762634,0.0092229446598246,20.991666666666667,21.570833333333336,19.81875,0.0,,36.375,20.375,2023-07-12,0.0593032836914062,839.138418868819
2023-07-13,2023-07-13,6201.083333333333,0.0089687752284551,111.50401898027678,2430.3288609339816,0.066323207961214,2362.919871741469,0.0574633280436197,0.046125,0.07825,0.12725,0.073722987131039,0.0193408703630025,0.0100117200507006,18.66774193548387,21.879166666666663,20.066666666666663,0.0,,33.1875,20.58333333333333,2023-07-13,0.0574633280436197,832.7411376643119
