date,Date (aggregated based on UTC),Raw_Moderated_cph,Raw_Mod_Coeff_of_Var,Raw_Mod_sqrt,Corrected_Mod_cph_for_Des,SWC_Des_cm3_cm3,Corrected_Mod_cph_for_UTS,SWC_UTS_cm3_cm3,SWC_5,SWC_10,WeightedTDR_SWC,WeightedTDR_SD,WeightedTDR_SE,sT_5,sT_10,PRISM_ppt_mm,BaroPress,airRH,airT,date,CRNS,Bare
2023-09-16,2023-09-16,5284.583333333333,0.0096803153431816,103.31755616274006,2303.106280437401,0.1157687203458315,2232.482228648744,0.0847955748092296,0.237375,0.080625,0.1660798656183233,0.1524110784618892,0.0882344157743543,13.848936170212763,14.470833333333331,1.9641999,796.8104166666667,76.10416666666667,10.458333333333334,2023-09-16,0.0847955748092296,902.3907596064115
2023-09-17,2023-09-17,5473.083333333333,0.0095326170202028,104.91616378836684,2359.0926705551133,0.0987653385910426,2298.391708972372,0.0707434677496189,0.1834791666666666,0.1017708333333333,0.1463154881652132,0.1281716573577271,0.0742016356023467,14.953191489361702,15.179166666666667,0.0,796.3333333333334,51.72708333333333,12.622916666666669,2023-09-17,0.0707434677496189,889.9253230482922
2023-09-18,2023-09-18,5531.395833333333,0.0095793253294327,104.40905975280442,2361.6264489650825,0.0978450300046223,2287.5284339537293,0.0729392447122713,0.1578541666666666,0.1101666666666666,0.1361642992291789,0.1157220396598154,0.0669942543852131,15.0625,15.8375,0.0,794.1958333333333,56.24791666666667,12.422916666666666,2023-09-18,0.0729392447122713,891.0478877170917
2023-09-19,2023-09-19,5353.291666666667,0.0096509188065204,103.6237261721202,2337.043963513797,0.1051506569218275,2260.9538026846426,0.0784848235374273,0.1809999999999999,0.1129166666666666,0.1500334264806859,0.1327314100077586,0.0768413853843922,12.914583333333333,13.658333333333331,3.4726999,792.3729166666667,78.04791666666667,9.914583333333333,2023-09-19,0.0784848235374273,888.1113316154363
2023-09-20,2023-09-20,5487.75,0.0094854961311648,105.43971512811318,2381.116548787122,0.0921360456470045,2320.406304237581,0.0662811279296875,0.1628333333333333,0.1166041666666666,0.1418067645942397,0.1226420701223907,0.0710004254009161,12.797872340425531,13.197916666666666,0.0011,791.0166666666668,57.825,11.829166666666666,2023-09-20,0.0662811279296875,884.0033082442426
2023-09-21,2023-09-21,5624.791666666667,0.0094269425486472,106.10017601746884,2386.727388570311,0.0907624729607493,2322.464603334401,0.0660511363636363,0.1643958333333333,0.1181041666666666,0.1433408375071657,0.1245234873048504,0.0720896227715894,15.725,15.166666666666666,2.4747999,788.8479166666666,49.15416666666667,13.86875,2023-09-21,0.0660511363636363,900.5128588015934
2023-09-22,2023-09-22,5739.4375,0.0093070473052244,107.45558721388778,2421.07761181906,0.0813477179035693,2377.9148144516303,0.055784679594494,0.1606875,0.1188958333333333,0.1416792544431628,0.1224856891660797,0.0709098927279793,13.74255319148936,14.354166666666666,0.1261,789.3000000000001,46.175,11.375,2023-09-22,0.055784679594494,889.5986001392762
2023-09-23,2023-09-23,5796.270833333333,0.0092856691520669,107.7068223783458,2457.5150322524187,0.0722886802397607,2415.46737001129,0.0496579124813988,0.1399999999999999,0.1168541666666666,0.1294725020869161,0.1075150880743299,0.0622430539754948,14.19375,14.279166666666669,0.0,791.7104166666667,35.5,12.370833333333332,2023-09-23,0.0496579124813988,881.7188199657413
2023-09-24,2023-09-24,5879.979166666667,0.0092292903067886,108.35674244349444,2481.732141129243,0.0662274122976893,2442.956882013776,0.0451425951580668,0.123625,0.1135833333333333,0.1190577146767719,0.0947421880250503,0.0548485168790709,13.575,13.922916666666666,0.0,793.7020833333332,37.81458333333333,10.033333333333331,2023-09-24,0.0451425951580668,861.5644298217817
2023-09-25,2023-09-25,5631.833333333333,0.0094717574509431,105.58469814768624,2504.06049933101,0.0611678129858769,2462.6345860506626,0.0422512320585029,0.1105208333333333,0.1094166666666666,0.110018621461692,0.0836564663846949,0.0484307276852332,13.60625,13.922916666666666,0.0,796.9125,37.43541666666667,10.877083333333331,2023-09-25,0.0422512320585029,865.9278562380148
2023-09-26,2023-09-26,5701.75,0.0093413539917338,107.06016318389334,2526.0276072623838,0.0560538566155972,2479.4850064062903,0.0396764001180959,0.0993958333333333,0.1050833333333333,0.1019826982570704,0.0738010521689094,0.0427251928624379,14.383333333333333,14.277083333333332,0.0,796.18125,36.41875,12.7875,2023-09-26,0.0396764001180959,853.3966938226218
2023-09-27,2023-09-27,5861.125,0.0091857913999453,108.87367811711869,2556.7545720724943,0.0493660707316363,2506.7726636778207,0.0357658572313262,0.0892916666666666,0.1010833333333333,0.0946549104279677,0.0648141091006053,0.0375224367423998,15.28125,15.0125,0.0,793.8270833333332,37.53125,13.810416666666669,2023-09-27,0.0357658572313262,850.9588921758236
2023-09-28,2023-09-28,6121.3125,0.0090045295174933,111.06991963966011,2578.4906930320603,0.0448927069914808,2531.6805255592217,0.0324295043945312,0.0794166666666666,0.0968958333333333,0.0873667753517047,0.0558757969480132,0.0323478342216914,15.54375,15.327083333333334,0.0,790.4458333333333,34.15625,14.277083333333332,2023-09-28,0.0324295043945312,847.5246540275851
2023-09-29,2023-09-29,6317.541666666667,0.0088798680405863,112.62031868750373,2605.912727155591,0.0394377185795032,2561.69902347946,0.0285574106069711,0.0690416666666666,0.0927083333333333,0.0798060569720341,0.0466031832727478,0.0269796965600783,15.377083333333331,15.208333333333334,0.0,789.2958333333332,33.014583333333334,13.99375,2023-09-29,0.0285574106069711,844.329418297243
2023-09-30,2023-09-30,6436.75,0.0087946727198276,113.7136874250754,2609.3840908328048,0.038659517223553,2560.1484461849727,0.0286941528320312,0.05925,0.0888125,0.0726960121860179,0.0378832845536219,0.0219315387958381,14.861702127659576,15.066666666666668,0.0,788.5645833333333,32.5125,14.216666666666669,2023-09-30,0.0286941528320312,837.4771422234638
2023-10-01,2023-10-01,6550.645833333333,0.0087408154881858,114.4126854702135,2617.04098859837,0.0372580974557031,2553.9511261388425,0.0295584542410714,0.0515416666666666,0.0854791666666666,0.0669775749478669,0.0308700806921741,0.0178714274727887,14.672916666666666,14.55,0.0,786.8770833333333,39.454166666666666,15.7625,2023-10-01,0.0295584542410714,843.4254675305838
