date,Date (aggregated based on UTC),Raw_Moderated_cph,Raw_Mod_Coeff_of_Var,Raw_Mod_sqrt,Corrected_Mod_cph_for_Des,SWC_Des_cm3_cm3,Corrected_Mod_cph_for_UTS,SWC_UTS_cm3_cm3,SWC_5,WeightedTDR_SWC,WeightedTDR_SD,WeightedTDR_SE,sT_5,PRISM_ppt_mm,BaroPress,airRH,airT,date,CRNS,Bare
2023-07-27,2023-07-27,6133.166666666667,0.0090189531075829,110.88458296864938,2711.97889226102,0.053194911427335,2458.3196690796563,0.0614980061848958,0.0778124999999999,0.0778124999999999,0.0543475501848671,0.0384295212765957,21.4625,0.5096,797.0583333333334,60.20625,18.258333333333333,2023-07-27,0.0614980061848958,951.750469862306
2023-07-28,2023-07-28,6175.9375,0.0089825767382664,111.33959423439649,2712.793193209305,0.0533104124133785,2480.2144898913607,0.0584882100423177,0.0749583333333333,0.0749583333333333,0.0503111489755939,0.035575354609929,21.960416666666664,0.0,796.6374999999999,44.14166666666667,21.079166666666666,2023-07-28,0.0584882100423177,947.1173306364855
2023-07-29,2023-07-29,6200.625,0.0090142100077238,110.93982046959871,2722.3404516576425,0.0515427094765769,2485.147470693165,0.0575790405273437,0.07225,0.07225,0.0464809872441667,0.0328670212765957,22.214583333333334,0.0321,797.85,49.22916666666666,19.416666666666668,2023-07-29,0.0575790405273437,953.4216915642
2023-07-30,2023-07-30,6136.291666666667,0.0090258762503587,110.7985910901515,2723.704726637808,0.0513240543412768,2483.0324189336084,0.0578702290852864,0.0695208333333333,0.0695208333333333,0.0426213627301902,0.030137854609929,22.9125,0.0,798.1583333333333,44.62708333333333,21.62291666666667,2023-07-30,0.0578702290852864,948.8171409485816
2023-07-31,2023-07-31,6105.104166666667,0.0091283210200574,109.58929905885437,2648.561046211244,0.0653246155694489,2408.2524328518143,0.0708859761555989,0.0656875,0.0656875,0.0372002107410933,0.0263045212765957,21.860416666666666,0.96519995,797.6,63.0875,18.82708333333333,2023-07-31,0.0708859761555989,990.0950545181378
2023-08-01,2023-08-01,5614.479166666667,0.0094817538291131,105.48364531198727,2473.7100491848046,0.1014244474566482,2230.716886101171,0.1047554016113281,0.0723125,0.0723125,0.0465693755918151,0.0329295212765957,21.13958333333333,2.6088998,797.2020833333332,77.92083333333333,18.12708333333333,2023-08-01,0.1047554016113281,1027.3884327344622
2023-08-02,2023-08-02,5104.8125,0.0099460105103085,100.56908930688968,2303.221492969074,0.1504327623839032,2016.7084644809877,0.1684850056966146,0.2106170212765957,0.2106170212765957,0.2421615053186951,0.1712340425531915,21.216666666666665,8.8383,796.9729166666666,76.62083333333334,18.13125,2023-08-02,0.1684850056966146,1020.9845955308252
2023-08-03,2023-08-03,4845.25,0.0101534193509723,98.50462854371987,2176.1352397416567,0.2003896932544024,1930.370812032609,0.2054612180019946,0.24825,0.24825,0.2953825742218315,0.2088670212765957,20.964583333333334,13.4688,796.2041666666668,76.60000000000001,16.822916666666668,2023-08-03,0.2054612180019946,1010.4703896075143
2023-08-04,2023-08-04,4966.229166666667,0.0100079950631974,99.93732217713244,2219.1257129144583,0.1827477583659782,1978.5559528232216,0.1838162740071614,0.2254374999999999,0.2254374999999999,0.2631208273301952,0.1860545212765957,19.66875,1.4441,795.7541666666666,63.40625,16.664583333333333,2023-08-04,0.1838162740071614,1003.8106523062162
2023-08-05,2023-08-05,5070.375,0.0099211784444643,100.80410817468112,2292.61328497904,0.154223350175916,2013.7265172320397,0.1691207885742187,0.1885,0.1885,0.2108833138700391,0.1491170212765957,20.175,0.0,795.7854166666666,57.25208333333333,17.5,2023-08-05,0.1691207885742187,1004.3977864156592
2023-08-06,2023-08-06,5207.604166666667,0.0097616862541345,102.4604123432747,2368.9755709736105,0.129555131477095,2072.643543170076,0.1484972635904947,0.1614791666666666,0.1614791666666666,0.1726700849034161,0.1220961879432624,20.347916666666663,0.0,795.3020833333334,59.76458333333333,17.020833333333332,2023-08-06,0.1484972635904947,1006.9936819972595
2023-08-07,2023-08-07,5387.833333333333,0.0096131733192951,104.03907723080378,2424.834096824935,0.1135906543160425,2133.320882550639,0.1294784545898437,0.1409375,0.1409375,0.1436197813096687,0.1015545212765957,20.808333333333334,0.0,795.2083333333334,51.00208333333333,17.522916666666667,2023-08-07,0.1294784545898437,1000.0925721400484
