half_hour,datetime,lat,long,mod_nc_cph,swc,bwe,Mod_cv,Mod_sqrt,N0_fit,Rhov_g_cm3,site,SiteName
2023-07-01 00:30:00,2023-07-01 00:30:00,39.17225,-107.24512,2131.9983558965773,0.051788330078125,0.0,0.009627854781311668,103.86529738079028,4226.927315669233,8.033068923900833e-06,C1,Crys 2
2023-07-01 01:00:00,2023-07-01 01:00:00,39.17225,-107.24512,2096.8246402822288,0.056854248046875,0.0,0.009704622344933812,103.04368005850722,4226.927315669233,7.743453531435621e-06,C1,Crys 2
2023-07-01 01:30:00,2023-07-01 01:30:00,39.17225,-107.24512,2109.8724765479806,0.054962158203125,0.0,0.009685485552825746,103.24727599312246,4226.927315669233,7.562337385749302e-06,C1,Crys 2
2023-07-01 02:00:00,2023-07-01 02:00:00,39.17225,-107.24512,2093.589933509276,0.057342529296875,0.0,0.009740465098831575,102.66450214168479,4226.927315669233,7.79393710119651e-06,C1,Crys 2
2023-07-01 02:30:00,2023-07-01 02:30:00,39.17225,-107.24512,2086.3727645809577,0.058441162109375,0.0,0.009768308314557043,102.37187113655781,4226.927315669233,8.225091068496743e-06,C1,Crys 2
2023-07-01 03:00:00,2023-07-01 03:00:00,39.17225,-107.24512,2043.3571429121391,0.065338134765625,0.0,0.009840880081704624,101.61692772368194,4226.927315669233,8.142229488797637e-06,C1,Crys 2
2023-07-01 03:30:00,2023-07-01 03:30:00,39.17225,-107.24512,2116.230613155459,0.054046630859375,0.0,0.009698230816140137,103.11159003720194,4226.927315669233,7.744497057566452e-06,C1,Crys 2
2023-07-01 04:00:00,2023-07-01 04:00:00,39.17225,-107.24512,2076.2876117521937,0.060028076171875,0.0,0.009805806756909202,101.9803902718557,4226.927315669233,7.621719073978816e-06,C1,Crys 2
2023-07-01 04:30:00,2023-07-01 04:30:00,39.17225,-107.24512,2062.1674293937917,0.062225341796875,0.0,0.009850424143769052,101.51847122568385,4226.927315669233,7.359745858674801e-06,C1,Crys 2
2023-07-01 05:00:00,2023-07-01 05:00:00,39.17225,-107.24512,2105.769832716729,0.055572509765625,0.0,0.009751573787215116,102.54754994635415,4226.927315669233,7.048728518159296e-06,C1,Crys 2
2023-07-01 05:30:00,2023-07-01 05:30:00,39.17225,-107.24512,2094.0984027272716,0.057281494140625,0.0,0.00978606634079062,102.18610473053565,4226.927315669233,7.000799934801422e-06,C1,Crys 2
2023-07-01 06:00:00,2023-07-01 06:00:00,39.17225,-107.24512,2066.0282959608185,0.061614990234375,0.0,0.009851380077988758,101.50862032359616,4226.927315669233,6.675633954103579e-06,C1,Crys 2
2023-07-01 06:30:00,2023-07-01 06:30:00,39.17225,-107.24512,2110.554946050562,0.054840087890625,0.0,0.009732158451573788,102.75212893171606,4226.927315669233,6.858281497145391e-06,C1,Crys 2
2023-07-01 07:00:00,2023-07-01 07:00:00,39.17225,-107.24512,2096.9836126886507,0.056854248046875,0.0,0.009759930290922834,102.45974819410792,4226.927315669233,6.744718522330846e-06,C1,Crys 2
2023-07-01 07:30:00,2023-07-01 07:30:00,39.17225,-107.24512,2031.6040297490927,0.067352294921875,0.0,0.009908277562961032,100.92571525632107,4226.927315669233,6.4814629598377585e-06,C1,Crys 2
2023-07-01 08:00:00,2023-07-01 08:00:00,39.17225,-107.24512,2086.25350001723,0.058502197265625,0.0,0.009777642581679232,102.27414140436477,4226.927315669233,6.490221849145513e-06,C1,Crys 2
2023-07-01 08:30:00,2023-07-01 08:30:00,39.17225,-107.24512,2044.309761854382,0.065155029296875,0.0,0.009881152778812538,101.20276676059801,4226.927315669233,6.3518090882679706e-06,C1,Crys 2
2023-07-01 09:00:00,2023-07-01 09:00:00,39.17225,-107.24512,2045.773145723931,0.064910888671875,0.0,0.009856163927189267,101.45935146648632,4226.927315669233,6.227477173155312e-06,C1,Crys 2
2023-07-01 09:30:00,2023-07-01 09:30:00,39.17225,-107.24512,2024.6974867814117,0.068511962890625,0.0,0.009905360646879092,100.9554357129917,4226.927315669233,6.10984379168784e-06,C1,Crys 2
2023-07-01 10:00:00,2023-07-01 10:00:00,39.17225,-107.24512,2033.4980551577712,0.066986083984375,0.0,0.009880188152190546,101.21264743103995,4226.927315669233,6.154348377059136e-06,C1,Crys 2
2023-07-01 10:30:00,2023-07-01 10:30:00,39.17225,-107.24512,2049.6294318664136,0.064300537109375,0.0,0.009852336290568345,101.49876846543509,4226.927315669233,5.9922182493429454e-06,C1,Crys 2
2023-07-01 11:00:00,2023-07-01 11:00:00,39.17225,-107.24512,2062.8024823115884,0.062164306640625,0.0,0.009805806756909202,101.9803902718557,4226.927315669233,5.800162512587912e-06,C1,Crys 2
2023-07-01 11:30:00,2023-07-01 11:30:00,39.17225,-107.24512,2005.9160199903476,0.071868896484375,0.0,0.009951357233775536,100.48880534666536,4226.927315669233,5.788349554313802e-06,C1,Crys 2
2023-07-01 12:00:00,2023-07-01 12:00:00,39.17225,-107.24512,2040.0646534392083,0.065887451171875,0.0,0.00986671297454823,101.35087567455942,4226.927315669233,5.782443075176748e-06,C1,Crys 2
2023-07-01 12:30:00,2023-07-01 12:30:00,39.17225,-107.24512,2091.6276216371784,0.057647705078125,0.0,0.009777642581679232,102.27414140436477,4226.927315669233,5.806068991724967e-06,C1,Crys 2
2023-07-01 13:00:00,2023-07-01 13:00:00,39.17225,-107.24512,2047.1744600940076,0.064727783203125,0.0,0.009886946477802763,101.14346246792226,4226.927315669233,5.714338309726973e-06,C1,Crys 2
2023-07-01 13:30:00,2023-07-01 13:30:00,39.17225,-107.24512,2059.233388873773,0.062713623046875,0.0,0.00985424955134773,101.47906187977893,4226.927315669233,6.085356917726229e-06,C1,Crys 2
2023-07-01 14:00:00,2023-07-01 14:00:00,39.17225,-107.24512,2069.631537662026,0.061065673828125,0.0,0.00982946374365981,101.73494974687902,4226.927315669233,6.859815925964426e-06,C1,Crys 2
2023-07-01 14:30:00,2023-07-01 14:30:00,39.17225,-107.24512,2073.5896144178014,0.060455322265625,0.0,0.009823770454017007,101.79390944452423,4226.927315669233,6.973900721899208e-06,C1,Crys 2
2023-07-01 15:00:00,2023-07-01 15:00:00,39.17225,-107.24512,2106.7903759172395,0.055389404296875,0.0,0.009736770630616433,102.70345661174214,4226.927315669233,6.7921095993449215e-06,C1,Crys 2
2023-07-01 15:30:00,2023-07-01 15:30:00,39.17225,-107.24512,2064.8789828688327,0.061798095703125,0.0,0.009837070217031561,101.65628362280415,4226.927315669233,6.682264333828325e-06,C1,Crys 2
2023-07-01 16:00:00,2023-07-01 16:00:00,39.17225,-107.24512,2080.131510342064,0.059417724609375,0.0,0.009793572433047239,102.1077861869505,4226.927315669233,7.0949986137460215e-06,C1,Crys 2
2023-07-01 16:30:00,2023-07-01 16:30:00,39.17225,-107.24512,2059.475006010176,0.062713623046875,0.0,0.009835166943294674,101.67595585978034,4226.927315669233,7.201205262819553e-06,C1,Crys 2
2023-07-01 17:00:00,2023-07-01 17:00:00,39.17225,-107.24512,2057.2040748693294,0.063079833984375,0.0,0.009828514174634392,101.74477873581523,4226.927315669233,6.654564150982395e-06,C1,Crys 2
2023-07-01 17:30:00,2023-07-01 17:30:00,39.17225,-107.24512,2042.045947371107,0.065582275390625,0.0,0.009868634624770861,101.33114032714721,4226.927315669233,5.286899638364984e-06,C1,Crys 2
2023-07-01 18:00:00,2023-07-01 18:00:00,39.17225,-107.24512,2071.809358433555,0.060699462890625,0.0,0.009818087045699813,101.85283501208987,4226.927315669233,5.493215045668831e-06,C1,Crys 2
2023-07-01 18:30:00,2023-07-01 18:30:00,39.17225,-107.24512,2111.3543188533877,0.054718017578125,0.0,0.009717443404863406,102.90772565750348,4226.927315669233,5.73660433733621e-06,C1,Crys 2
2023-07-01 19:00:00,2023-07-01 19:00:00,39.17225,-107.24512,2121.320545637196,0.053314208984375,0.0,0.009687303228651606,103.22790320451152,4226.927315669233,5.453366788271917e-06,C1,Crys 2
2023-07-01 19:30:00,2023-07-01 19:30:00,39.17225,-107.24512,2136.0061902270336,0.051239013671875,0.0,0.0096430625521171,103.70149468546728,4226.927315669233,5.412408973779668e-06,C1,Crys 2
2023-07-01 20:00:00,2023-07-01 20:00:00,39.17225,-107.24512,2091.9556780381845,0.057586669921875,0.0,0.009737693853548448,102.69371937952194,4226.927315669233,6.110227885294759e-06,C1,Crys 2
2023-07-01 20:30:00,2023-07-01 20:30:00,39.17225,-107.24512,2165.308926233461,0.047332763671875,0.0,0.009567735357344504,104.51794104363135,4226.927315669233,5.602052256747263e-06,C1,Crys 2
2023-07-01 21:00:00,2023-07-01 21:00:00,39.17225,-107.24512,2165.143164181934,0.047332763671875,0.0,0.009583539647865968,104.34557968596465,4226.927315669233,5.775599069380919e-06,C1,Crys 2
2023-07-01 21:30:00,2023-07-01 21:30:00,39.17225,-107.24512,2070.4462457604254,0.060943603515625,0.0,0.009805806756909202,101.9803902718557,4226.927315669233,5.730806580563113e-06,C1,Crys 2
2023-07-01 22:00:00,2023-07-01 22:00:00,39.17225,-107.24512,2104.713362167209,0.055694580078125,0.0,0.00971469175723501,102.93687385966217,4226.927315669233,5.988010591043673e-06,C1,Crys 2
2023-07-01 22:30:00,2023-07-01 22:30:00,39.17225,-107.24512,2105.9141138314462,0.055511474609375,0.0,0.009704622344933812,103.04368005850722,4226.927315669233,6.97471486208546e-06,C1,Crys 2
2023-07-01 23:00:00,2023-07-01 23:00:00,39.17225,-107.24512,2107.106504704867,0.055328369140625,0.0,0.0097037084956597,103.05338422390601,4226.927315669233,6.429700744082559e-06,C1,Crys 2
2023-07-01 23:30:00,2023-07-01 23:30:00,39.17225,-107.24512,2143.588758647735,0.050201416015625,0.0,0.009617163101410253,103.98076745244767,4226.927315669233,6.66288202612576e-06,C1,Crys 2
