,Date,DateTime,Raw_Moderated_cph,Raw_Mod_Coeff_of_Var,Raw_Mod_sqrt,Corrected_Mod_cph_for_Des,SWC_Des_cm3_cm3,Corrected_Mod_cph_for_UTS,SWC_UTS_cm3_cm3,Rhov_g_cm3,BaroPress_mb,SWC_5,SWC_10,SWC_20,WeightedTDR_SWC,WeightedTDR_SD,WeightedTDR_SE,sT_5,sT_10,sT_20,BaroPress,airRH,airT,date,CRNS
1631,1631,2023-08-04 00:30:00,10688.0,0.0096727904066767,103.38278386656069,2177.480136601884,0.1407151438941292,2093.3489825253228,0.119659423828125,7.442544686799682e-06,782.9,0.232,0.077,0.108,0.1498390597274713,0.065276381656287,0.0333410850085745,25.2,21.3,18.9,782.9,35.2,23.5,2023-08-04,0.119659423828125
1632,1632,2023-08-04 01:00:00,10370.0,0.0098199804189785,101.83319694480774,2109.270328659404,0.1663570607424699,2031.0655827832709,0.138458251953125,7.130424773180533e-06,782.9,0.229,0.077,0.108,0.1485674290354562,0.0637972573421829,0.0325855956838986,24.7,21.7,19.0,782.9,35.1,22.8,2023-08-04,0.138458251953125
1634,1634,2023-08-04 02:00:00,10536.0,0.009742313910673,102.64501936285072,2169.243130291916,0.14360274773669,2069.347858112834,0.126617431640625,8.939591478098828e-06,782.9,0.222,0.078,0.108,0.1459461512554582,0.0607482622819331,0.0310282666635833,21.2,21.7,19.3,782.9,60.0,17.5,2023-08-04,0.126617431640625
1635,1635,2023-08-04 02:30:00,10264.0,0.0098705573982181,101.31140113531151,2107.739629858067,0.1669809927455548,2015.9250584349024,0.143402099609375,8.43419170794847e-06,782.9,0.22,0.078,0.108,0.1450983974607815,0.0597621794058637,0.0305246071137994,19.9,21.4,19.4,782.9,62.7,15.8,2023-08-04,0.143402099609375
1636,1636,2023-08-04 03:00:00,10300.0,0.0098532927816429,101.4889156509222,2123.7151170582943,0.1605807105765139,2035.9198530112496,0.136871337890625,7.985767321285806e-06,783.5,0.218,0.077,0.108,0.1439047831647343,0.0583738015238011,0.0298154681600869,18.9,20.9,19.5,783.5,57.6,16.3,2023-08-04,0.136871337890625
1637,1637,2023-08-04 03:30:00,10312.0,0.0098475580099193,101.54801819828884,2106.997601546683,0.1672842843041761,2023.9438532230176,0.140777587890625,7.599184996732656e-06,783.8,0.217,0.077,0.109,0.1437111688686871,0.0581485949330513,0.0297004398466884,18.1,20.5,19.5,783.8,50.7,17.6,2023-08-04,0.140777587890625
1638,1638,2023-08-04 04:00:00,10256.0,0.009874406319167,101.27191120937732,2105.022343002777,0.1680942980252092,2019.0157978195805,0.142364501953125,7.88856531686807e-06,784.2,0.215,0.077,0.109,0.1428634150740104,0.0571625120569819,0.0291967802969045,17.4,20.0,19.5,784.2,59.0,15.7,2023-08-04,0.142364501953125
1640,1640,2023-08-04 05:00:00,10298.0,0.0098542495513477,101.47906187977893,2133.24258602396,0.1568778371375787,2034.5077463517027,0.137298583984375,8.987053306493357e-06,784.3,0.213,0.076,0.108,0.1414395381766721,0.0555062993276344,0.0283508398816986,16.4,19.1,19.3,784.3,73.2,14.3,2023-08-04,0.137298583984375
1641,1641,2023-08-04 05:30:00,10394.0,0.0098086365795135,101.95096860746348,2143.2217730799725,0.1530870771101125,2051.9304463886333,0.131866455078125,8.238973825302335e-06,784.2,0.211,0.076,0.108,0.1405917843819954,0.054520216451565,0.0278471803319147,16.1,18.8,19.2,784.2,72.7,13.0,2023-08-04,0.131866455078125
1644,1644,2023-08-04 07:00:00,10440.0,0.0097870036585783,102.1763181955584,2138.605634533402,0.1548296371797042,2052.549469602261,0.131683349609375,7.764162118922325e-06,784.4,0.208,0.075,0.108,0.1389742931886098,0.0526387971314677,0.0268862116033102,14.6,17.7,18.8,784.4,72.0,12.2,2023-08-04,0.131683349609375
