date,Date (aggregated based on UTC),Raw_Moderated_cph,Raw_Mod_Coeff_of_Var,Raw_Mod_sqrt,Corrected_Mod_cph_for_Des,SWC_Des_cm3_cm3,Corrected_Mod_cph_for_UTS,SWC_UTS_cm3_cm3,Rhov_g_cm3,BaroPress_mb,SWC_5,WeightedTDR_SWC,WeightedTDR_SD,WeightedTDR_SE,sT_5,PRISM_ppt_mm,BaroPress,airRH,airT,date,CRNS,Bare
2023-07-01,2023-07-01,5912.565217391304,0.0091968031579793,108.74007864421232,2620.0816386366887,0.0500320248933704,2522.670770743612,0.0591098951256793,7.147854490151672e-06,796.1217391304348,0.0393695652173913,0.0393695652173913,0.0,0.0,18.68478260869565,,796.1217391304348,69.16956521739131,13.343478260869563,2023-07-01,0.0591098951256793,941.9426718068881
2023-07-02,2023-07-02,6051.0625,0.009091196917764,110.0052707626108,2651.6308893774944,0.0448506343258042,2557.479491886323,0.0543009440104166,6.820093322218658e-06,795.1750000000001,0.0403125,0.0403125,0.0013335111579985,0.0009429347826086,20.50208333333333,0.0,795.1750000000001,55.56458333333333,16.310416666666665,2023-07-02,0.0543009440104166,931.355287454593
2023-07-03,2023-07-03,6143.354166666667,0.0090223533400166,110.84222535062167,2682.082287667039,0.0400381201400926,2595.949459015285,0.0492235819498697,6.147857476562307e-06,794.3458333333333,0.0394791666666666,0.0394791666666666,0.0001549998560209,0.0001096014492753,21.570833333333336,0.0,794.3458333333333,47.93541666666667,17.575,2023-07-03,0.0492235819498697,933.779239112674
2023-07-04,2023-07-04,6183.916666666667,0.0089929332790915,111.206647835133,2668.760543874288,0.042181431123151,2577.772114413732,0.0516217549641927,6.53830537093703e-06,792.6958333333333,0.0381666666666666,0.0381666666666666,0.0017011554445937,0.0012028985507246,21.360416666666666,0.0,792.6958333333333,43.833333333333336,18.416666666666668,2023-07-04,0.0516217549641927,930.3278765527854
2023-07-05,2023-07-05,6223.3125,0.0089645019605854,111.5599790008648,2695.2592508256007,0.0381110109601592,2596.1900702695543,0.0492134094238281,7.064919101925945e-06,792.7687500000001,0.0370208333333333,0.0370208333333333,0.0033216084848129,0.0023487318840579,20.697916666666668,0.1545,792.7687500000001,49.77708333333334,17.929166666666667,2023-07-05,0.0492134094238281,933.7718637169677
2023-07-06,2023-07-06,6288.0,0.0089195011622433,112.13305960086927,2699.654688772254,0.0374896796790227,2604.0794048890803,0.0483245849609375,6.809595815773e-06,792.5083333333333,0.0367916666666666,0.0367916666666666,0.0036456990928567,0.0025778985507246,21.085416666666667,0.0,792.5083333333333,53.42291666666667,17.10625,2023-07-06,0.0483245849609375,933.9788346530818
2023-07-07,2023-07-07,6437.375,0.0088144851537575,113.46114993295905,2701.1962190920963,0.0371973768119495,2625.815064626069,0.045599619547526,5.325219802171235e-06,790.7770833333334,0.0362083333333333,0.0362083333333333,0.004470657004241,0.0031612318840579,21.93125,0.0,790.7770833333334,42.79791666666667,17.416666666666668,2023-07-07,0.045599619547526,933.9513078802192
2023-07-08,2023-07-08,6468.5,0.0087930914846541,113.73583012380412,2714.56762199412,0.0352099182402711,2630.1961501098262,0.0450236002604166,5.945158604446809e-06,790.1020833333333,0.0353958333333333,0.0353958333333333,0.0056197055236691,0.0039737318840579,22.75,0.0,790.1020833333333,44.84791666666666,17.849999999999998,2023-07-08,0.0450236002604166,937.9186157477433
2023-07-09,2023-07-09,6465.854166666667,0.0087947499674742,113.71317366759916,2744.703768441304,0.0309385555980337,2676.9085767197585,0.0396753946940104,4.692760227347172e-06,792.2583333333333,0.0347291666666666,0.0347291666666666,0.0065625145652512,0.0046403985507246,22.37291666666667,0.0,792.2583333333333,38.110416666666666,16.916666666666668,2023-07-09,0.0396753946940104,936.6362018400696
2023-07-10,2023-07-10,6441.270833333333,0.0088113598655484,113.49747372666002,2754.332977771761,0.0296289239673206,2676.156136622534,0.039794921875,5.415031422270251e-06,793.3354166666667,0.0338125,0.0338125,0.0078588769974265,0.0055570652173913,22.65833333333333,0.0,793.3354166666667,40.40833333333333,17.872916666666665,2023-07-10,0.039794921875,941.3703730986048
2023-07-11,2023-07-11,6377.395833333333,0.0088552222211732,112.9339817527035,2758.406017949262,0.02906668672016,2672.211124881312,0.0402005513509114,5.975401605449897e-06,794.3333333333334,0.0332916666666666,0.0332916666666666,0.0085954465611625,0.0060778985507246,22.90416666666667,0.0,794.3333333333334,42.7125,18.93958333333333,2023-07-11,0.0402005513509114,940.7397296153868
2023-07-12,2023-07-12,6363.375,0.0088650731432056,112.80933867780308,2763.887758853281,0.0283283442781318,2661.731147573754,0.0414352416992187,7.1172185703162775e-06,794.1395833333332,0.0327916666666666,0.0327916666666666,0.0093025533423491,0.0065778985507246,23.48125,0.0,794.1395833333332,44.98541666666667,19.85833333333333,2023-07-12,0.0414352416992187,941.2296971123275
2023-07-13,2023-07-13,6490.083333333333,0.0087778868743212,113.9278937975127,2771.5043967397837,0.0272884096863793,2672.979671892874,0.0401102701822916,6.826823189916173e-06,793.46875,0.0324791666666666,0.0324791666666666,0.0097444950805907,0.0068903985507246,24.089583333333334,0.0,793.46875,44.3125,19.875,2023-07-13,0.0401102701822916,938.9292971387243
2023-07-14,2023-07-14,6534.979166666667,0.0087477031862599,114.32118777510853,2754.4862618929874,0.0295466906425039,2667.767736854102,0.040655771891276,6.0235641403571575e-06,793.9,0.0319583333333333,0.0319583333333333,0.0104810646443266,0.0074112318840579,24.43541666666667,0.0,793.9,40.927083333333336,19.672916666666666,2023-07-14,0.040655771891276,936.101526182059
2023-07-15,2023-07-15,6407.9375,0.0088350992476493,113.19977487491752,2793.005167344034,0.0245009639520018,2720.420925433441,0.0350824991861979,4.943626240186849e-06,795.975,0.0308333333333333,0.0308333333333333,0.0120720549019964,0.0085362318840579,23.8375,0.0,795.975,36.70208333333333,17.66875,2023-07-15,0.0350824991861979,945.1195727245528
2023-07-17,2023-07-17,6251.229166666667,0.0089443551956277,111.8103576801633,2797.029185086099,0.0239108260488798,2711.0373207423186,0.0359891255696614,5.874536482579872e-06,796.7645833333332,0.0296666666666666,0.0296666666666666,0.013721970724765,0.0097028985507246,24.7125,0.0,796.7645833333332,40.3625,19.95,2023-07-17,0.0359891255696614,947.6673028651443
