date,Date (aggregated based on UTC),Raw_Moderated_cph,Raw_Mod_Coeff_of_Var,Raw_Mod_sqrt,Corrected_Mod_cph_for_Des,SWC_Des_cm3_cm3,Corrected_Mod_cph_for_UTS,SWC_UTS_cm3_cm3,Rhov_g_cm3,BaroPress_mb,SWC_5,SWC_10,SWC_20,WeightedTDR_SWC,WeightedTDR_SD,WeightedTDR_SE,sT_5,sT_10,sT_20,PRISM_ppt_mm,BaroPress,airRH,airT,date,CRNS,Bare
2023-07-01,2023-07-01,6138.978260869565,0.0090254765734472,110.80311468791297,2559.900514441512,0.057011111602604,2474.418281815269,0.0692523458729619,6.3981633636692985e-06,789.3956521739129,0.0455652173913043,0.1034782608695652,0.1873695652173913,0.0961176010840436,0.0,0.0,19.334146341463416,19.51086956521739,18.443478260869565,,789.3956521739129,56.119565217391305,14.72608695652174,2023-07-01,0.0692523458729619,780.4258849081148
2023-07-02,2023-07-02,6217.666666666667,0.0089682122385521,111.51086259858842,2561.628406173009,0.0566381997153108,2484.157589001457,0.0675430297851562,5.776741322441648e-06,788.5354166666666,0.0466666666666666,0.103,0.1876041666666666,0.0964859049382905,0.000429474384299,0.0002209083921356,20.41081081081081,21.429166666666664,18.85833333333333,0.0,788.5354166666666,40.24375,18.497916666666665,2023-07-02,0.0675430297851562,783.0868365231696
2023-07-03,2023-07-03,6261.270833333333,0.0089370159400646,111.90083810499078,2572.8889145588546,0.0544120531357558,2502.075499476932,0.0645065307617187,5.243217843148509e-06,787.7854166666666,0.0448125,0.1016666666666666,0.1884583333333333,0.0953947301775793,0.0008429304605466,0.0004335774600979,20.482857142857146,22.447916666666668,19.602083333333333,0.0,787.7854166666666,34.800000000000004,19.429166666666667,2023-07-03,0.0645065307617187,779.4249783089713
2023-07-04,2023-07-04,6314.416666666667,0.008899338247393,112.3746812670514,2564.1236888069966,0.0561642373938333,2488.135083870093,0.0668881734212239,5.658060482098889e-06,786.0708333333333,0.0426458333333333,0.0985416666666666,0.188,0.0932640493505294,0.0033274899507163,0.0017115583181054,22.80697674418605,21.822916666666668,19.647916666666667,0.0,786.0708333333333,34.80416666666667,19.735416666666666,2023-07-04,0.0668881734212239,779.4701177562247
2023-07-05,2023-07-05,6290.666666666667,0.0089166632774203,112.16087186527945,2566.879448713038,0.0556892302999844,2483.97715509932,0.0676752726236979,6.18352539537779e-06,786.2937499999999,0.0421874999999999,0.0965416666666666,0.187875,0.0923439856648179,0.0044003643732359,0.0022634118681818,22.4875,22.29375,19.8625,0.44489998,786.2937499999999,39.85625,19.383333333333333,2023-07-05,0.0676752726236979,780.9953049894762
2023-07-06,2023-07-06,6391.520833333333,0.0088460219928577,113.0564169715516,2575.7281143309897,0.0538511165171952,2503.7171693330306,0.0642534891764323,5.331381090033872e-06,785.9583333333334,0.0413958333333333,0.0944583333333333,0.187625,0.0912219234978655,0.005708786624973,0.0029364239649044,21.01621621621622,22.4,19.979166666666668,0.0,785.9583333333334,34.77291666666667,19.741666666666667,2023-07-06,0.0642534891764323,783.8443124451759
2023-07-07,2023-07-07,6501.3125,0.008771207263565,114.0224692131986,2581.588413020696,0.0528288296019287,2509.2501224400808,0.0634396870930989,5.3439753771879015e-06,784.2937499999999,0.0398333333333333,0.0929583333333333,0.1878333333333333,0.0900620922142897,0.0070612509575093,0.0036320899511518,23.373170731707315,22.852083333333336,20.416666666666668,0.0,784.2937499999999,36.53333333333333,19.32708333333333,2023-07-07,0.0634396870930989,780.200638247505
2023-07-08,2023-07-08,6514.666666666667,0.0087625973647342,114.13787679573214,2572.625408498152,0.0545080767006885,2506.6493820913006,0.0638834635416666,4.889591101276285e-06,783.6229166666667,0.0391666666666666,0.0907916666666666,0.1871666666666666,0.088876387346633,0.0084438861434444,0.0043432748948909,20.98378378378378,22.5625,20.23333333333333,0.0,783.6229166666667,31.522916666666664,20.45625,2023-07-08,0.0638834635416666,778.1057872601396
2023-07-09,2023-07-09,6547.354166666667,0.0087403507523085,114.42535153655837,2609.2866610825217,0.0475158054316179,2564.052855313648,0.0547599792480468,3.273582087355148e-06,785.7416666666667,0.0376458333333333,0.0894583333333333,0.1870416666666666,0.0877207846396703,0.0097914195872146,0.0050364045838667,19.865714285714283,22.945833333333336,20.508333333333333,0.0,785.7416666666667,21.535416666666663,19.558333333333334,2023-07-09,0.0547599792480468,781.0317998988256
2023-07-10,2023-07-10,6502.875,0.008769562697368,114.03876086972132,2610.2259818699586,0.0472719117663481,2554.4968681877567,0.0561421712239583,4.045549253145348e-06,786.775,0.0366458333333333,0.0888541666666666,0.1875833333333333,0.0871894838447499,0.0104109626062325,0.0053550784261111,21.261764705882356,23.929166666666664,20.99375,0.0,786.775,23.45833333333333,21.13958333333333,2023-07-10,0.0561421712239583,781.1248499150378
