,Date,DateTime,Raw_Moderated_cph,Raw_Mod_Coeff_of_Var,Raw_Mod_sqrt,Corrected_Mod_cph_for_Des,SWC_Des_cm3_cm3,Corrected_Mod_cph_for_UTS,SWC_UTS_cm3_cm3,Rhov_g_cm3,BaroPress_mb,SWC_5,SWC_10,SWC_20,SWC_50,WeightedTDR_SWC,WeightedTDR_SD,WeightedTDR_SE,sT_5,sT_10,sT_20,sT_50,BaroPress,airRH,airT,date,CRNS
5226,5226,2023-10-17 22:00:00,12020.0,0.009121111529894,109.63576058932595,2430.985125867679,0.1763359490530656,2380.3324952444787,0.174285888671875,3.9406750110810775e-06,788.2,0.113,0.079,0.078,0.131,0.0955820394230344,0.0,0.0,12.1,11.1,9.2,9.1,788.2,21.9,20.7,2023-10-17,0.174285888671875
5227,5227,2023-10-17 22:30:00,11880.0,0.0091746980427196,108.9954127475097,2402.007106984846,0.1877491406368972,2350.8399432094448,0.184600830078125,4.030644760192518e-06,788.1,0.113,0.079,0.078,0.131,0.0955820394230344,0.0,0.0,11.8,11.1,9.3,9.1,788.1,22.4,20.7,2023-10-17,0.184600830078125
5228,5228,2023-10-17 23:00:00,11806.0,0.0092034066272035,108.65541864076545,2386.856630840785,0.1939876273172755,2336.196664101911,0.189971923828125,4.015704442254234e-06,788.1,0.114,0.079,0.078,0.131,0.0960133413606783,0.0005027574658568,0.0002583480366859,11.5,11.0,9.3,9.0,788.1,23.8,19.6,2023-10-17,0.189971923828125
5229,5229,2023-10-17 23:30:00,11736.0,0.0092308129270285,108.33282051160673,2374.093967942452,0.199396076967028,2324.091694192113,0.194549560546875,3.984214713763919e-06,788.2,0.114,0.079,0.078,0.131,0.0960133413606783,0.0005027574658568,0.0002583480366859,11.3,10.9,9.3,9.0,788.2,24.9,18.7,2023-10-17,0.194549560546875
15262,15262,2024-05-14 00:00:00,10224.0,0.0098898471516154,101.11379727811632,2206.140547615324,0.2868589192160329,2148.586132793672,0.277435302734375,4.960576075725818e-06,785.2,0.274,0.293,0.272,0.344,0.2827566346114122,0.2181845638435383,0.1121167909622014,15.8,15.1,11.1,7.8,785.2,29.4,19.6,2024-05-14,0.277435302734375
15263,15263,2024-05-14 00:30:00,9880.0,0.0100605454573191,99.39818911831344,2138.197657231693,0.3338058003852312,2082.339437101016,0.320098876953125,4.9675449903667765e-06,785.0,0.274,0.293,0.272,0.344,0.2827566346114122,0.2181845638435383,0.1121167909622014,15.2,14.9,11.2,7.8,785.0,30.5,19.0,2024-05-14,0.320098876953125
15264,15264,2024-05-14 01:00:00,9772.0,0.0101159871930064,98.85342685005918,2115.1622854146417,0.3517953796793645,2062.6764603261377,0.334564208984375,4.7121288411247655e-06,785.2,0.273,0.293,0.272,0.344,0.2823253326737684,0.2176818063776815,0.1118584429255154,14.5,14.6,11.3,7.8,785.2,29.8,18.5,2024-05-14,0.334564208984375
15265,15265,2024-05-14 01:30:00,10088.0,0.009956288286669,100.43903623591775,2186.774330818807,0.2993965912096896,2130.9794656521008,0.287994384765625,4.848654154026347e-06,785.3,0.273,0.293,0.272,0.344,0.2823253326737684,0.2176818063776815,0.1118584429255154,14.1,14.3,11.4,7.9,785.3,31.4,18.1,2024-05-14,0.287994384765625
15266,15266,2024-05-14 02:00:00,9838.0,0.0100819976271416,99.18669265581951,2131.9943473396047,0.3385363343454016,2079.464995234516,0.322174072265625,4.677961792831966e-06,785.5,0.272,0.293,0.273,0.344,0.2820903180910858,0.217407855983036,0.111717670184358,13.8,14.0,11.4,7.9,785.5,35.2,15.6,2024-05-14,0.322174072265625
15267,15267,2024-05-14 02:30:00,9790.0,0.010106683232657,98.94442884771227,2121.759044588179,0.3465235275563633,2069.319201397227,0.329559326171875,4.692887431693259e-06,785.5,0.272,0.292,0.273,0.344,0.2817585624009623,0.2170211369922489,0.1115189499289587,13.1,13.7,11.4,7.9,785.5,37.3,14.7,2024-05-14,0.329559326171875
15268,15268,2024-05-14 03:00:00,9752.0,0.0101263551235672,98.75221516502808,2114.726885915213,0.3521468370787184,2062.837537337816,0.334442138671875,4.658213965722689e-06,785.6,0.271,0.292,0.273,0.344,0.2813272604633184,0.2165183795263921,0.1112606018922727,12.2,13.4,11.4,8.0,785.6,40.1,13.4,2024-05-14,0.334442138671875
15269,15269,2024-05-14 03:30:00,9872.0,0.0100646210278559,99.35793878699376,2134.481757382664,0.3366296623132576,2080.307977629004,0.321563720703125,4.822450110150029e-06,785.8,0.27,0.292,0.273,0.344,0.2808959585256746,0.2160156220605352,0.1110022538555867,11.5,13.0,11.4,8.0,785.8,45.0,12.1,2024-05-14,0.321563720703125
15270,15270,2024-05-14 04:00:00,10000.0,0.01,100.0,2163.343567153649,0.3154349068296088,2108.866194424664,0.302032470703125,4.7838039150566815e-06,785.9,0.27,0.292,0.273,0.344,0.2808959585256746,0.2160156220605352,0.1110022538555867,10.9,12.6,11.4,8.1,785.9,45.2,11.9,2024-05-14,0.302032470703125
15271,15271,2024-05-14 04:30:00,9802.0,0.0101004948353632,99.0050503762308,2123.840633109794,0.3448804197057218,2070.2214191760395,0.328887939453125,4.7963391595853535e-06,786.1,0.269,0.292,0.273,0.344,0.2804646565880307,0.2155128645946784,0.1107439058189008,10.4,12.2,11.3,8.1,786.1,51.4,9.9,2024-05-14,0.328887939453125
15272,15272,2024-05-14 05:00:00,10070.0,0.0099651826846491,100.3493896344168,2185.245253855161,0.3004134218955241,2128.4238031895534,0.289520263671875,4.9437949567342e-06,786.2,0.269,0.291,0.273,0.344,0.2801329008979072,0.2151261456038913,0.1105451855635014,9.9,11.9,11.3,8.1,786.2,54.0,9.6,2024-05-14,0.289520263671875
