date,Date (aggregated based on UTC),Raw_Moderated_cph,Raw_Mod_Coeff_of_Var,Raw_Mod_sqrt,Corrected_Mod_cph_for_Des,SWC_Des_cm3_cm3,Corrected_Mod_cph_for_UTS,SWC_UTS_cm3_cm3,Rhov_g_cm3,BaroPress_mb,SWC_5,SWC_10,SWC_20,WeightedTDR_SWC,WeightedTDR_SD,WeightedTDR_SE,sT_5,sT_10,sT_20,PRISM_ppt_mm,BaroPress,airRH,airT,date,CRNS,Bare
2023-07-01,2023-07-01,9168.652173913044,0.0073851526810735,135.41246808571276,2416.575377006709,0.194202777285366,2342.819967015109,0.184066109035326,5.833182797092442e-06,724.2021739130436,0.0303695652173913,0.067891304347826,0.1960869565217391,0.0806450127027716,0.0,0.0,11.5,11.382608695652175,11.358695652173912,,724.2021739130436,74.23913043478261,9.115217391304348,2023-07-01,0.184066109035326,1161.4633607005458
2023-07-02,2023-07-02,9313.645833333334,0.0073274445902949,136.47895704527204,2450.364774899926,0.1806220078255586,2374.856585988963,0.1725794474283854,5.887499761803234e-06,724.1437500000001,0.0314583333333333,0.0664166666666666,0.1850208333333333,0.0781115097683536,0.0029493040043225,0.0015098864166579,14.610638297872342,14.239583333333334,13.21875,0.0,724.1437500000001,60.35625,11.7,2023-07-02,0.1725794474283854,1170.2277916688186
2023-07-03,2023-07-03,9351.0625,0.0073127569868528,136.75291593465906,2459.599368582472,0.1769711365638974,2388.6245374558416,0.1679191589355468,5.507918536619473e-06,723.7166666666667,0.0301041666666666,0.0647916666666666,0.1720208333333333,0.0740428092533505,0.0076857637724436,0.0039347013073749,14.473333333333333,13.864583333333334,12.952083333333334,2.98,723.7166666666667,56.770833333333336,12.720833333333331,2023-07-03,0.1679191589355468,1161.189352035706
2023-07-04,2023-07-04,9482.083333333334,0.0072621982944844,137.70674086071674,2465.5854570857678,0.1749146180735968,2398.1185434866634,0.164923350016276,5.211929888802424e-06,722.4875000000001,0.0247916666666666,0.0616875,0.1586458333333333,0.0676799188920426,0.015092938150152,0.0077267796968279,16.60625,15.964583333333332,14.69375,0.0,722.4875000000001,46.2625,13.875,2023-07-04,0.164923350016276,1162.0635771631469
2023-07-05,2023-07-05,9609.145833333334,0.0072138297061538,138.62757566622136,2503.2009441310265,0.1611719464728499,2426.315162377527,0.155859629313151,5.872196005282703e-06,722.2312499999999,0.0203958333333333,0.0580833333333333,0.1453541666666666,0.0615560244990486,0.0222218922989478,0.0113764241615789,14.872916666666669,14.575,13.979166666666666,0.0,722.2312499999999,54.95416666666667,13.23125,2023-07-05,0.155859629313151,1165.9224655838743
2023-07-08,2023-07-08,10165.1875,0.0070139193112539,142.58096765389047,2575.140251698398,0.1379276717054713,2512.284882476188,0.1316960652669271,4.638883651995458e-06,719.9416666666666,0.0091458333333333,0.0481458333333333,0.1117291666666666,0.0418013774561113,0.0452186920406051,0.0231495596218912,17.580851063829787,16.558333333333334,15.1375,0.0,719.9416666666666,42.454166666666666,14.9,2023-07-08,0.1316960652669271,1175.3918170789464
2023-07-09,2023-07-09,10241.9375,0.0069874658653228,143.11905261241554,2621.8842666521587,0.1242000856733193,2572.710574275313,0.1167170206705729,3.5428425351745832e-06,721.9854166666668,0.0061458333333333,0.0418333333333333,0.0986458333333333,0.036673066629506,0.0511886664388357,0.0262058682419835,17.12608695652174,16.412499999999998,15.264583333333334,0.0,721.9854166666668,31.80625,14.320833333333333,2023-07-09,0.1167170206705729,1181.410272857198
2023-07-10,2023-07-10,10093.833333333334,0.0070387861960616,142.0788604334113,2613.8468280392785,0.1265311812570004,2552.956537604808,0.1215095520019531,4.426204507649023e-06,723.4729166666666,0.0033958333333333,0.0346458333333333,0.0887083333333333,0.0319499790554113,0.0566869119335634,0.0290206768123353,16.704166666666666,16.3875,15.510416666666666,0.0,723.4729166666666,36.08125,14.504166666666668,2023-07-10,0.1215095520019531,1176.132568966205
2023-07-11,2023-07-11,10083.895833333334,0.0070418715658037,142.01147039371298,2637.045151062329,0.1200293553841904,2570.013115255405,0.1173210144042968,4.830754167458567e-06,724.375,0.0037291666666666,0.0326875,0.0838958333333333,0.0301894144061949,0.0587364222377602,0.03006991682441,16.332608695652173,15.30625,14.31875,0.0,724.375,41.10625,15.3125,2023-07-11,0.1173210144042968,1182.2656483034339
2023-07-12,2023-07-12,10037.291666666666,0.0070583117796714,141.68218582609293,2636.2401805934346,0.120296808919883,2555.4681083414303,0.1208470662434895,5.858641677710512e-06,724.2979166666668,0.002375,0.03025,0.0807708333333333,0.0286428320508817,0.0605368312570565,0.0309916302587252,18.260416666666668,17.056250000000002,15.675,0.0,724.2979166666668,45.3875,15.889583333333334,2023-07-12,0.1208470662434895,1187.3725224144048
2023-07-13,2023-07-13,10279.208333333334,0.0069746986935392,143.37983411233876,2661.830840344722,0.1134913931222382,2583.992553319204,0.1140988667805989,5.576401021159705e-06,723.75625,0.0017083333333333,0.0284791666666666,0.0771458333333333,0.0272143784735389,0.0621997240835902,0.0318429427336215,17.741666666666667,16.602083333333333,15.502083333333331,0.0,723.75625,44.39791666666667,15.939583333333331,2023-07-13,0.1140988667805989,1187.4742092913275
2023-07-14,2023-07-14,10457.041666666666,0.0069152048345831,144.61430562222858,2670.6124400545827,0.1111855723813054,2603.827810279616,0.1097157796223958,4.753126741774056e-06,723.8666666666667,0.0015428571428571,0.02675,0.0742083333333333,0.0259550587476568,0.0636657246395041,0.0325934568626984,18.082608695652173,16.79375,15.577083333333334,0.0,723.8666666666667,39.875,15.864583333333334,2023-07-14,0.1097157796223958,1185.0599958605997
2023-07-15,2023-07-15,10241.625,0.0069883336353599,143.1116390230416,2690.82725364706,0.1062370105732756,2632.3269292941304,0.1038347880045573,4.128012207007872e-06,725.4395833333333,0.0018333333333333,0.0248749999999999,0.071625,0.0247249873931398,0.0650976765516943,0.0333265399013932,18.506521739130434,17.29375,16.041666666666668,0.0,725.4395833333333,36.87916666666667,14.845833333333331,2023-07-15,0.1038347880045573,1194.8294954652522
2023-07-16,2023-07-16,10242.125,0.006987499450402,143.11970137213785,2726.691154832808,0.0975462415963381,2670.056751110229,0.0960884094238281,3.933089924419166e-06,726.9145833333333,0.0014615384615384,0.0231666666666666,0.0693125,0.0236135283854028,0.0663915493385092,0.0339889337891822,18.73695652173913,17.443749999999998,16.210416666666667,0.0,726.9145833333333,35.75,15.085416666666667,2023-07-16,0.0960884094238281,1195.7020420610904
2023-07-17,2023-07-17,10110.4375,0.0070331026626572,142.19499033883656,2726.984751087746,0.097463181776506,2663.309474289783,0.0973714192708333,4.430163001190042e-06,727.025,0.00075,0.0216041666666666,0.067625,0.0226931771724852,0.0674629495254857,0.034537433566333,19.628260869565217,18.047916666666666,16.604166666666668,0.0,727.025,34.15416666666667,17.277083333333334,2023-07-17,0.0973714192708333,1204.2162557557253
2023-07-18,2023-07-18,10309.9375,0.0069643058912124,143.59392204307127,2753.500391077796,0.0912783746206799,2684.687182660016,0.0930747985839843,4.74583385217004e-06,725.8291666666668,0.0005714285714285,0.0200208333333333,0.0661041666666666,0.0218031255459972,0.0684990773271919,0.0350678757626698,19.715217391304343,18.147916666666667,16.839583333333334,0.0,725.8291666666668,32.420833333333334,17.927083333333332,2023-07-18,0.0930747985839843,1202.7755962839117
