date,Date (aggregated based on UTC),Raw_Moderated_cph,Raw_Mod_Coeff_of_Var,Raw_Mod_sqrt,Corrected_Mod_cph_for_Des,SWC_Des_cm3_cm3,Corrected_Mod_cph_for_UTS,SWC_UTS_cm3_cm3,Rhov_g_cm3,BaroPress_mb,SWC_5,SWC_10,SWC_20,SWC_50,WeightedTDR_SWC,WeightedTDR_SD,WeightedTDR_SE,sT_5,sT_10,sT_20,sT_50,PRISM_ppt_mm,BaroPress,airRH,airT,date,CRNS,Bare
2024-06-23,2024-06-23,5382.958333333333,0.0096391131207082,103.7539316995704,1882.6621492998672,0.2340158259468779,1812.6186491647984,0.2026532491048177,7.160373135978772e-06,766.36875,,,,,,,,,,,,0.0,766.36875,66.26666666666667,13.833333333333334,2024-06-23,0.2026532491048177,1031.9988211904958
2024-06-24,2024-06-24,5487.958333333333,0.0095459719422189,104.76274396980436,1940.4481451977956,0.1991886668444385,1864.014585920972,0.1756490071614583,7.594647076150927e-06,764.3083333333334,,,,,,,,,,,,0.0,764.3083333333334,60.15,15.933333333333332,2024-06-24,0.1756490071614583,1043.511443538233
2024-06-25,2024-06-25,5599.0625,0.0094506138322987,105.81853955417428,1968.467300070237,0.184830775350251,1894.574859393035,0.1620941162109375,7.222797085977212e-06,764.50625,,,,,,,,,,,,0.0,764.50625,54.51666666666667,16.958333333333332,2024-06-25,0.1620941162109375,1042.191732485213
2024-06-26,2024-06-26,5553.5625,0.0094892656513355,105.3876376916906,1990.452424644768,0.1739586497107704,1904.6458591955543,0.1576334635416666,8.346392287721719e-06,764.8791666666666,,,,,,,,,,,,0.0,764.8791666666666,65.075,15.5,2024-06-26,0.1576334635416666,1047.0722104460324
2024-06-27,2024-06-27,5597.458333333333,0.0094533383051229,105.798234097334,1994.046338992476,0.1726969155374589,1896.9429496830016,0.1612841288248697,9.481141408922886e-06,761.96875,0.062,0.048,0.052,0.054,0.0544995407459743,0.0011005371370058,0.0005202994401719,17.337500000000002,13.575,11.15,9.8,2.5751998,761.96875,80.85000000000001,14.133333333333333,2024-06-27,0.1612841288248697,1054.4701689855085
2024-06-28,2024-06-28,5621.25,0.0094333238592687,106.02280363216435,1933.9947257449685,0.2028361460984193,1843.517505253042,0.1859118143717447,9.097226162459582e-06,760.30625,0.0692083333333333,0.048,0.052,0.0537916666666666,0.057015518318349,0.0039557525734574,0.0018701557450649,12.54375,12.0125,11.270833333333334,9.91875,7.1956,760.30625,83.85833333333333,12.6,2024-06-28,0.1859118143717447,1056.418625634494
2024-06-29,2024-06-29,5315.604166666667,0.0097011061480926,103.09882132637462,1922.300325566647,0.2104840796950956,1830.126621504096,0.1935640970865885,9.32625058120298e-06,764.1791666666667,0.0969166666666666,0.048,0.052,0.0529166666666666,0.0666789754699858,0.0149221667147412,0.0070547323909086,13.514583333333334,12.402083333333332,11.279166666666669,9.9125,4.8334,764.1791666666667,75.375,15.3,2024-06-29,0.1935640970865885,1067.2198049125527
2024-06-30,2024-06-30,5264.1875,0.0097469028278527,102.60413974887248,1920.2182434413487,0.2107509601275141,1826.2557163202364,0.1948699951171875,9.530478085302912e-06,766.36875,0.0980416666666666,0.048,0.052,0.052,0.0669788410652914,0.0152624642142015,0.0072156143752666,14.7875,13.60625,12.145833333333334,10.2125,1.0346,766.36875,68.66666666666667,16.766666666666666,2024-06-30,0.1948699951171875,1058.4805874455287
2024-07-01,2024-07-01,5265.0,0.0097469096485266,102.60938406826932,1876.249909164933,0.2389814150949289,1775.4867472332603,0.2257016499837239,1.0509389883668592e-05,764.0395833333333,0.1035833333333333,0.048,0.052,0.0516666666666666,0.06889491368424,0.0174368874598827,0.008243613485322,14.36875,13.558333333333332,12.40625,10.4,8.3206,764.0395833333333,86.52499999999999,14.466666666666669,2024-07-01,0.2257016499837239,1053.262347612714
2024-07-02,2024-07-02,5065.416666666667,0.0099411204633039,100.6319054708598,1769.81658974149,0.3315221094438532,1687.018718842795,0.3032951354980469,9.079986409293674e-06,762.3833333333333,0.2185416666666666,0.074,0.052,0.05,0.1171955488708432,0.0722500625411873,0.0341575634556452,13.433333333333332,12.997916666666669,12.264583333333334,10.64375,19.6477,762.3833333333333,83.43333333333334,12.808333333333332,2024-07-02,0.3032951354980469,1004.0453891894057
2024-07-03,2024-07-03,5097.125,0.0099056276964463,100.96195358088669,1778.53232789095,0.3158912338687283,1713.473180212375,0.2714487711588542,7.037052703068619e-06,763.0604166666667,0.2115833333333333,0.1159166666666666,0.053875,0.05,0.1280875125353491,0.0846106269315985,0.0400012506119348,12.029166666666669,11.920833333333334,11.672916666666666,10.63125,1.6919,763.0604166666667,68.61666666666666,12.825,2024-07-03,0.2714487711588542,1019.4655008376017
2024-07-04,2024-07-04,5171.3125,0.0098342893731927,101.6941378271283,1820.815907612944,0.2784301682784793,1766.942255232965,0.2302818298339843,5.646729954451224e-06,764.6666666666666,0.17355,0.1143,0.054,0.04985,0.1142131722358575,0.068865561860807,0.0325574776883856,10.7725,11.085,11.165,10.46,0.0,764.6666666666666,57.375,12.125,2024-07-04,0.2302818298339843,1019.5230034446093
2024-07-05,2024-07-05,5212.958333333333,0.0097953932649056,102.10115775843737,1851.957145249601,0.2552809506932208,1802.8405710936267,0.2082964579264322,5.044452077993954e-06,766.34375,0.144375,0.1055,0.054,0.0489166666666666,0.1011351418488073,0.0540241758923916,0.0255409359006622,10.479166666666666,10.804166666666667,10.8375,10.31875,0.0,766.34375,54.333333333333336,11.358333333333334,2024-07-05,0.2082964579264322,1024.751283667162
2024-07-06,2024-07-06,5365.520833333333,0.0096543295020286,103.58731562092356,1871.965867668675,0.240457292249791,1820.324478434917,0.1977361043294271,5.254155148130105e-06,764.2604166666666,0.12,0.09675,0.054,0.0477916666666666,0.0897423229165465,0.0410952242048821,0.0194285330576983,10.341666666666669,10.4875,10.49375,10.0625,0.0,764.2604166666666,52.65,12.208333333333334,2024-07-06,0.1977361043294271,1034.8254558192946
2024-07-07,2024-07-07,5512.166666666667,0.0095247727548443,104.9943436238371,1901.8359614676465,0.2213785576463511,1849.5011738482635,0.1826591491699218,5.240858609939738e-06,762.3458333333333,0.1002916666666666,0.088625,0.0535833333333333,0.046,0.0800168872332717,0.0300584747544904,0.0142107040837662,10.858333333333334,10.754166666666668,10.55,9.98125,0.0,762.3458333333333,50.725,13.125,2024-07-07,0.1826591491699218,1032.8132954540192
2024-07-08,2024-07-08,5532.020833333333,0.0095080070991212,105.18200728886622,1927.5513289369856,0.2064033119330072,1873.0470854534944,0.1715672810872396,5.390931395984091e-06,763.8041666666667,0.0854583333333333,0.08125,0.0527083333333333,0.045875,0.0723057634504194,0.0213076337696844,0.0100735809351409,10.589583333333334,10.629166666666666,10.50625,9.93125,0.0,763.8041666666667,56.13333333333333,12.291666666666666,2024-07-08,0.1715672810872396,1040.5809002046537
2024-07-09,2024-07-09,5559.416666666667,0.0094844126019124,105.44262598313529,1952.4375706962408,0.1927840365254906,1892.143678186245,0.1629918416341146,5.903247113547057e-06,764.75,0.0754583333333333,0.0749583333333333,0.052,0.045125,0.0666033346455327,0.0148363269791346,0.007014150056266,10.814583333333331,10.635416666666666,10.40625,9.8,0.0,764.75,56.825,13.375,2024-07-09,0.1629918416341146,1044.2110486116635
2024-07-10,2024-07-10,5503.0,0.0094875453716891,105.4061982508762,1979.4687541102132,0.1790602042658935,1914.0408678770332,0.1536650962017952,6.329340799601905e-06,766.4458333333333,0.0671666666666666,0.0685,0.051875,0.043625,0.0615095416581837,0.0090557204557462,0.0042812605999808,11.733333333333334,11.252083333333331,10.7125,9.812500000000002,0.0,766.4458333333333,56.075,14.241666666666667,2024-07-10,0.1536650962017952,1045.7429124338043
2024-07-11,2024-07-11,5601.145833333333,0.0094491841615061,105.83699838632946,2020.0562248315705,0.1609851343168445,1948.9086407254476,0.1406911214192708,6.761165149161983e-06,766.5187500000001,0.0611666666666666,0.0626666666666666,0.0511666666666666,0.042,0.0572646180768479,0.0042384393046476,0.002003801165139,12.50625,11.722916666666668,10.99375,10.01875,0.0,766.5187500000001,51.95,16.508333333333333,2024-07-11,0.1406911214192708,1063.019234498298
2024-07-12,2024-07-12,5723.479166666667,0.0093476063899447,106.98672455688238,2042.932322841291,0.1510500524816411,1971.0272811787615,0.1326344807942708,6.760527498347864e-06,766.1374999999999,0.0572916666666666,0.0575,0.05,0.04175,0.054009550100608,0.0005444793765042,0.0002574127716862,13.110416666666666,12.208333333333334,11.360416666666666,10.1,0.0,766.1374999999999,48.13333333333333,18.10833333333333,2024-07-12,0.1326344807942708,1064.2219804999365
2024-07-13,2024-07-13,5757.3125,0.0093202101032417,107.30205075555588,2070.531238060318,0.1401204868445085,2004.8053957138752,0.1214383443196614,6.077427822674585e-06,767.36875,0.05425,0.0524166666666666,0.0491666666666666,0.04,0.0509944794348586,0.0028771235826648,0.0013602137892764,13.120833333333332,12.385416666666666,11.583333333333334,10.30625,0.0,767.36875,43.81666666666666,17.741666666666667,2024-07-13,0.1214383443196614,1065.3500980610524
2024-07-14,2024-07-14,5771.895833333333,0.0093084592868591,107.4377505788356,2094.562540930026,0.1314254066340254,2013.766596824954,0.11865234375,7.429331038491092e-06,768.1666666666666,0.0510833333333333,0.0482499999999999,0.048,0.0394166666666666,0.0482615805732079,0.0059785085479851,0.0028264513263432,13.666666666666666,12.7125,11.835416666666667,10.4,0.0,768.1666666666666,50.86666666666667,17.825,2024-07-14,0.11865234375,1060.363317610107
