date,Date (aggregated based on UTC),Raw_Moderated_cph,Raw_Mod_Coeff_of_Var,Raw_Mod_sqrt,Corrected_Mod_cph_for_Des,SWC_Des_cm3_cm3,Corrected_Mod_cph_for_UTS,SWC_UTS_cm3_cm3,Rhov_g_cm3,BaroPress_mb,SWC_5,SWC_10,SWC_20,SWC_50,WeightedTDR_SWC,WeightedTDR_SD,WeightedTDR_SE,sT_5,sT_10,sT_20,sT_50,PRISM_ppt_mm,BaroPress,airRH,airT,date,CRNS,Bare
2024-07-13,2024-07-13,5754.75,0.0093223231100991,107.27801378236371,2124.6494419768096,0.1168865275773062,2058.0954049491997,0.1109364827473958,5.991118498137176e-06,770.9875000000001,0.1369166666666666,0.1192916666666666,0.1568333333333333,0.133,0.134749314833324,0.0382146446985605,0.0197625425480203,14.34375,13.870833333333332,13.4375,12.0,0.0,770.9875000000001,48.24166666666667,16.758333333333333,2024-07-13,0.1109364827473958,829.1167936528482
2024-07-14,2024-07-14,5693.291666666667,0.0093723720857267,106.7041401503476,2109.39954215218,0.122681402636223,2037.9588204248168,0.1178029378255208,6.4915985203292014e-06,771.6520833333334,0.1295833333333333,0.1144166666666666,0.151,0.127625,0.128596886994856,0.0454029225986883,0.0234799301874669,15.408333333333331,14.579166666666666,13.78125,12.15,0.0,771.6520833333334,46.81666666666666,18.05,2024-07-14,0.1178029378255208,834.1018580046921
2024-07-15,2024-07-15,5683.979166666667,0.0093803605588036,106.6156550377289,2103.0529416371896,0.125158890912079,2012.94584070268,0.1270179748535156,8.291061736562007e-06,770.6083333333332,0.1245833333333333,0.1111666666666666,0.146875,0.1239166666666666,0.1243964755642065,0.0503105339435294,0.0260178807238805,15.408333333333331,14.679166666666667,13.933333333333332,12.300000000000002,2.2377,770.6083333333332,63.65833333333333,16.849999999999998,2024-07-15,0.1270179748535156,825.9149278920977
2024-07-16,2024-07-16,5684.5625,0.0093800254009403,106.62057895609358,2086.8183277550856,0.1320698558706163,1994.648374043175,0.1343994140625,8.557658733671138e-06,769.4541666666668,0.1210833333333333,0.1087083333333333,0.143375,0.1215416666666666,0.1212853386922827,0.0539454756296218,0.0278976755066822,15.55625,14.9625,14.208333333333334,12.43125,3.6476998,769.4541666666668,68.875,15.433333333333332,2024-07-16,0.1343994140625,842.6013621782731
2024-07-17,2024-07-17,5708.041666666667,0.0093609736632769,106.83952163192303,2099.866971305816,0.1266454361364422,2020.811037082496,0.1242993672688802,7.2490455678302e-06,770.9458333333333,0.1191666666666666,0.106375,0.1410416666666666,0.1196666666666666,0.1191512463219016,0.0564388732647677,0.0291871255916534,14.233333333333334,14.077083333333334,13.86875,12.59375,3.3964999,770.9458333333333,69.39166666666667,13.733333333333334,2024-07-17,0.1242993672688802,840.531511259056
2024-07-18,2024-07-18,5772.708333333333,0.0093075120615944,107.44644153687756,2108.856101258582,0.1229102646835088,2028.1338322359843,0.1213696797688802,7.370151144260608e-06,770.7229166666666,0.11675,0.1046666666666666,0.1375833333333333,0.1168333333333333,0.1167535198684791,0.059240291587454,0.0306358672778211,15.26875,14.558333333333332,13.93125,12.51875,0.0,770.7229166666666,59.333333333333336,16.283333333333335,2024-07-18,0.1213696797688802,828.6535185332167
2024-07-19,2024-07-19,5751.854166666667,0.0093247456772881,107.2507236680671,2120.074199297368,0.118708184867343,2028.606135047262,0.1214688618977864,8.356607282468933e-06,771.43125,0.114875,0.1029583333333333,0.135875,0.1137916666666666,0.1149221842031828,0.0613799590547026,0.031742387296355,15.389583333333334,14.766666666666666,14.129166666666668,12.59375,0.8947,771.43125,67.05,15.691666666666668,2024-07-19,0.1214688618977864,825.8004241323703
2024-07-20,2024-07-20,5791.770833333333,0.0092923584348379,107.6230040134015,2121.7102355805773,0.1178545492381715,2044.8886107283383,0.1153577168782552,6.960791839234168e-06,771.0166666666668,0.1124166666666666,0.1014999999999999,0.1340416666666666,0.11175,0.1129327730712848,0.0637043162758109,0.0329444188431949,15.014583333333334,14.558333333333332,14.097916666666668,12.6,0.5719,771.0166666666668,60.9,15.325,2024-07-20,0.1153577168782552,823.8146346005879
2024-07-21,2024-07-21,5836.104166666667,0.0092567201298541,108.03519863686392,2124.2035082357224,0.1168717821848688,2044.216378217543,0.1155624389648437,7.249821028898742e-06,769.9520833333332,0.1102916666666666,0.10025,0.132,0.109625,0.1111149109705754,0.0658282417093294,0.0340427979352898,15.191666666666665,14.714583333333332,14.1625,12.6,0.0,769.9520833333332,59.96666666666667,15.283333333333331,2024-07-21,0.1155624389648437,833.2982993447267
2024-07-22,2024-07-22,5846.5625,0.0092486296706246,108.13119860779658,2108.432640069111,0.1229033289241631,2035.386263692815,0.118695576985677,6.652102268417985e-06,769.4604166666667,0.1092916666666666,0.09875,0.1311666666666666,0.1079166666666666,0.1099540758082015,0.0671845202326158,0.0347441916610418,14.18125,13.95625,13.829166666666666,12.6,0.252,769.4604166666667,64.10000000000001,13.558333333333332,2024-07-22,0.118695576985677,834.7065716816979
