date,Date (aggregated based on UTC),Raw_Moderated_cph,Raw_Mod_Coeff_of_Var,Raw_Mod_sqrt,Corrected_Mod_cph_for_Des,SWC_Des_cm3_cm3,Corrected_Mod_cph_for_UTS,SWC_UTS_cm3_cm3,Rhov_g_cm3,BaroPress_mb,SWC_5,SWC_10,WeightedTDR_SWC,WeightedTDR_SD,WeightedTDR_SE,sT_5,sT_10,PRISM_ppt_mm,BaroPress,airRH,airT,date,CRNS,Bare
2023-07-04,2023-07-04,6182.625,0.0089935719726819,111.19627229419444,2665.4665628143225,0.0511410020957817,2583.729446798959,0.0436795552571614,5.860444439752947e-06,791.4770833333333,0.0215625,0.068375,0.0428533845462553,0.0012281047470157,0.000710981027343,23.251063829787235,21.13125,0.0,791.4770833333333,38.427083333333336,19.041666666666668,2023-07-04,0.0436795552571614,828.0533772464929
2023-07-05,2023-07-05,6166.770833333333,0.0090050304567761,111.05399886211283,2676.603002034783,0.0488604453061794,2579.841607919453,0.0442148844401041,6.946951323410344e-06,791.5437499999999,0.0186458333333333,0.06825,0.0310409157870638,0.0132589580787001,0.0076759475600103,22.502127659574462,20.59375,0.0022,791.5437499999999,48.90833333333333,17.872916666666665,2023-07-05,0.0442148844401041,830.9648485905675
2023-07-06,2023-07-06,6259.145833333333,0.0089395706541971,111.87746946004108,2690.8541424494474,0.0460883508533448,2600.6900981236354,0.0413386027018229,6.432128581139921e-06,791.2666666666668,0.0190833333333333,0.0676875,0.0307850840635441,0.0135727155435449,0.0078575897246823,22.30208333333333,19.89583333333333,0.0,791.2666666666668,50.35416666666666,17.46875,2023-07-06,0.0413386027018229,830.3545956450125
2023-07-07,2023-07-07,6422.333333333333,0.008824343360799,113.33049868164647,2700.7552216189347,0.0441726616949469,2629.9838292386157,0.0372886657714843,4.984418510916486e-06,789.5104166666666,0.0165208333333333,0.0683125,0.0310693415341216,0.0132240961381618,0.007655765097269,23.922916666666666,21.197916666666668,0.0,789.5104166666666,40.71458333333333,17.35625,2023-07-07,0.0372886657714843,825.6361014669383
2023-07-08,2023-07-08,6448.020833333333,0.0088073027281724,113.55454553422818,2707.771744081056,0.0427610389908557,2631.6288034078893,0.0370839436848958,5.365790934885366e-06,788.8395833333334,0.0149166666666666,0.0679791666666666,0.0309177375498136,0.0134100264876994,0.0077634048985561,23.870833333333334,21.091666666666665,0.0,788.8395833333334,43.583333333333336,17.4875,2023-07-08,0.0370839436848958,831.1232605604929
2023-07-09,2023-07-09,6476.0625,0.0087879617010364,113.8022646817969,2747.587331128307,0.0353355328160135,2689.204026603256,0.0297470092773437,4.023060332754423e-06,791.0166666666668,0.013625,0.0675208333333333,0.0307092820713901,0.0136656807183137,0.0079114096253258,21.0575,21.15,0.0,791.0166666666668,31.5,17.722916666666666,2023-07-09,0.0297470092773437,831.4735922748941
2023-07-10,2023-07-10,6419.25,0.0088262994961876,113.30399891754396,2741.8920752975805,0.0363554507902306,2676.186020229341,0.0313364664713541,4.551132373325653e-06,792.1041666666666,0.0128958333333333,0.0680625,0.0309556385458906,0.013363543900315,0.0077364949482343,25.754166666666663,22.475,0.0,792.1041666666666,28.354166666666668,19.90833333333333,2023-07-10,0.0313364664713541,829.9854509777136
2023-07-11,2023-07-11,6353.833333333333,0.0088716173333319,112.72519975822728,2747.408830017277,0.0353352365320313,2671.2112656813383,0.0319124857584635,5.282926855280288e-06,793.0958333333333,0.01275,0.0675625,0.0307282325694286,0.0136424394246215,0.0078979546501649,23.866666666666667,22.535416666666663,0.0,793.0958333333333,33.735416666666666,20.652083333333334,2023-07-11,0.0319124857584635,827.6790726413379
2023-07-12,2023-07-12,6287.75,0.0089178888215799,112.13841300219164,2728.7454641265117,0.0387516091580626,2638.4602136894664,0.0361366271972656,6.343379935942587e-06,792.8916666666668,0.0122083333333333,0.0674791666666666,0.0306903315733516,0.0136889220120059,0.0079248646004867,26.397916666666664,23.19375,0.0,792.8916666666668,36.72708333333333,21.03125,2023-07-12,0.0361366271972656,839.526183397865
2023-07-13,2023-07-13,6422.333333333333,0.0088240135347563,113.3319159025833,2746.4031002623487,0.035561188207974,2657.6183450649346,0.0336380004882812,6.18397558526995e-06,792.1979166666666,0.0124583333333333,0.0673333333333333,0.0306240048302168,0.0137702665399286,0.0079719570135498,25.672727272727272,23.629166666666663,0.0,792.1979166666666,37.47083333333333,21.13125,2023-07-13,0.0336380004882812,833.5326830406392
