,N_pvisd_Des,N_pisd_UTS,Sample_total_swc_g,swc_g,swc_g_sd,Pred_Des,Pred_UTS,TDR_total_swc_g,bd,lw,soc_water,Porosity,Elev,Canopy,landCoverClass,OldName,NewName,CalStart,CalEnd,SampDate,airRH,airT,Rhov_cal_g_cm3,WeightedTDR,BWE_mm,BWE_uncer,Port_raw_mod_cph,Stationary_raw_mod_cph,Raw_Mod_cv,Raw_Mod_sqrt,N0_fit_Des,N0_fit_UTS,N_ratio_raw,QA1,QA2
1,2817.259459794186,2669.6678826428947,0.11323494465114294,0.07173494465114294,0.006632203091136614,0.11323494465114294,0.11320200783738574,0.08922843471035598,0.9801954581421034,0.028499999999999998,0.013000000000000001,0.63011492145581,2208.5808,forest,Ponderosa pine,Crys 2,C1,2023-07-31 17:00:00,2023-07-31 19:00:00,2023-07-31 17:30:00,44.333333333333336,24.5,1.0240961616136332e-05,0.046783194927322844,40.76532908884749,1.9795670778219752,13558.0,10426.5,0.009794187736309301,102.10727894036026,3880.409570127124,5601.183371768454,1.3003404785882127,TRUE,FALSE
0,2816.7228133092094,2670.1897249462704,0.1985284639004499,0.1485284639004499,0.0273056491743566,0.19852846390045004,0.19854006641186453,0.10716604141582085,1.361518108344007,0.0315,0.0185,0.48621958175697844,2213.1528,half-forest,Pasture with aspen,Crys 1,C2,2023-07-31 14:00:00,2023-07-31 16:00:00,2023-07-31 14:30:00,62.075,18.575,1.0158711458760468e-05,0.07783260056998358,82.9021925479212,4.942364161724904,13518.0,10193.5,0.009905909474983876,100.9585425561458,4473.03448373089,6641.181219595359,1.3261392063569921,TRUE,FALSE
2,2784.819036347551,2646.1035548317736,0.21036596327943877,0.1398659632794388,0.0121339326530548,0.21036596327943868,0.21036303276242987,0.1214554815374456,0.8743120546698385,0.040499999999999994,0.03,0.6700709227660986,2131.4664,forest,Cottonwood riparian,Crys 3,C3,2023-07-31 19:30:00,2023-07-31 21:30:00,2023-07-31 20:00:00,36.5,27.0,9.698727711211888e-06,0.0445509917596951,96.31413316937264,2.6026584708246707,12852.0,9560.5,0.010240291504524525,97.73728194175727,4489.212565066153,6693.0295715986385,1.3442811568432613,TRUE,FALSE
3,3137.6373229715564,2949.897232437523,0.09224209225412074,0.04974209225412075,0.003318475093789538,0.09224209225412071,0.09226623538532142,0.08925638873459557,1.204974427969537,0.0295,0.013000000000000001,0.5452926686907408,1976.0184,forest,Oak forest,Crys 6,C4,2023-07-31 21:30:00,2023-07-31 23:30:00,2023-07-31 22:30:00,39.625,27.700000000000003,1.1785726990733282e-05,0.0563402527693906,11.682695480554193,0.7597026405441388,12852.0,10460.0,0.0097776425816792,102.27414140436476,4118.271013310956,5807.563510718679,1.22868068833652,TRUE,FALSE
7,2430.5743310620765,2313.8566320967693,0.215395476594858,0.138395476594858,0.0151649351388711,0.21539547659485803,0.21541821429157712,0.10017955688462885,1.0346831511562131,0.05450000000000001,0.0225,0.6095535278655799,3200.0952,half-forest,Alpine meadow,RF 1,F1,2023-08-01 20:00:00,2023-08-01 22:00:00,2023-08-01 19:30:00,53.166666666666664,19.333333333333332,9.344716294170574e-06,0.02398349695979246,67.19156181177802,1.5557946110662408,22533.0,18559.6,0.00734093064342412,136.22992007326735,3942.183145983511,5893.157992794397,1.2140886657040024,TRUE,FALSE
4,1850.2630566107823,1757.6534624975152,0.2873169379785822,0.2318169379785822,0.01602044565706958,0.28731693797858215,0.28733471174694475,0.15169048666175472,1.1516752129295567,0.032,0.0235,0.5654055800265824,2907.4872,forest,Ponderosa pine,Fry 4,F2,2023-08-02 14:30:00,2023-08-02 16:30:00,2023-08-02 14:30:00,86.875,12.375,9.758426151305662e-06,0.11078019920797405,53.50223186752186,5.288655420376647,13765.0,17157.0,0.0076344870246605,130.98467798609028,3230.0009866836813,4849.475684206195,0.8022964387713469,TRUE,TRUE
5,2913.607433225014,2776.2354138702967,0.2982351658941924,0.2032351658941924,0.008410023949147317,0.29823516589419247,0.2981784036153282,0.2262934601631443,0.9545266895174276,0.062,0.033,0.6398012492387066,2401.5192,half-forest,Aspen grove,Fry 5,F3,2023-08-02 17:30:00,2023-08-02 19:30:00,2023-08-02 17:30:00,43.25,22.875,9.160990585265721e-06,0.1253231118848144,25.454255108805302,0.6936765907763532,15673.0,10827.5,0.00961163898197025,104.05033010287647,5133.8358198798705,7734.843735647151,1.4475178942507505,TRUE,TRUE
6,5474.261012884869,5250.363639712125,0.08379577888625532,0.02979577888625531,0.001395052191763058,0.08379577888625529,0.08380641465912296,0.08579103787891083,1.3463751240571322,0.036500000000000005,0.0175,0.49193391545013876,2122.0176,half-forest,Riparian floodplain,Fry 6,F4,2023-08-02 20:00:00,2023-08-02 22:30:00,2023-08-02 20:00:00,29.0,27.166666666666668,7.899781329555871e-06,0.04280266256812355,0.9630534494449516,0.2650248896623229,24608.0,12097.6,0.009092906127796322,109.98465900525726,7032.282443542159,10030.540462184665,2.0341224705726755,TRUE,TRUE
8,2345.218593899646,2275.0510344855206,0.30916304412151296,0.210163044121513,0.01417242789188226,0.30916304412151313,0.30924897956349895,,0.8756881922107961,0.0615,0.0375,0.6695516255808316,2992.5264,half-forest,Alpine meadow,RF 2,R1,2024-07-10 15:30:00,2024-07-10 19:00:00,2024-07-10 15:30:00,33.75,11.4,5.705075525171468e-06,,52.24927262210054,1.6618195117633592,19335.0,14529.0,0.00829716644761745,120.53187156477864,4169.330971349253,6398.325015235743,1.3307867024571547,TRUE,TRUE
9,2733.6449919085253,2582.773405162901,0.1925953109653372,0.1220953109653372,0.01815485814185556,0.19259531096533722,0.1925965967219783,0.10518814215198766,0.8915580294162293,0.035,0.035500000000000004,0.6635630077674606,2455.164,forest,Wetland/aspen,RF 3,R2,2023-08-01 15:30:00,2023-08-01 17:30:00,2023-08-01 16:00:00,65.66666666666667,18.833333333333332,1.0781714520991377e-05,0.03092649166113615,28.638776668551863,0.2952573089577675,15385.0,11458.0,0.009375208037495624,106.92084561631634,4307.104206415919,6366.558228325403,1.3427299703264095,TRUE,FALSE
