Fit,KGE,r,beta,gamma,r_squared,RMSE (g/g),UbRMSE (g/g),UbRMSE (cm^3/cm^3)
Des_full,0.74,0.84,0.96,1.2,0.6,0.058,0.057,0.061
Des_sans_outliers,0.84,0.91,0.98,1.1,0.79,0.042,0.042,0.044
UTS_full,0.8,0.83,0.98,0.91,0.68,0.051,0.051,0.056
UTS_sans_outliers,0.8,0.89,1.0,0.83,0.8,0.041,0.041,0.044
