half_hour,datetime,lat,long,mod_nc_cph,swc,bwe,Mod_cv,Mod_sqrt,N0_fit,Rhov_g_cm3,site,SiteName
2023-07-01 00:30:00,2023-07-01 00:30:00,39.332739,-106.978789,1540.6832771653364,1.007720947265625,0.0,0.011749267162315414,85.11169132381286,5248.16816401575,7.944554358632003e-06,R4,RF5
2023-07-01 01:00:00,2023-07-01 01:00:00,39.332739,-106.978789,2514.6275294435195,0.060089111328125,0.0,0.009186304243492507,108.8577052853862,5248.16816401575,8.322980264730754e-06,R4,RF5
2023-07-01 01:30:00,2023-07-01 01:30:00,39.332739,-106.978789,2587.448669887284,0.050201416015625,0.0,0.009059517220319521,110.38115781237303,5248.16816401575,8.48297853391295e-06,R4,RF5
2023-07-01 02:00:00,2023-07-01 02:00:00,39.332739,-106.978789,2526.6425031225153,0.058380126953125,0.0,0.009173925859236192,109.00458705944443,5248.16816401575,8.700753766399735e-06,R4,RF5
2023-07-01 02:30:00,2023-07-01 02:30:00,39.332739,-106.978789,2524.8230669380705,0.058624267578125,0.0,0.00919795460231938,108.71982339941506,5248.16816401575,8.708692881904572e-06,R4,RF5
2023-07-01 03:00:00,2023-07-01 03:00:00,39.332739,-106.978789,2569.5209251562055,0.052520751953125,0.0,0.009090157869233562,110.00909053346456,5248.16816401575,8.65828886180328e-06,R4,RF5
2023-07-01 03:30:00,2023-07-01 03:30:00,39.332739,-106.978789,2489.2497115268156,0.063873291015625,0.0,0.00925212302755615,108.08330120791094,5248.16816401575,8.945929309291004e-06,R4,RF5
2023-07-01 04:00:00,2023-07-01 04:00:00,39.332739,-106.978789,2567.92472346656,0.052703857421875,0.0,0.009126427969889892,109.57189420649804,5248.16816401575,8.45379960385983e-06,R4,RF5
2023-07-01 04:30:00,2023-07-01 04:30:00,39.332739,-106.978789,2532.753226574663,0.057525634765625,0.0,0.009203406627203578,108.65541864076545,5248.16816401575,8.202312386812578e-06,R4,RF5
2023-07-01 05:00:00,2023-07-01 05:00:00,39.332739,-106.978789,2556.556891420548,0.054229736328125,0.0,0.00916390518354299,109.12378292562992,5248.16816401575,8.02546292571802e-06,R4,RF5
2023-07-01 05:30:00,2023-07-01 05:30:00,39.332739,-106.978789,2524.5329266255035,0.058685302734375,0.0,0.00922531208028885,108.39741694339399,5248.16816401575,7.834568172137692e-06,R4,RF5
2023-07-01 06:00:00,2023-07-01 06:00:00,39.332739,-106.978789,2466.6161695844507,0.067352294921875,0.0,0.009335607349326093,107.11675872616759,5248.16816401575,7.668071297654445e-06,R4,RF5
2023-07-01 06:30:00,2023-07-01 06:30:00,39.332739,-106.978789,2540.2061507385947,0.056488037109375,0.0,0.009178561887086671,108.94952959971879,5248.16816401575,7.466665335092088e-06,R4,RF5
2023-07-01 07:00:00,2023-07-01 07:00:00,39.332739,-106.978789,2568.0138967928888,0.052703857421875,0.0,0.009121870452517103,109.62663909835054,5248.16816401575,7.247422178740458e-06,R4,RF5
2023-07-01 07:30:00,2023-07-01 07:30:00,39.332739,-106.978789,2529.978743387236,0.057891845703125,0.0,0.009190182776172597,108.81176406988355,5248.16816401575,7.113914992779138e-06,R4,RF5
2023-07-01 08:00:00,2023-07-01 08:00:00,39.332739,-106.978789,2491.612875351459,0.063507080078125,0.0,0.009253707430860436,108.06479537758817,5248.16816401575,6.811079867683858e-06,R4,RF5
2023-07-01 08:30:00,2023-07-01 08:30:00,39.332739,-106.978789,2479.394650616649,0.065338134765625,0.0,0.009279968166051804,107.75899034419355,5248.16816401575,6.805107860699927e-06,R4,RF5
2023-07-01 09:00:00,2023-07-01 09:00:00,39.332739,-106.978789,2507.023858126744,0.061187744140625,0.0,0.009219037424177585,108.47119433287347,5248.16816401575,6.540574344857916e-06,R4,RF5
2023-07-01 09:30:00,2023-07-01 09:30:00,39.332739,-106.978789,2489.076708100352,0.063873291015625,0.0,0.009243423333081697,108.18502669038817,5248.16816401575,6.477006142783329e-06,R4,RF5
2023-07-01 10:00:00,2023-07-01 10:00:00,39.332739,-106.978789,2484.3979924836212,0.064605712890625,0.0,0.00925212302755615,108.08330120791094,5248.16816401575,6.359260795640574e-06,R4,RF5
2023-07-01 10:30:00,2023-07-01 10:30:00,39.332739,-106.978789,2481.7470716453827,0.064971923828125,0.0,0.009264025931008332,107.94443014810908,5248.16816401575,6.287862133173023e-06,R4,RF5
2023-07-01 11:00:00,2023-07-01 11:00:00,39.332739,-106.978789,2451.372611749307,0.069793701171875,0.0,0.009310486534048232,107.40577265678041,5248.16816401575,6.05680845271572e-06,R4,RF5
2023-07-01 11:30:00,2023-07-01 11:30:00,39.332739,-106.978789,2491.0694697603712,0.063568115234375,0.0,0.009239477030834173,108.23123393919151,5248.16816401575,5.945893114832513e-06,R4,RF5
2023-07-01 12:00:00,2023-07-01 12:00:00,39.332739,-106.978789,2457.8195453760036,0.068756103515625,0.0,0.009300816647554057,107.5174404457249,5248.16816401575,5.888079298746742e-06,R4,RF5
