Date (aggregated based on UTC),Raw_Moderated_cph,Raw_Mod_Coeff_of_Var,Raw_Mod_sqrt,Corrected_Mod_cph_for_Des,SWC_Des_cm3_cm3,Corrected_Mod_cph_for_UTS,SWC_UTS_cm3_cm3,Rhov_g_cm3,BaroPress_mb,SWC_5,SWC_10,SWC_20,SWC_50,WeightedTDR_SWC,WeightedTDR_SD,WeightedTDR_SE,sT_5,sT_10,sT_20,sT_50,PRISM_ppt_mm,BaroPress,airRH,airT
2023-11-23,4840.104166666667,0.010166564277889513,98.37923346712996,1838.639134749135,0.4238251445576724,1806.1916730536532,0.3393262227376302,3.3266084664089535e-06,779.0895833333334,0.22506250000000003,0.2965208333333333,0.29122916666666665,0.05502083333333333,0.2563562550278779,0.1582203954453019,0.08445747895576688,-0.041666666666666664,0.24166666666666667,0.7541666666666668,1.9124999999999999,0.0,779.0895833333334,80.27083333333333,-1.7729166666666665
2023-11-24,5016.0,0.009985280097105592,100.15572990983486,1846.65676661677,0.4149898155520539,1806.625302552159,0.3392194112141927,4.107129492520929e-06,773.5104166666666,0.2129791666666667,0.29024999999999995,0.28754166666666664,0.055,0.24800726474484974,0.14834709642503938,0.07918714739148956,0.10000000000000002,0.20000000000000004,0.6999999999999998,1.8270833333333334,1.0899999,773.5104166666666,79.71041666666666,1.01875
2023-11-25,4781.583333333333,0.010232252613722122,97.77109812605038,1797.4815480096531,0.4790097428494378,1764.1200187213517,0.3823509216308594,3.4910333028104238e-06,774.9958333333334,0.24183333333333334,0.2977083333333333,0.288375,0.055,0.2640183137394071,0.16728134703408454,0.08929418237807246,0.10000000000000002,0.20000000000000004,0.6999999999999998,1.7979166666666666,10.6327,774.9958333333334,89.86041666666667,-3.3395833333333336
2023-11-26,4357.8125,0.01071275517847838,93.35389260158969,1751.493469748333,0.5398126629637229,1730.2717242144274,0.4161059061686198,2.2706675314079478e-06,783.3583333333332,0.2475625,0.299,0.28562499999999996,0.05527083333333333,0.26662764530657795,0.17036707476071258,0.09094133275841018,0.10000000000000002,0.21041666666666667,0.6999999999999998,1.75,2.8983998,783.3583333333332,80.66666666666667,-7.539583333333333
2023-11-27,4303.479166666667,0.010780094458605059,92.77032164667821,1746.8321944708525,0.5475173375170299,1728.393274897966,0.41878509521484375,1.977563860529314e-06,785.56875,0.24325,0.29722916666666666,0.286375,0.056,0.264187033000777,0.16748087004962442,0.08940068704732652,0.10416666666666667,0.2791666666666667,0.6999999999999998,1.7041666666666666,0.0,785.56875,85.15416666666667,-10.237499999999999
2023-11-28,4210.229166666667,0.010898502420503171,91.76060660631224,1760.8265737548365,0.5249716543535826,1740.3579775642895,0.4041748046875,2.178859863648307e-06,788.4250000000001,0.22224999999999998,0.28724999999999995,0.28275,0.0565,0.2504889775810959,0.15128190555573046,0.08075373796722998,0.043750000000000004,0.21458333333333335,0.69375,1.7,0.0,788.4250000000001,85.12083333333334,-8.927083333333334
2023-11-29,4416.166666666667,0.010643987166603823,93.97023624684306,1750.5720457141572,0.5411635418917935,1729.9030487978564,0.41656239827473956,2.21334457847041e-06,782.1,0.18591666666666665,0.2733333333333334,0.27825000000000005,0.057,0.2282151510017021,0.12494145686807635,0.06669330104023417,-0.04583333333333334,0.15833333333333335,0.6166666666666666,1.6937499999999999,0.0,782.1,80.38541666666667,-7.360416666666667
2023-11-30,4681.854166666667,0.010336128592965071,96.76018284491141,1742.664542911338,0.5532645721648606,1718.3574060453586,0.43006006876627606,2.6193885119801114e-06,773.1458333333334,0.1335625,0.25952083333333337,0.2745416666666667,0.057,0.1986836142729393,0.09001822869716194,0.0480514072438549,-0.10625000000000001,0.10625000000000001,0.6,1.6208333333333333,0.0,773.1458333333334,76.60625,-4.395833333333333
2023-12-01,4623.0625,0.010401422386481125,96.15140928121934,1719.7725673966713,0.5956922746381964,1685.4942086432472,0.47773106892903644,3.765945732219056e-06,771.5166666666668,0.12912500000000002,0.25564583333333335,0.27108333333333334,0.05733333333333334,0.1947284645849182,0.08534097142221793,0.04555470410544151,-0.006249999999999999,0.09583333333333334,0.5854166666666666,1.59375,7.3222,771.5166666666668,88.80416666666667,-1.8187499999999999
2023-12-02,4260.604166666667,0.01083768745457545,92.29705171181968,1648.6726235691149,0.753950074502656,1622.844533252415,0.5975087483723959,2.9430804801317888e-06,775.2416666666667,0.15370833333333334,0.2601041666666667,0.26743750000000005,0.058,0.20698386453484283,0.09983388903460126,0.05329097148620841,0.02291666666666667,0.10208333333333335,0.5979166666666667,1.59375,6.9575,775.2416666666667,81.1125,-3.9812499999999997
