Date,DateTime,Raw_Moderated_cph,Raw_Mod_Coeff_of_Var,Raw_Mod_sqrt,Corrected_Mod_cph_for_Des,SWC_Des_cm3_cm3,Corrected_Mod_cph_for_UTS,SWC_UTS_cm3_cm3,Rhov_g_cm3,BaroPress_mb,SWC_5,SWC_10,SWC_20,SWC_50,WeightedTDR_SWC,WeightedTDR_SD,WeightedTDR_SE,sT_5,sT_10,sT_20,sT_50,BaroPress,airRH,airT
2741,2023-08-27 03:30:00,11250.0,0.0094280904158206,106.06601717798212,2535.742625079234,0.0648252645378555,2422.81772871646,0.074554443359375,8.631279851182539e-06,798.1,0.087,,,,0.087,0.06505382386916236,0.04599999999999999,22.7,,,,798.1,49.1,20.3
2742,2023-08-27 04:00:00,10964.0,0.0095502664083972,104.7091209016674,2514.6998321642964,0.0689028940687381,2377.2567114455837,0.082672119140625,1.0706639144262764e-05,799.0,0.087,,,,0.087,0.06505382386916236,0.04599999999999999,22.3,,,,799.0,73.6,17.1
2743,2023-08-27 04:30:00,11134.0,0.0094770766135372,105.51777101512332,2555.217229533574,0.0611739933662781,2412.3023230752083,0.076324462890625,1.0971147009665536e-05,798.9,0.086,,,,0.086,0.06363961030678926,0.044999999999999984,22.0,,,,798.9,85.1,15.1
2744,2023-08-27 05:00:00,11064.0,0.009507009249678,105.18555033843764,2562.2800323610386,0.0598777866934747,2415.8056607571857,0.075714111328125,1.1228090103009948e-05,799.3,0.086,,,,0.086,0.06363961030678926,0.044999999999999984,21.6,,,,799.3,88.7,14.8
2745,2023-08-27 05:30:00,10834.0,0.0096073936207415,104.08650248711405,2507.0648461801625,0.0704177356889364,2363.807583051614,0.085174560546875,1.122304666073312e-05,799.2,0.086,,,,0.086,0.06363961030678926,0.044999999999999984,21.2,,,,799.2,90.3,14.5
2746,2023-08-27 06:00:00,10834.0,0.0096073936207415,104.08650248711405,2501.5725286026154,0.071519428093685,2362.030952107056,0.085540771484375,1.0940175301814472e-05,799.1,0.086,,,,0.086,0.06363961030678926,0.044999999999999984,20.8,,,,799.1,85.9,14.9
2747,2023-08-27 06:30:00,10866.0,0.0095932364664369,104.2401074443038,2481.129427314198,0.07571063124417,2345.746430831234,0.088653564453125,1.0687824116496224e-05,798.8,0.086,,,,0.086,0.06363961030678926,0.044999999999999984,20.5,,,,798.8,81.9,15.3
2748,2023-08-27 07:00:00,10886.0,0.009584419961986,104.33599570617994,2485.192350474181,0.0748660802038951,2350.064020433353,0.087799072265625,1.06481204787609e-05,798.8,0.085,,,,0.085,0.06222539674441619,0.044000000000000004,20.3,,,,798.8,86.2,14.4
2749,2023-08-27 07:30:00,10760.0,0.0096403735909962,103.73041983911952,2449.726729663449,0.082440798882396,2315.887646007032,0.094757080078125,1.0702166633455874e-05,798.4,0.085,,,,0.085,0.06222539674441619,0.044000000000000004,20.0,,,,798.4,91.0,13.6
2750,2023-08-27 08:00:00,10996.0,0.0095363599337346,104.86181383134664,2505.3118811928034,0.0707682621676753,2372.986620560568,0.083465576171875,1.0326513298701074e-05,798.5,0.085,,,,0.085,0.06222539674441619,0.044000000000000004,19.7,,,,798.5,90.0,13.2
2751,2023-08-27 08:30:00,10836.0,0.0096065069617372,104.09610943738484,2464.5826176088262,0.0792114087978521,2336.7003174414667,0.090484619140625,1.0134764506015062e-05,798.4,0.085,,,,0.085,0.06222539674441619,0.044000000000000004,19.3,,,,798.4,93.4,12.3
2752,2023-08-27 09:00:00,11002.0,0.0095337592264638,104.89041900955492,2491.0064283727925,0.0736676006220743,2361.188570295518,0.085662841796875,1.0181458774965769e-05,798.4,0.085,,,,0.085,0.06222539674441619,0.044000000000000004,19.0,,,,798.4,96.2,11.9
2753,2023-08-27 09:30:00,10948.0,0.0095572424987419,104.63269087622665,2486.0756786154075,0.0746832348427643,2359.077848975686,0.086090087890625,9.969199028408536e-06,798.3,0.084,,,,0.084,0.060811183182043094,0.043000000000000003,18.7,,,,798.3,97.8,11.3
2754,2023-08-27 10:00:00,11034.0,0.0095199246329589,105.04284840006956,2503.651286195035,0.0711012652235472,2379.397499321626,0.082244873046875,9.670498745448326e-06,798.4,0.084,,,,0.084,0.060811183182043094,0.043000000000000003,18.4,,,,798.4,97.9,10.8
2755,2023-08-27 10:30:00,10882.0,0.0095861813182375,104.31682510506155,2469.1093286054797,0.078243796748482,2346.619864746958,0.088531494140625,9.666343658230423e-06,798.4,0.083,,,,0.083,0.05939696961967,0.042,18.1,,,,798.4,99.1,10.6
2756,2023-08-27 11:00:00,10970.0,0.0095476543101375,104.7377677822093,2489.490930206809,0.0739788610026493,2369.1563538252485,0.084136962890625,9.405956164699648e-06,798.6,0.084,,,,0.084,0.060811183182043094,0.043000000000000003,17.9,,,,798.6,98.9,10.2
2757,2023-08-27 11:30:00,10732.0,0.0096529413615131,103.59536669175895,2432.637848694023,0.0862610050110083,2316.0142244321587,0.094696044921875,9.325058209085878e-06,798.5,0.083,,,,0.083,0.05939696961967,0.042,17.6,,,,798.5,99.3,10.0
2758,2023-08-27 12:00:00,11018.0,0.0095268343958959,104.96666137398104,2501.581000882747,0.0715177208566813,2383.582628987648,0.081451416015625,9.167523745642053e-06,798.7,0.083,,,,0.083,0.05939696961967,0.042,17.4,,,,798.7,99.5,9.7
2759,2023-08-27 12:30:00,10968.0,0.0095485247713975,104.72821969268836,2489.845479329594,0.0739059705207495,2373.5942468398434,0.083343505859375,9.069791960139142e-06,799.0,0.083,,,,0.083,0.05939696961967,0.042,17.2,,,,799.0,99.7,9.5
2760,2023-08-27 13:00:00,10786.0,0.0096287473650786,103.85566907973777,2452.558948210736,0.081818666998688,2337.720198318341,0.090301513671875,9.097083209768448e-06,799.2,0.082,,,,0.082,0.0579827560572969,0.041,16.9,,,,799.2,100.0,9.5
