Date,DateTime,Raw_Moderated_cph,Raw_Mod_Coeff_of_Var,Raw_Mod_sqrt,Corrected_Mod_cph_for_Des,SWC_Des_cm3_cm3,Corrected_Mod_cph_for_UTS,SWC_UTS_cm3_cm3,Rhov_g_cm3,BaroPress_mb,SWC_5,SWC_10,SWC_20,SWC_50,WeightedTDR_SWC,WeightedTDR_SD,WeightedTDR_SE,sT_5,sT_10,sT_20,sT_50,BaroPress,airRH,airT
0,2023-07-01 01:00:00,10994.0,0.0095372273092363,104.85227703774488,2490.1995883521445,0.0829384659735508,2455.4842743031663,0.078338623046875,2.618123817040664e-06,800.8,0.092,0.124,0.124,0.112,0.10951037508425633,0.0,0.0,22.9,23.6,21.7,18.2,800.8,54.0,0.0
1,2023-07-01 01:30:00,11072.0,0.0095035740158713,105.22357150372724,2517.423627288983,0.0766401787494739,2478.4896702728,0.074249267578125,2.909026463378516e-06,801.1,0.092,0.122,0.124,0.112,0.10884438591047783,0.0007789235578511697,0.0004039558507873837,22.0,23.3,21.7,18.2,801.1,60.0,0.0
2,2023-07-01 02:00:00,11058.0,0.0095095881210803,105.15702544290608,2517.661199992924,0.0765864349488571,2474.895945464112,0.074859619140625,3.199929109716367e-06,801.2,0.092,0.122,0.124,0.112,0.10884438591047783,0.0007789235578511697,0.0004039558507873837,21.1,22.6,21.7,18.2,801.2,66.0,0.0
3,2023-07-01 02:30:00,10806.0,0.0096198326817812,103.95191195932858,2461.980994047557,0.0897728492186284,2425.7803324468164,0.083892822265625,2.76357514020959e-06,801.6,0.09,0.122,0.124,0.112,0.10796607798928927,0.0018061695819563592,0.0009366936752539235,20.4,22.3,21.7,18.2,801.6,57.0,0.0
4,2023-07-01 03:00:00,10832.0,0.0096082805253011,104.0768946500615,2460.4047065318277,0.0901642465223884,2421.1044489593723,0.084808349609375,3.0059940121577997e-06,801.9,0.092,0.122,0.124,0.112,0.10884438591047783,0.0007789235578511697,0.0004039558507873837,20.1,22.0,21.4,18.2,801.9,62.0,0.0
5,2023-07-01 03:30:00,11086.0,0.0094975713066677,105.29007550571896,2531.038039988064,0.0735932298792423,2486.765551192643,0.072784423828125,3.296896658495651e-06,802.0,0.09,0.122,0.124,0.112,0.10796607798928927,0.0018061695819563592,0.0009366936752539235,19.5,21.7,21.4,18.2,802.0,68.0,0.0
6,2023-07-01 04:00:00,10866.0,0.0095932364664369,104.2401074443038,2488.282284911207,0.0833927250614763,2444.757672543431,0.080291748046875,3.296896658495651e-06,802.4,0.09,0.12,0.124,0.112,0.10730008881551077,0.002585093139807529,0.0013406495260413073,18.9,21.1,21.4,18.2,802.4,68.0,0.0
7,2023-07-01 04:30:00,10828.0,0.0096100550715393,104.05767631462852,2493.995309253858,0.08204339006476,2447.223235159478,0.079864501953125,3.5393155304438605e-06,803.0,0.09,0.12,0.122,0.112,0.10691716893993226,0.003032946233522742,0.0015729096440926578,17.9,20.7,21.4,18.2,803.0,73.0,0.0
8,2023-07-01 05:00:00,10768.0,0.0096367918061462,103.76897416858276,2480.8127716412214,0.0851762714782391,2433.662707443412,0.082366943359375,3.5877993048335027e-06,803.0,0.09,0.12,0.122,0.112,0.10691716893993226,0.003032946233522742,0.0015729096440926578,17.3,20.4,21.4,18.2,803.0,74.0,0.0
9,2023-07-01 05:30:00,10752.0,0.0096439593726307,103.69185117452577,2483.4030707680013,0.0845552621869666,2433.703520983168,0.082366943359375,3.78173440239207e-06,803.2,0.088,0.12,0.122,0.112,0.10603886101874371,0.004060192257627915,0.0021056474685591893,16.7,20.1,21.1,18.2,803.2,78.0,0.0
10,2023-07-01 06:00:00,10868.0,0.0095923537209585,104.2497002393772,2509.882697301496,0.0783568730255735,2459.022300964461,0.077728271484375,3.830218176781712e-06,803.4,0.088,0.118,0.122,0.112,0.10537287184496522,0.004839115815479085,0.002509603319346573,16.4,19.8,21.1,18.2,803.4,79.0,0.0
11,2023-07-01 06:30:00,10656.0,0.0096873032286516,103.22790320451152,2451.6363934713686,0.0923606562027791,2401.9563033299787,0.088531494140625,3.830218176781712e-06,803.4,0.088,0.118,0.122,0.112,0.10537287184496522,0.004839115815479085,0.002509603319346573,15.7,19.2,20.7,18.2,803.4,79.0,0.0
12,2023-07-01 07:00:00,10778.0,0.0096323201842609,103.81714694596457,2477.8842936963174,0.0858815895005147,2425.8056063418285,0.083892822265625,3.975669499950637e-06,803.2,0.088,0.118,0.122,0.112,0.10537287184496522,0.004839115815479085,0.002509603319346573,15.1,18.9,20.7,18.2,803.2,82.0,0.0
13,2023-07-01 07:30:00,10662.0,0.0096845770985206,103.25696102442684,2446.862136090936,0.0935704487903729,2397.893868321312,0.089385986328125,3.78173440239207e-06,803.1,0.088,0.118,0.122,0.112,0.10537287184496522,0.004839115815479085,0.002509603319346573,14.8,18.5,20.7,18.2,803.1,78.0,0.0
14,2023-07-01 08:00:00,10976.0,0.0095450443540151,104.76640682967036,2517.719423425028,0.0765732667642798,2464.8035051828238,0.076690673828125,3.975669499950637e-06,802.9,0.086,0.116,0.122,0.112,0.10382857474999815,0.006645285397435445,0.0034462969946004967,14.5,18.2,20.4,18.2,802.9,82.0,0.0
15,2023-07-01 08:30:00,10868.0,0.0095923537209585,104.2497002393772,2499.215887482267,0.0808214136407687,2446.061915914176,0.080047607421875,4.02415327434028e-06,803.2,0.086,0.116,0.122,0.112,0.10382857474999815,0.006645285397435445,0.0034462969946004967,13.8,17.9,20.4,18.2,803.2,83.0,0.0
16,2023-07-01 09:00:00,10622.0,0.0097027949044986,103.06308747558458,2434.45788300387,0.0967604131068277,2383.9029235288785,0.092254638671875,3.927185725560997e-06,803.2,0.086,0.116,0.122,0.112,0.10382857474999815,0.006645285397435445,0.0034462969946004967,13.5,17.6,20.1,18.2,803.2,81.0,0.0
17,2023-07-01 09:30:00,10572.0,0.0097257123980529,102.82023147221562,2418.4372836469443,0.100983174846424,2366.394957654009,0.095916748046875,4.072637048729922e-06,803.1,0.086,0.116,0.122,0.112,0.10382857474999815,0.006645285397435445,0.0034462969946004967,13.2,17.3,20.1,18.2,803.1,84.0,0.0
