Date,DateTime,Raw_Moderated_cph,Raw_Mod_Coeff_of_Var,Raw_Mod_sqrt,Corrected_Mod_cph_for_Des,SWC_Des_cm3_cm3,Corrected_Mod_cph_for_UTS,SWC_UTS_cm3_cm3,Rhov_g_cm3,BaroPress_mb,SWC_5,SWC_10,SWC_20,SWC_50,WeightedTDR_SWC,WeightedTDR_SD,WeightedTDR_SE,sT_5,sT_10,sT_20,sT_50,BaroPress,airRH,airT
17115,2024-06-21 14:30:00,16932.0,0.0076850353600817,130.12301871690497,2172.868752438097,0.2781723551089886,2081.2613525942334,0.271392822265625,8.15098655595253e-06,724.6,0.128,0.096,0.132,,0.11783396374283296,0.045295075772246965,0.023177111304850152,8.7,9.7,11.0,,724.6,89.6,9.5
17116,2024-06-21 15:00:00,17234.0,0.0076174034046531,131.27833027579229,2201.1342698417616,0.2609388715485139,2109.1849043100565,0.255035400390625,8.073099825839617e-06,724.4,0.127,0.096,0.133,,0.11763221696867515,0.0450602596500209,0.023056957859730155,9.3,9.7,10.9,,724.4,80.2,11.1
17117,2024-06-21 15:30:00,16912.0,0.0076895781490108,130.04614565607088,2176.4490972538465,0.2759179161595161,2083.147399192459,0.270233154296875,8.294224518288136e-06,724.5,0.127,0.097,0.132,,0.11775202606349751,0.04519970726781326,0.023128312039045827,9.8,9.8,10.9,,724.5,74.1,12.8
17118,2024-06-21 16:00:00,17012.0,0.0076669443854598,130.43005788544295,2191.213414750614,0.2668432064379233,2097.041098987107,0.261993408203125,8.316154481858339e-06,724.6,0.126,0.097,0.133,,0.1175502792893397,0.044964891145587195,0.02300815859392583,10.2,10.0,10.8,,724.6,64.9,15.0
17119,2024-06-21 16:30:00,16682.0,0.0077424060044227,129.15881696578057,2155.367442118873,0.2895095661764507,2059.457145556345,0.285186767578125,8.624197919544375e-06,724.8,0.126,0.097,0.133,,0.1175502792893397,0.044964891145587195,0.02300815859392583,11.1,10.2,10.8,,724.8,60.0,16.9
17120,2024-06-21 17:00:00,16906.0,0.0076909425573874,130.02307487519283,2180.803719245984,0.2732046421789934,2094.203008114065,0.263641357421875,7.657886396875825e-06,725.0,0.126,0.098,0.132,,0.11767008838416203,0.045104338763379534,0.023079512773241485,12.1,10.6,10.9,,725.0,59.4,15.1
17121,2024-06-21 17:30:00,16906.0,0.0076909425573874,130.02307487519283,2196.2583879410818,0.2638217938227838,2105.2541857452456,0.257232666015625,8.005033382845537e-06,725.7,0.125,0.098,0.132,,0.11724219356633094,0.04460630551222513,0.02282467332549307,13.0,11.1,10.9,,725.7,70.2,13.1
17122,2024-06-21 18:00:00,16694.0,0.0077396228016471,129.20526305069774,2159.8639529126744,0.286545366202533,2077.2476952578136,0.273895263671875,7.365181825956265e-06,726.1,0.124,0.099,0.132,,0.11716025588699548,0.04451093700779143,0.022775874059688745,13.4,11.7,11.1,,726.1,65.8,12.8
17123,2024-06-21 18:30:00,16238.0,0.0078475434951794,127.4284112747232,2114.6868570716238,0.3180782501855956,2031.212849184512,0.304595947265625,7.610305150900556e-06,726.3,0.123,0.099,0.132,,0.11673236106916438,0.044012903756637016,0.022521034611940327,13.8,12.1,11.2,,726.3,69.7,12.4
17124,2024-06-21 19:00:00,16630.0,0.0077545013405304,128.9573572930215,2172.1245962001167,0.278643632972209,2077.1223218050627,0.273956298828125,8.469897796665727e-06,726.1,0.122,0.099,0.132,,0.11630446625133327,0.043514870505482604,0.022266195164191906,14.2,12.5,11.4,,726.1,65.3,15.2
17125,2024-06-21 19:30:00,17010.0,0.0076673951038039,130.42239071570495,2213.084774298763,0.2540234446917891,2127.782397131947,0.244842529296875,7.424037595980628e-06,726.3,0.121,0.099,0.132,,0.11587657143350218,0.04301683725432821,0.022011355716443495,16.1,13.0,11.5,,726.3,60.1,14.4
17126,2024-06-21 20:00:00,16472.0,0.007791603306039,128.34328965707556,2159.821336839181,0.2865732898882822,2076.8263284744285,0.274139404296875,7.400448358511857e-06,727.1,0.119,0.1,0.132,,0.11536673893633563,0.04242343549874011,0.02170771700289076,18.0,13.9,11.7,,727.1,72.6,11.3
17127,2024-06-21 20:30:00,16894.0,0.0076936735544164,129.97692102831178,2196.1899648567646,0.2638625084182852,2112.488861894869,0.253143310546875,7.337413480277202e-06,726.0,0.12,0.1,0.132,,0.11579463375416672,0.042921468749894505,0.02196255645063917,17.8,14.7,12.0,,726.0,70.2,11.7
17128,2024-06-21 21:00:00,17084.0,0.0076507712748745,130.70577645995604,2228.2379173468803,0.2455498239079994,2147.520227139059,0.234588623046875,6.9604561670505344e-06,726.2,0.119,0.1,0.132,,0.11536673893633563,0.04242343549874011,0.02170771700289076,18.2,15.2,12.3,,726.2,61.8,12.9
17129,2024-06-21 21:30:00,16660.0,0.0077475163506662,129.07362240210043,2166.9146853653438,0.2819694973399584,2078.92107958863,0.272857666015625,7.83825434301582e-06,725.1,0.117,0.1,0.132,,0.11451094930067343,0.0414273689964313,0.021198038107393926,19.3,15.7,12.6,,725.1,62.3,14.7
17130,2024-06-21 22:00:00,17188.0,0.0076275897680113,131.10301293257908,2217.969039084083,0.2512568960633154,2136.759604741341,0.240081787109375,7.038126377985944e-06,724.6,0.116,0.1,0.132,,0.11408305448284234,0.0409293357452769,0.020943198659645515,19.9,16.2,12.8,,724.6,55.6,14.8
17131,2024-06-21 22:30:00,17048.0,0.0076588450229701,130.5679899515957,2185.9773062253225,0.2700213355463559,2106.6454945123696,0.256439208984375,6.973682226747848e-06,723.8,0.113,0.1,0.132,,0.11279937002934905,0.039435235991813686,0.02017868031640027,21.6,17.0,13.2,,723.8,50.3,16.3
17132,2024-06-21 23:00:00,17278.0,0.0076076980161689,131.44580632336658,2193.5788863780576,0.2654216106819434,2117.488759933108,0.250396728515625,6.65446939936405e-06,723.2,0.111,0.1,0.132,,0.11194358039368686,0.03843916948950489,0.01966900142090345,22.8,17.8,13.5,,723.2,45.2,17.3
17133,2024-06-21 23:30:00,17264.0,0.0076107820693497,131.39254164525474,2200.653246003832,0.2612216755496946,2112.593780780224,0.253082275390625,7.719093241257036e-06,723.0,0.11,0.099,0.132,,0.11116972843736013,0.037538471491629796,0.019208121791210953,22.6,18.5,13.9,,723.0,51.5,17.6
