,start_date,end_date,length_days
0,2023-07-06,2023-07-06,1
1,2023-07-08,2023-07-31,24
2,2023-08-08,2023-08-19,12
3,2023-08-22,2023-08-24,3
4,2023-09-04,2023-09-14,11
5,2023-09-23,2023-10-03,11
6,2023-10-06,2023-10-11,6
7,2024-06-18,2024-06-20,3
8,2024-07-12,2024-07-16,5
9,2024-07-18,2024-07-27,10
10,2024-07-29,2024-08-05,8
11,2024-09-08,2024-09-10,3
12,2024-09-12,2024-09-21,10
13,2024-09-25,2024-09-30,6
