,start_date,end_date,length_days
0,2023-07-04,2023-07-14,11
1,2023-08-01,2023-09-28,59
2,2023-09-30,2023-10-11,12
3,2024-07-13,2024-07-13,1
4,2024-09-17,2024-09-22,6
5,2024-09-27,2024-09-30,4
