,start_date,end_date,length_days
0,2023-08-04,2023-08-04,1
1,2023-08-07,2023-08-16,10
2,2023-08-21,2023-08-22,2
3,2023-09-06,2023-09-14,9
4,2023-09-16,2023-09-29,14
5,2023-10-01,2023-10-11,11
6,2023-10-23,2023-10-25,3
7,2024-06-17,2024-06-19,3
8,2024-07-07,2024-07-15,9
9,2024-08-01,2024-08-04,4
10,2024-09-08,2024-09-16,9
11,2024-09-20,2024-09-20,1
