,start_date,end_date,length_days
0,2023-07-01,2023-08-02,33
1,2023-08-11,2023-08-18,8
2,2023-08-22,2023-08-24,3
3,2023-09-14,2023-10-11,28
4,2024-08-01,2024-08-04,4
5,2024-09-16,2024-09-17,2
