,start_date,end_date,length_days
0,2023-07-01,2023-07-17,17
1,2023-07-19,2023-07-19,1
2,2023-07-23,2023-07-30,8
3,2023-08-20,2023-08-23,4
4,2023-09-03,2023-09-15,13
5,2023-09-28,2023-10-11,14
6,2024-06-13,2024-06-21,9
7,2024-07-13,2024-07-27,15
8,2024-08-01,2024-08-07,7
9,2024-09-15,2024-09-21,7
