,KGE,r,beta,gamma,r_squared,RMSE,ubRMSE,std_pred,std_obs,std_bias,Site,Method,N0_fit,N0_upper_CI,N0_lower_CI
0,0.6213098130822828,0.8391683629160085,1.1438398600548279,0.6887934177430266,0.37008060121290753,0.034875170246892205,0.02400455516337901,0.03462007941052141,0.04394139546480072,0.009321316054279313,C2,"UTS, single N0 for all sites",6438.99101094194,6885.156459173702,6147.000990104429
1,0.38107283433787487,0.873054592940216,1.431175920324133,0.5745084892108724,-0.21387151743592492,0.06505666070274224,0.028949169219574845,0.048550630922521404,0.05904802919053444,0.010497398268013033,C1,"UTS, single N0 for all sites",6438.99101094194,6885.156459173702,6147.000990104429
2,0.6398023083025147,0.9090281320647593,1.0325752937734045,0.6530052643279063,0.7612362669003735,0.030154422359483884,0.029516983355482824,0.04161072140702368,0.061711603795459834,0.020100882388436152,C3,"UTS, single N0 for all sites",6438.99101094194,6885.156459173702,6147.000990104429
3,0.5238427324958734,0.6851787820718405,1.254271984826859,1.250916523711445,-1.0932959808849025,0.04665180062068639,0.036928555762845955,0.05059098584677675,0.032244310239654586,0.018346675607122165,C4,"UTS, single N0 for all sites",6438.99101094194,6885.156459173702,6147.000990104429
4,0.7378198737588241,0.9313760250412584,1.0764886883057818,0.7587974933422915,0.793369058770999,0.01599580919208554,0.013429986326076272,0.028743781056616242,0.03518913067312951,0.006445349616513267,F2,"UTS, single N0 for all sites",6438.99101094194,6885.156459173702,6147.000990104429
5,0.6517371328838589,0.8604660690352381,0.8389398790287893,0.724542300608215,0.20076199646185888,0.05191358865877667,0.033023462866657,0.03529698198840019,0.05806881833330409,0.022771836344903894,F3,"UTS, single N0 for all sites",6438.99101094194,6885.156459173702,6147.000990104429
6,0.6877979964461192,0.9355405773186942,0.8410370296013279,0.7391440092835109,0.5880121245973451,0.030198709127746477,0.022232250510980447,0.02924760712460365,0.04704854112781261,0.01780093400320896,F4,"UTS, single N0 for all sites",6438.99101094194,6885.156459173702,6147.000990104429
7,0.12517759286663155,0.853296906315204,1.762857911803018,0.5977062606434577,-6.472987385182509,0.09790895060115697,0.02000674355393281,0.03773813078004706,0.03581585071665601,0.0019222800633910547,F1,"UTS, single N0 for all sites",6438.99101094194,6885.156459173702,6147.000990104429
8,0.6454590033322214,0.8890228785194094,1.182525796655276,0.7170375813267408,0.2538296697904049,0.045446521193757514,0.024185792649274566,0.04461020291656773,0.052611617816109416,0.008001414899541683,R1,"UTS, single N0 for all sites",6438.99101094194,6885.156459173702,6147.000990104429
9,0.39372303048698676,0.8889411222733361,1.5937343782299223,0.9478734468058296,-6.404200367598026,0.07759471459499213,0.022020711857672275,0.043078379399442424,0.028516292362221557,0.014562087037220867,R2,"UTS, single N0 for all sites",6438.99101094194,6885.156459173702,6147.000990104429
10,0.6323331662201273,0.8767355212213089,0.7015981058405599,0.8240992367975837,-0.4097663111932819,0.06181632692530658,0.029472763527331438,0.030102152515153534,0.05206305303260386,0.021960900517450328,R5,"UTS, single N0 for all sites",6438.99101094194,6885.156459173702,6147.000990104429
11,0.4898539898101525,0.8604334808068291,0.7837262973973096,0.559550429679577,0.1842314836775205,0.05206540746149503,0.03813561824862539,0.02527955673031823,0.05764555189022283,0.0323659951599046,R3,"UTS, single N0 for all sites",6438.99101094194,6885.156459173702,6147.000990104429
12,0.6225186170297088,0.7181048722770251,0.853238935020603,0.7963126875298204,0.1196382884217686,0.035059401552688184,0.0260442353369457,0.02538798458054152,0.03736576908314931,0.011977784502607787,R7,"UTS, single N0 for all sites",6438.99101094194,6885.156459173702,6147.000990104429
13,0.3822121578239015,0.895030984005218,0.44250345165423205,0.7553759574280525,-2.9898884544654845,0.12034034137664124,0.04316716698344272,0.0201377378233546,0.06024636685782733,0.04010862903447274,R6,"UTS, single N0 for all sites",6438.99101094194,6885.156459173702,6147.000990104429
14,0.631825709167731,0.8388842239610209,0.7842762977103657,0.7488878748215153,0.2614738991974612,0.045178602278955204,0.031523154718024,0.030877046757227612,0.05257143919330494,0.021694392436077327,R4,"UTS, single N0 for all sites",6438.99101094194,6885.156459173702,6147.000990104429
