,KGE,r,beta,gamma,r_squared,RMSE,ubRMSE,std_pred,std_obs,std_bias,Site,Method,N0_fit,N0_CI_upper,N0_CI_lower
0,0.652373647220006,0.8898321615719851,1.1909829095839455,0.7312386620622859,0.2070526608367632,0.039128753937341686,0.02006719512091463,0.03826824270631768,0.04394139546480072,0.005673152758483041,C2,"Desilets, single N0 for all sites",4372.6135692769385,4584.085211205017,4220.45707409992
1,0.40248475735065314,0.905313363948459,1.4922983503381495,0.6748827282258177,-0.45985376254400756,0.07134443184414288,0.025790784272112503,0.05946882800307623,0.05904802919053444,0.0004207988125417908,C1,"Desilets, single N0 for all sites",4372.6135692769385,4584.085211205017,4220.45707409992
2,0.7407443104514748,0.9525527760340928,1.1137846779631408,0.7719313248996377,0.7768870055840821,0.029149376232016,0.019636776608400977,0.05305749444684942,0.061711603795459834,0.008654109348610411,C3,"Desilets, single N0 for all sites",4372.6135692769385,4584.085211205017,4220.45707409992
3,0.742384099571048,0.8607967626947342,1.2164668651304535,1.01142397383346,0.03789760290112387,0.03162741807373489,0.020280843024513842,0.039672230487355395,0.032244310239654586,0.007427920247700809,C4,"Desilets, single N0 for all sites",4372.6135692769385,4584.085211205017,4220.45707409992
4,0.8950821951806925,0.9435299275458982,1.0263210268678273,0.9155838864330162,0.8830137284312622,0.01203582842096834,0.011658498064517863,0.0330666276850445,0.03518913067312951,0.002122502988085008,F2,"Desilets, single N0 for all sites",4372.6135692769385,4584.085211205017,4220.45707409992
5,0.7638076795166392,0.9193731930510103,0.9021644930428604,0.8007154199769474,0.630864441054735,0.03528059736739284,0.0255476684020651,0.04194757999683395,0.05806881833330409,0.01612123833647014,F3,"Desilets, single N0 for all sites",4372.6135692769385,4584.085211205017,4220.45707409992
6,0.8230317326872777,0.9563897868759601,0.8286007156212765,0.9938192022032403,0.6776413668256561,0.0267125786753832,0.015098387241266595,0.038743499814813634,0.04704854112781261,0.008305041312998973,F4,"Desilets, single N0 for all sites",4372.6135692769385,4584.085211205017,4220.45707409992
7,0.08815253577250726,0.8891841747755376,1.8195964229212132,0.6160112574141241,-7.528815936898912,0.10459709962461176,0.018369026453372888,0.04014569626042316,0.03581585071665601,0.004329845543767148,F1,"Desilets, single N0 for all sites",4372.6135692769385,4584.085211205017,4220.45707409992
8,0.6215109658957327,0.9151201357744144,1.2239173345973695,0.7068952664097063,0.030031234859307587,0.051815599985071015,0.02137411433513186,0.04551859159603427,0.052611617816109416,0.007093026220075148,R1,"Desilets, single N0 for all sites",4372.6135692769385,4584.085211205017,4220.45707409992
9,0.34364250578287203,0.9300172057078201,1.6506598905447207,1.0504903511017465,-7.957365052851067,0.08534600476930566,0.025208467119203503,0.04944731620045356,0.028516292362221557,0.020931023838232005,R2,"Desilets, single N0 for all sites",4372.6135692769385,4584.085211205017,4220.45707409992
10,0.6643566235672931,0.9198806441819969,0.6745833084767155,1.0184754389527173,-0.5034912460586436,0.06383811928413942,0.023746193325640524,0.03576973999030478,0.05206305303260386,0.016293313042299085,R5,"Desilets, single N0 for all sites",4372.6135692769385,4584.085211205017,4220.45707409992
11,0.6283169567318996,0.9210500845572208,0.7869644986856057,0.7058383595974156,0.3478068695664063,0.04655366868329462,0.030791345332684184,0.03202035919106639,0.05764555189022283,0.02562519269915644,R3,"Desilets, single N0 for all sites",4372.6135692769385,4584.085211205017,4220.45707409992
12,0.6922900374291254,0.7841017839630366,0.8083323051410817,0.8935252324496815,-0.06193688309755019,0.03850554529753827,0.023305223439321288,0.026987998821906896,0.03736576908314931,0.010377770261242411,R7,"Desilets, single N0 for all sites",4372.6135692769385,4584.085211205017,4220.45707409992
13,0.35473101722530376,0.9408084744309593,0.3727267097342624,1.1392718304291878,-3.7825170434632236,0.13175257903627155,0.03720242975474377,0.025582838944399118,0.06024636685782733,0.034663527913428215,R6,"Desilets, single N0 for all sites",4372.6135692769385,4584.085211205017,4220.45707409992
14,0.7177753429383715,0.8729164010397205,0.7547537074194354,0.9420796071806768,0.24597629816214073,0.04565016643035075,0.027023026269885925,0.03738029498727581,0.05257143919330494,0.015191144206029128,R4,"Desilets, single N0 for all sites",4372.6135692769385,4584.085211205017,4220.45707409992
