date,Date (aggregated based on UTC),Raw_Moderated_cph,Raw_Mod_Coeff_of_Var,Raw_Mod_sqrt,Corrected_Mod_cph_for_Des,SWC_Des_cm3_cm3,Corrected_Mod_cph_for_UTS,SWC_UTS_cm3_cm3,Rhov_g_cm3,SWC_5,SWC_10,SWC_20,SWC_50,WeightedTDR_SWC,WeightedTDR_SD,WeightedTDR_SE,sT_5,sT_10,sT_20,sT_50,PRISM_ppt_mm,BaroPress,airRH,airT,date,CRNS,Bare
2023-06-22,2023-06-22,,0.0097305813063593,102.7792263204284,2031.3978024351532,0.267816616507544,1975.0351391777813,0.2399673461914062,5.284731408470971e-06,,,,,,,,,,,,,,,,2023-06-22,0.2399673461914062,861.8417006204293
2023-06-23,2023-06-23,,0.009617980959553,103.99768623143534,2076.4877249436668,0.2417865384301215,2018.8740077983748,0.2185516357421875,5.284731408470971e-06,,,,,,,,,,,,,,,,2023-06-23,0.2185516357421875,874.0137411040561
2023-06-24,2023-06-24,,0.009712991173378,102.98211795416628,2097.685712928249,0.2303444765192473,2039.4838416276868,0.2091449239979619,5.284731408470971e-06,,,,,,,,,,,,,,,,2023-06-24,0.2091449239979619,867.8527247358471
2023-06-25,2023-06-25,,0.0097859453324879,102.2133680230504,2084.7823647542405,0.2372331781982168,2026.938506575064,0.2148081461588541,5.284731408470971e-06,,,,,,,,,,,,,,,,2023-06-25,0.2148081461588541,876.1250629248873
2023-06-26,2023-06-26,,0.0096920329461549,103.20291170153772,2112.470083661597,0.2227250120181043,2053.8580088508625,0.2028698211020611,5.284731408470971e-06,,,,,,,,,,,,,,,,2023-06-26,0.2028698211020611,846.8298465496615
2023-06-27,2023-06-27,,0.0096125893176801,104.05519324581702,2119.1151359194646,0.2187568063173689,2060.3186891249225,0.1996027628580729,5.284731408470971e-06,,,,,,,,,,,,,,,,2023-06-27,0.1996027628580729,857.0117023022715
2023-06-28,2023-06-28,,0.0096087457493553,104.10013603808764,2141.445179627612,0.2074740205759685,2082.029168938427,0.1903216044108072,5.284731408470971e-06,,,,,,,,,,,,,,,,2023-06-28,0.1903216044108072,850.0819930454754
2023-06-29,2023-06-29,,0.0095834996892341,104.35458593265892,2136.1481973466684,0.208087585683333,2080.0616784585427,0.1895088527513587,4.995536846344298e-06,,,,,,,,,,,,,,,,2023-06-29,0.1895088527513587,850.3575675954306
2023-06-30,2023-06-30,,0.0096934687934433,103.1682800976528,2138.325917868373,0.2067132803277588,2069.833112901423,0.1934756015209441,6.126262873218935e-06,,,,,,,,,,,,,,,,2023-06-30,0.1934756015209441,845.6639242474625
2023-07-01,2023-07-01,5207.208333333333,0.0097911661490466,102.1396692089136,2143.5848208025623,0.2042583123439159,2073.1139253046967,0.1922116486922554,6.292451131939708e-06,0.1121875,0.1333958333333333,0.1347083333333333,0.088625,0.1226664848164109,0.0,0.0,18.654166666666665,17.685416666666665,16.347916666666666,14.2875,0.0,786.5604166666667,66.8625,12.845833333333331,2023-07-01,0.1922116486922554,848.5593282294566
