date,Date (aggregated based on UTC),Raw_Moderated_cph,Raw_Mod_Coeff_of_Var,Raw_Mod_sqrt,Corrected_Mod_cph_for_Des,SWC_Des_cm3_cm3,Corrected_Mod_cph_for_UTS,SWC_UTS_cm3_cm3,Rhov_g_cm3,SWC_5,SWC_10,SWC_20,SWC_50,WeightedTDR_SWC,WeightedTDR_SD,WeightedTDR_SE,sT_5,sT_10,sT_20,sT_50,PRISM_ppt_mm,BaroPress,airRH,airT,date,CRNS,Bare
2023-06-29,2023-06-29,,0.0072192168128479,138.53203026977198,1864.4224841853088,0.1856771491199138,1836.4071745463923,0.1581402946920956,2.828164201444872e-06,,,,,,,,,,,,,,,,2023-06-29,0.1581402946920956,799.3852903632657
2023-06-30,2023-06-30,,0.0072744115267922,137.4879154613699,1872.070812401056,0.1815768272265543,1827.9706943462447,0.1621137346540178,4.469023748848543e-06,,,,,,,,,,,,,,,,2023-06-30,0.1621137346540178,807.7903864462614
2023-07-01,2023-07-01,9194.297297297297,0.0073663710233036,135.75790196526762,1871.4635539624403,0.1813122537095429,1821.8335105264796,0.1645342508951822,5.046890865349155e-06,0.0319583333333333,0.0468541666666666,0.1295833333333333,0.1175208333333333,0.065464648368885,0.0,0.0,12.861702127659576,12.985416666666666,12.675,10.895833333333334,0.7582,699.0291666666667,60.025,9.23125,2023-07-01,0.1645342508951822,803.8654994544939
2023-07-02,2023-07-02,9201.041666666666,0.0073450532686266,136.1498643898898,1875.160823115022,0.1790783109538485,1826.8964212043563,0.1619389851888021,4.894546789520086e-06,0.0311875,0.0457916666666666,0.1254375,0.1170833333333333,0.0638687799328581,0.0018244178843909,0.0008841405724083,15.16875,13.904166666666669,12.695833333333333,10.6375,0.0,699.375,48.13958333333333,12.591666666666669,2023-07-02,0.1619389851888021,810.1658350330343
2023-07-03,2023-07-03,9264.1875,0.0073422538816904,136.20300003851665,1878.4339632127087,0.1775048780245455,1837.2321211055712,0.1573596710854388,4.1563887052789e-06,0.0293125,0.0442708333333333,0.1212708333333333,0.116625,0.061703912853652,0.0042993225365976,0.0020835168965385,16.77446808510638,15.191666666666668,13.475,10.66875,0.15,699.0395833333333,36.90833333333333,14.360416666666666,2023-07-03,0.1573596710854388,810.0161238191504
2023-07-04,2023-07-04,9335.4375,0.0072978119237406,137.03037512776984,1881.4484516938765,0.1757261859726827,1837.1243664415008,0.1571998596191406,4.468317975617379e-06,0.0255833333333333,0.0420208333333333,0.1166249999999999,0.11525,0.0584262560922399,0.0080463830582674,0.0038993992460935,16.97021276595745,15.9875,14.395833333333334,10.95,0.0,697.8854166666666,37.65,14.05,2023-07-04,0.1571998596191406,801.4361001166598
2023-07-05,2023-07-05,9404.208333333334,0.0072786345768498,137.3923923022484,1897.1115054073605,0.1677215004395016,1849.6626807885395,0.1517346700032552,4.750772600601188e-06,0.0238958333333333,0.0404583333333333,0.1122083333333333,0.1136041666666666,0.0561680879309455,0.0106279507404282,0.005150466091987,17.06595744680851,15.4125,13.9125,11.154166666666669,0.4601,697.5291666666667,41.97916666666666,13.954166666666666,2023-07-05,0.1517346700032552,807.3843048183016
2023-07-06,2023-07-06,9565.708333333334,0.0071838158234579,139.21505485373768,1913.5970773587967,0.1596773744904576,1878.1191622951671,0.1399663289388021,3.503479851676337e-06,0.021625,0.0389166666666666,0.1075208333333333,0.1116458333333333,0.0536104110050807,0.0135519208000524,0.0065674663222188,18.57659574468085,16.414583333333333,14.489583333333334,11.275,0.0,697.34375,34.85625,14.645833333333334,2023-07-06,0.1399663289388021,813.4629816554858
2023-07-07,2023-07-07,9797.770833333334,0.0071431673827084,139.9990481654239,1915.7606405478027,0.158638659663378,1877.2054940115927,0.1402842203776041,3.804772580897663e-06,0.0183541666666666,0.0367916666666666,0.1028541666666666,0.1097291666666666,0.0435656459496024,0.0250352289462703,0.0121324515837661,18.22978723404255,16.41875,14.772916666666667,11.489583333333334,0.0,695.8541666666666,31.06458333333333,14.491666666666667,2023-07-07,0.1402842203776041,807.0636635473929
2023-07-08,2023-07-08,9810.3125,0.0071096818707711,140.65743095780587,1931.0227167484784,0.1513865110076075,1897.6911547068064,0.1322479248046875,3.256741008387363e-06,0.0159166666666666,0.0354375,0.0987708333333333,0.1078333333333333,0.04206604106546,0.026749597066089,0.0129632603714585,19.448936170212768,17.075,15.133333333333333,11.679166666666667,0.0,695.4104166666666,28.75208333333333,15.214583333333332,2023-07-08,0.1322479248046875,810.9078653750743
2023-07-09,2023-07-09,9824.8125,0.0071340005005326,140.17824202462316,1953.678727770313,0.1410881389147229,1921.5319847586104,0.1232337951660156,3.101181008607094e-06,0.0132291666666666,0.0336458333333333,0.0947083333333333,0.1059791666666666,0.0404354342391481,0.0286137283372982,0.0138666466533363,18.846808510638297,16.741666666666667,15.110416666666666,11.86875,0.0,697.38125,22.95625,15.579166666666666,2023-07-09,0.1232337951660156,812.2899456342988
2023-07-10,2023-07-10,9693.979166666666,0.007186866168715,139.15251816372498,1940.1447549505392,0.1471490647553295,1897.5986218393796,0.1322720845540364,4.16130366193917e-06,0.0111875,0.0320416666666666,0.09125,0.1039166666666666,0.0389836538474222,0.0302734228654179,0.0146709597894162,18.017777777777777,16.760416666666668,15.295833333333334,11.995833333333332,0.0,698.9125,29.60625,16.006249999999998,2023-07-10,0.1322720845540364,810.6469194266846
2023-07-11,2023-07-11,9617.125,0.0072076867829087,138.74421387589254,1946.4016545112736,0.1442244947044665,1902.337642820011,0.1302528381347656,4.288809519127304e-06,0.0108125,0.0311458333333333,0.0886458333333333,0.1025208333333333,0.0380021529889966,0.0313954876166419,0.0152147293829475,20.07708333333333,17.004166666666666,15.102083333333333,12.064583333333331,0.0,699.7875,32.05833333333333,16.337500000000002,2023-07-11,0.1302528381347656,810.6791185171292
2023-07-12,2023-07-12,9540.270833333334,0.007212491336908,138.65461567820043,1951.1371363484448,0.1420879871448005,1895.361349875586,0.1329396565755208,5.453476932786715e-06,0.0095416666666666,0.0302083333333333,0.0860416666666666,0.1006875,0.0369725383338169,0.0325725566961066,0.0157851549080346,20.804255319148936,17.993750000000002,15.9125,12.23125,0.0,699.7666666666668,40.3625,16.320833333333333,2023-07-12,0.1329396565755208,809.1144420530212
2023-07-13,2023-07-13,9723.083333333334,0.0071536014891098,139.79402595366903,1947.2823076265656,0.1437544197517487,1899.134369598056,0.1314519246419271,4.697427955734816e-06,0.0084166666666666,0.0291458333333333,0.08375,0.0988333333333333,0.0359718180571192,0.0337165933402709,0.0163395724140685,21.102127659574467,18.07708333333333,16.05,12.466666666666669,0.0,699.30625,34.045833333333334,17.397916666666667,2023-07-13,0.1314519246419271,809.8833583028536
2023-07-14,2023-07-14,9932.375,0.0070763626869215,141.32074609121935,1961.992523782751,0.1375181419582467,1920.12014764914,0.1238142804401676,4.040876283324542e-06,0.0074791666666666,0.028125,0.0815,0.0972708333333333,0.0350169561621042,0.0348082040765079,0.0168685835301297,20.12619047619048,18.3,16.279166666666665,12.652083333333332,0.0,699.30625,33.29375,16.020833333333332,2023-07-14,0.1238142804401676,811.9654212047196
