date,Date (aggregated based on UTC),Raw_Moderated_cph,Raw_Mod_Coeff_of_Var,Raw_Mod_sqrt,Corrected_Mod_cph_for_Des,SWC_Des_cm3_cm3,Corrected_Mod_cph_for_UTS,SWC_UTS_cm3_cm3,Rhov_g_cm3,SWC_5,WeightedTDR_SWC,WeightedTDR_SD,WeightedTDR_SE,sT_5,PRISM_ppt_mm,BaroPress,airRH,airT,date,CRNS,Bare
2023-06-28,2023-06-28,,0.0092808799129692,107.74927471121356,2497.646679667888,0.0979419471065926,2487.880015592897,0.08441162109375,7.272566158446289e-07,,,,,,,,,,2023-06-28,0.08441162109375,
2023-06-30,2023-06-30,,0.0092773790439435,107.91825397273637,2554.2700132120226,0.09253290552856,2443.29917399641,0.100115966796875,8.44198857038687e-06,,,,,,,,,,2023-06-30,0.100115966796875,969.9979217874322
2023-07-01,2023-07-01,5863.829787234043,0.009179352567137,108.94985281069052,2583.1953433251706,0.0793751654878271,2493.932200468793,0.0835558573404948,6.627085889331338e-06,0.0393829787234042,0.0393829787234042,0.0,0.0,18.74255319148936,1.7764,796.0829787234043,69.01702127659574,13.378723404255318,2023-07-01,0.0835558573404948,941.9426718068881
2023-07-02,2023-07-02,6051.0625,0.0090703329703645,110.26105141363742,2613.7257359300247,0.0732472570105828,2527.6229424100125,0.0777702331542968,6.314135869144695e-06,0.0403125,0.0403125,0.001314541595876,0.0009295212765957,20.50208333333333,0.0,795.1750000000001,55.56458333333333,16.310416666666665,2023-07-02,0.0777702331542968,931.355287454593
2023-07-03,2023-07-03,6143.354166666667,0.0090289014687494,110.76125996245656,2637.806861601181,0.0685498117854327,2555.390187464729,0.0731099446614583,5.975613624373396e-06,0.0394791666666666,0.0394791666666666,0.0001360302938984,9.618794326241714e-05,21.570833333333336,0.0,794.3458333333333,47.93541666666667,17.575,2023-07-03,0.0731099446614583,933.779239112674
2023-07-04,2023-07-04,6183.916666666667,0.008977182821975,111.402608763757,2627.021509754229,0.0706513293079672,2538.912682547957,0.0758221944173177,6.428632819213329e-06,0.0381666666666666,0.0381666666666666,0.0017201250067162,0.0012163120567375,21.360416666666666,0.0,792.6958333333333,43.833333333333336,18.416666666666668,2023-07-04,0.0758221944173177,930.3278765527854
2023-07-05,2023-07-05,6223.3125,0.0089711745246167,111.47627650036397,2656.755768884445,0.0651309062639849,2559.7365479501827,0.0724322001139323,7.016506044285214e-06,0.0370208333333333,0.0370208333333333,0.0033405780469353,0.0023621453900709,20.697916666666668,0.1545,792.7687500000001,49.77708333333334,17.929166666666667,2023-07-05,0.0724322001139323,933.7718637169677
2023-07-06,2023-07-06,6288.0,0.008866352033803,112.81738502531488,2665.07481243325,0.0636956973228343,2586.827927231765,0.0685195922851562,5.628410127411085e-06,0.0367916666666666,0.0367916666666666,0.0036646686549792,0.0025913120567375,21.085416666666667,0.0,792.5083333333333,53.42291666666667,17.10625,2023-07-06,0.0685195922851562,933.9788346530818
2023-07-07,2023-07-07,6437.375,0.0088157948120292,113.44275483805882,2662.401554851413,0.064070625513241,2585.5223706836787,0.0684611002604166,5.5104272736834895e-06,0.0362083333333333,0.0362083333333333,0.0044896265663635,0.0031746453900709,21.93125,0.0,790.7770833333334,42.79791666666667,17.416666666666668,2023-07-07,0.0684611002604166,933.9513078802192
2023-07-08,2023-07-08,6468.5,0.0087935232092408,113.730478468424,2675.4258301806963,0.0617951816261906,2600.6432949630143,0.0662943522135416,5.336999031698939e-06,0.0353958333333333,0.0353958333333333,0.0056386750857916,0.0039871453900709,22.75,0.0,790.1020833333333,44.84791666666666,17.849999999999998,2023-07-08,0.0662943522135416,937.9186157477433
2023-07-09,2023-07-09,6465.854166666667,0.0088051474785488,113.577184378354,2710.650204185249,0.0556716792490186,2645.962506585644,0.0597267150878906,4.529384656349565e-06,0.0347291666666666,0.0347291666666666,0.0065814841273737,0.0046538120567375,22.37291666666667,0.0,792.2583333333333,38.110416666666666,16.916666666666668,2023-07-09,0.0597267150878906,936.6362018400696
2023-07-10,2023-07-10,6441.270833333333,0.0088340641445348,113.20387556671392,2706.023654361852,0.0564232616813455,2628.27736911096,0.0621655782063802,5.480871657830597e-06,0.0338125,0.0338125,0.007877846559549,0.0055704787234042,22.65833333333333,0.0,793.3354166666667,40.40833333333333,17.872916666666665,2023-07-10,0.0621655782063802,941.3703730986048
2023-07-11,2023-07-11,6377.395833333333,0.0088608279725769,112.86273596758352,2714.4311571504413,0.0550472999887612,2633.649341153118,0.0614306131998697,5.6822272536567445e-06,0.0332916666666666,0.0332916666666666,0.008614416123285,0.0060913120567375,22.90416666666667,0.0,794.3333333333334,42.7125,18.93958333333333,2023-07-11,0.0614306131998697,940.7397296153868
2023-07-12,2023-07-12,6363.375,0.0088439486395603,113.08037308620196,2734.898586394643,0.0516823354467535,2634.5492933684286,0.0613517761230468,7.061183894723788e-06,0.0327916666666666,0.0327916666666666,0.0093215229044715,0.0065913120567375,23.48125,0.0,794.1395833333332,44.98541666666667,19.85833333333333,2023-07-12,0.0613517761230468,941.2296971123275
2023-07-13,2023-07-13,6490.083333333333,0.0087709951667126,114.01828276942278,2729.277815648161,0.0526211830471009,2638.7922393829817,0.0607172648111979,6.3489955696430505e-06,0.0324791666666666,0.0324791666666666,0.0097634646427131,0.0069038120567375,24.089583333333334,0.0,793.46875,44.3125,19.875,2023-07-13,0.0607172648111979,938.9292971387243
2023-07-14,2023-07-14,6534.979166666667,0.0087438045595517,114.37238599812348,2719.523668701601,0.0541091368210181,2642.753668111134,0.0601132710774739,5.386199796606512e-06,0.0319583333333333,0.0319583333333333,0.0105000342064491,0.0074246453900709,24.43541666666667,0.0,793.9,40.927083333333336,19.672916666666666,2023-07-14,0.0601132710774739,936.101526182059
2023-07-15,2023-07-15,6407.9375,0.0088581145216107,112.90056218700232,2747.301025426249,0.0498981656299365,2675.639262667672,0.0559476216634114,4.9634830697250215e-06,0.0308333333333333,0.0308333333333333,0.0120910244641189,0.0085496453900709,23.8375,0.0,795.975,36.70208333333333,17.66875,2023-07-15,0.0559476216634114,945.1195727245528
2023-07-16,2023-07-16,6322.458333333333,0.0089272810064318,112.02255003105444,2742.55119798869,0.0504615799207747,2669.78024152307,0.0565388997395833,5.050803644013343e-06,0.0300416666666666,0.0300416666666666,0.0132106102009976,0.0093413120567375,24.05625,0.0,797.4562500000001,40.458333333333336,18.241666666666667,2023-07-16,0.0565388997395833,944.3958858007762
2023-07-17,2023-07-17,6251.229166666667,0.0089118564248956,112.22132800795798,2765.0688398552397,0.0468736736257908,2683.597051310095,0.0547396341959635,5.630203566067019e-06,0.0296666666666666,0.0296666666666666,0.0137409402868875,0.0097163120567375,24.7125,0.0,796.7645833333332,40.3625,19.95,2023-07-17,0.0547396341959635,947.6673028651443
2023-07-19,2023-07-19,6181.708333333333,0.00899712756486,111.15296282033752,2732.8568912716114,0.0520570871635185,2614.019297231905,0.0642598470052083,8.419494796505761e-06,0.0291875,0.0291875,0.0144185842855246,0.0101954787234042,25.15625,0.0,797.3375,50.8125,21.175,2023-07-19,0.0642598470052083,950.1030864473538
2023-07-20,2023-07-20,5921.041666666667,0.0092430582954679,108.21464738531394,2585.099731944377,0.0795150994059644,2454.9444004920915,0.0914268493652343,9.834004071182674e-06,0.1081914893617021,0.1081914893617021,0.0973099289513742,0.0688085106382978,23.5625,5.2636,797.65625,61.614583333333336,19.6,2023-07-20,0.0914268493652343,1007.886431197865
2023-07-21,2023-07-21,5892.125,0.0091596276248237,109.20554161311324,2630.0185332510896,0.0705155091477524,2520.179244429357,0.0796419779459635,8.104460568185112e-06,0.128125,0.128125,0.1255001700417635,0.0887420212765957,22.18125,0.0,798.0958333333333,64.71041666666666,18.541666666666668,2023-07-21,0.0796419779459635,994.6453773927777
2023-07-22,2023-07-22,6132.416666666667,0.0090182720023619,110.9027950307222,2657.410992432074,0.065190089679572,2573.315734900132,0.0706100463867187,6.065328585567282e-06,0.1100625,0.1100625,0.0999559375713994,0.0706795212765957,22.9125,0.0,797.4958333333334,47.6625,18.85625,2023-07-22,0.0706100463867187,971.942462709203
