date,Date (aggregated based on UTC),Raw_Moderated_cph,Raw_Mod_Coeff_of_Var,Raw_Mod_sqrt,Corrected_Mod_cph_for_Des,SWC_Des_cm3_cm3,Corrected_Mod_cph_for_UTS,SWC_UTS_cm3_cm3,Rhov_g_cm3,SWC_5,SWC_10,WeightedTDR_SWC,WeightedTDR_SD,WeightedTDR_SE,sT_5,sT_10,PRISM_ppt_mm,BaroPress,airRH,airT,date,CRNS,Bare
2023-06-29,2023-06-29,,0.0089131194804582,112.1955710204164,2611.0030993871114,0.0384264096319081,2549.9313681819017,0.030072021484375,4.433343656445273e-06,,,,,,,,,,,,2023-06-29,0.030072021484375,809.7914924639674
2023-06-30,2023-06-30,,0.0089996835445508,111.14405383721108,2599.024435993307,0.0410174243492113,2519.6215261932475,0.0344018270803052,5.858318299437499e-06,,,,,,,,,,,,2023-06-30,0.0344018270803052,838.3217559759264
2023-07-01,2023-07-01,5877.625,0.0092003683372771,108.70446480837008,2544.514694733274,0.0522774517036503,2460.591662208474,0.0426760586825284,6.316843968254423e-06,0.0210833333333333,0.0666458333333333,0.0418066798103039,0.0,0.0,19.135416666666668,18.3875,2.4448,794.8270833333332,59.89166666666667,14.597916666666668,2023-07-01,0.0426760586825284,839.4724857042653
2023-07-02,2023-07-02,6031.0,0.0090833902366663,110.10097447484004,2579.0797476595576,0.0448765967757289,2499.704171105089,0.0369269792423691,5.886189471677034e-06,0.0287708333333333,0.067,0.0461587349269506,0.0053374459626261,0.003089975026699,21.522916666666664,19.53333333333333,0.0,793.9416666666666,48.34166666666667,17.35625,2023-07-02,0.0369269792423691,825.8079237152382
2023-07-03,2023-07-03,6126.916666666667,0.009033448577028,110.70552842049273,2604.814916709169,0.0396971598937801,2532.2908038880228,0.0324483235677083,5.3062068667950025e-06,0.028875,0.0680625,0.0466987835954191,0.005999772267758,0.0034734115535911,23.76458333333333,21.00625,0.0,793.1479166666667,38.9125,18.991666666666667,2023-07-03,0.0324483235677083,821.3182949385633
2023-07-04,2023-07-04,6182.625,0.0089928290952088,111.2066237162162,2590.2018946536127,0.0425761572788789,2511.083090047041,0.0352894176136363,5.837193738965589e-06,0.0215625,0.068375,0.0428543882184512,0.0012849301911838,0.0007438767960577,23.251063829787235,21.13125,0.0,791.4770833333333,38.427083333333336,19.041666666666668,2023-07-04,0.0352894176136363,817.1666551824419
2023-07-05,2023-07-05,6166.770833333333,0.009007368451955,111.0243514571733,2616.115532995504,0.0374857377411988,2520.876631604743,0.0339253743489583,6.995295958230086e-06,0.0186458333333333,0.06825,0.0310423790848448,0.0132015500511088,0.007642692826734,22.502127659574462,20.59375,0.0022,791.5437499999999,48.90833333333333,17.872916666666665,2023-07-05,0.0339253743489583,820.1984293917569
2023-07-06,2023-07-06,6259.145833333333,0.0088972397882187,112.41539570335354,2621.497485344601,0.0365009305634051,2548.793067985725,0.0303981615149456,5.299764761179824e-06,0.0190833333333333,0.0676875,0.0307865353011785,0.0135153218976485,0.0078243428474889,22.30208333333333,19.89583333333333,0.0,791.2666666666668,50.35416666666666,17.46875,2023-07-06,0.0303981615149456,818.6189992392808
2023-07-07,2023-07-07,6422.333333333333,0.0088191614884978,113.39941694417038,2630.465795278244,0.0347933085247907,2560.8802463054963,0.0287807888454861,5.034166898539221e-06,0.0165208333333333,0.0683125,0.0310708061719188,0.0131666865126044,0.0076225094910946,23.922916666666666,21.197916666666668,0.0,789.5104166666666,40.71458333333333,17.35625,2023-07-07,0.0287807888454861,813.4122359755635
2023-07-08,2023-07-08,6448.020833333333,0.008802684689125,113.61584577050448,2640.987534288348,0.032882971679032,2573.673120334077,0.0273260072220203,4.861598534842737e-06,0.0149166666666666,0.0679791666666666,0.0309191950408573,0.0133526253846279,0.0077301539478382,23.870833333333334,21.091666666666665,0.0,788.8395833333334,43.583333333333336,17.4875,2023-07-08,0.0273260072220203,819.6324070569701
