,date,Date (aggregated based on UTC),Raw_Moderated_cph,Raw_Mod_Coeff_of_Var,Raw_Mod_sqrt,Corrected_Mod_cph_for_Des,SWC_Des_cm3_cm3,Corrected_Mod_cph_for_UTS,SWC_UTS_cm3_cm3,Rhov_g_cm3,BaroPress_mb,SWC_5,SWC_10,WeightedTDR_SWC,WeightedTDR_SD,WeightedTDR_SE,sT_5,sT_10,PRISM_ppt_mm,BaroPress,airRH,airT,date.1,CRNS,Bare,scaled_stationary_N_Des,scaled_stationary_N_UTS,N0,TDR_pore_swc_g,TDR_tot_swc_g,NewName,ND
0,2023-07-01,2023-07-01,4789.521739130435,0.0102190596434199,97.86719090387658,2084.577060584663,0.1440527383118467,2009.7968274498644,0.1305780825407608,6.886045540576778e-06,793.8543478260871,0.0668478260869565,0.0472826086956521,0.0577335199523504,0.0,0.0,12.45,12.121739130434785,,793.8543478260871,73.59782608695652,11.956521739130435,2023-07-01,0.1305780825407608,1002.4202481571858,2802.257662531675,2701.7320042242195,3979.3996759280485,0.06603308240345832,0.1365330824034582,C3,6004.307857874323
1,2023-07-02,2023-07-02,4870.354166666667,0.0101333328510278,98.69141658306346,2107.553925525898,0.1351807510870559,2027.420434530282,0.1246935526529948,7.318919329788986e-06,793.1020833333333,0.0660833333333333,0.0472916666666666,0.057329379857938,0.0004953547123428,0.0002864386062118,13.2875,12.714583333333332,0.0063,793.1020833333333,68.33749999999999,13.660416666666668,2023-07-02,0.1246935526529948,1013.2606856475204,2833.1450291155106,2725.4230871380346,4020.105664615824,0.06557084458773357,0.13607084458773347,C3,6051.254682127488
2,2023-07-03,2023-07-03,4915.979166666667,0.0100863216518305,99.15219976816309,2123.430621624537,0.1295845839239336,2045.822176673056,0.1189613342285156,7.022106843557285e-06,792.2833333333333,0.0654583333333333,0.0472291666666666,0.0569664161593079,0.0009402394961384,0.0005436930023446,13.620833333333332,12.891666666666666,1.37,792.2833333333333,64.72916666666667,14.5,2023-07-03,0.1189613342285156,1015.6575297363152,2854.487772513837,2750.1602023536543,4047.529306587588,0.06515570253783108,0.135655702537831,C3,6100.712925954134
3,2023-07-04,2023-07-04,4926.458333333333,0.0100752934068598,99.25880202390393,2115.9020829238248,0.132288596262623,2022.9009037048647,0.1260706583658854,8.50803275708163e-06,790.6708333333332,0.0648333333333333,0.0469166666666666,0.0564869918822912,0.0015278700680991,0.0008834900766549,14.189583333333331,13.464583333333332,0.0,790.6708333333332,64.825,15.710416666666667,2023-07-04,0.1260706583658854,1022.9129446826544,2844.367299799905,2719.347567011654,4029.406787489529,0.06460735795713357,0.13510735795713347,C3,6024.708045361863
4,2023-07-05,2023-07-05,4942.395833333333,0.0100597562547414,99.41685423980157,2118.045012532976,0.1314726427829338,2032.053811678748,0.1233164469401041,7.844083250827833e-06,790.7916666666666,0.0639375,0.046875,0.0559890655251122,0.0021381786488078,0.0012364006977946,13.958333333333334,13.341666666666669,0.8857,790.7916666666666,66.66875,15.116666666666667,2023-07-05,0.1233164469401041,1018.9505867748244,2847.2479996939287,2731.6516487312656,4029.5575984961215,0.06403785150400909,0.134537851504009,C3,6042.908290355787
5,2023-07-06,2023-07-06,5065.375,0.0099377979406761,100.64296744112715,2142.154141819823,0.1232670536868177,2067.130260435124,0.1127955118815104,6.727042725649322e-06,790.5333333333333,0.0632708333333333,0.0464166666666666,0.0554194493404344,0.002836357486315,0.0016401222494809,14.289583333333333,13.51875,0.0,790.5333333333333,61.10625,15.472916666666668,2023-07-06,0.1127955118815104,1021.5302421612716,2879.657447902135,2778.80425784344,4070.867279622248,0.06338634935253423,0.13388634935253413,C3,6138.403236929739
6,2023-07-07,2023-07-07,5166.854166666667,0.0098394253608074,101.64719975541888,2143.8222486949967,0.1227620155247702,2077.612089522532,0.1099077860514323,5.906645301975615e-06,788.8458333333333,0.0620833333333333,0.0458333333333333,0.0545133957382021,0.0039469078318668,0.0022822974124131,14.30625,13.658333333333331,0.0,788.8458333333333,55.14791666666667,15.295833333333334,2023-07-07,0.1099077860514323,1017.5899819994796,2881.8998525420316,2792.8947831748947,4066.7586092139886,0.06235004475465877,0.13285004475465867,C3,6156.091838602647
7,2023-07-08,2023-07-08,5196.083333333333,0.0098119331677999,101.93354989132813,2149.128415256565,0.1208675741999004,2083.3491720640304,0.108252207438151,5.857601798755e-06,788.2041666666668,0.0608125,0.0453333333333333,0.0536016491882276,0.0050644360262641,0.0029285075128312,14.45625,13.76875,0.0,788.2041666666668,54.06458333333333,15.533333333333331,2023-07-08,0.108252207438151,1024.7083996763756,2889.0328322658197,2800.607035130685,4069.452439024355,0.06130722881142121,0.1318072288114211,C3,6158.177236325857
8,2023-07-09,2023-07-09,5220.4375,0.0097878995072817,102.17603993484047,2192.889356557228,0.1070614170871777,2131.167705079439,0.0954780578613281,5.363590132946365e-06,790.3791666666666,0.0592708333333333,0.044625,0.0524481844495163,0.0064782383233924,0.0037460379599188,14.060416666666669,13.602083333333333,0.0,790.3791666666666,52.45625,14.229166666666666,2023-07-09,0.0954780578613281,1025.111222354857,2947.8598410620248,2864.8885880111866,4142.756120438768,0.05998794614506603,0.13048794614506593,C3,6279.787355150404
9,2023-07-10,2023-07-10,5163.708333333333,0.0098408827676562,101.62156529971348,2189.777451574563,0.1078229371209989,2115.1536231486966,0.0994160970052083,6.536153667212255e-06,791.4250000000001,0.058125,0.0442708333333333,0.0516711429477407,0.0074306584740092,0.0042967744194157,14.760416666666666,13.975,0.0,791.4250000000001,52.18541666666667,16.193749999999998,2023-07-10,0.0994160970052083,1026.9845275561026,2943.676565831942,2843.361159427545,4130.419330217789,0.05909919996156633,0.1295991999615662,C3,6221.610255072384
10,2023-07-11,2023-07-11,5124.5,0.0098790759211263,101.23290146017092,2197.5733630087416,0.1057946633712015,2118.30848029264,0.0988413492838541,6.932641359887898e-06,792.4729166666666,0.0569583333333333,0.0436041666666666,0.0507373974378473,0.0085751508043908,0.0049585765175207,15.204166666666666,14.310416666666669,0.0,792.4729166666666,55.80416666666667,16.852083333333333,2023-07-11,0.0988413492838541,1030.5503847750988,2954.156462673327,2847.602174438681,4137.30699644219,0.05803122256733263,0.12853122256733251,C3,6211.47503023702
11,2023-07-12,2023-07-12,5117.145833333333,0.0098856786818076,101.16192743943157,2205.9823787274468,0.1031282480721881,2110.2472484536934,0.1007436116536458,8.404820493752155e-06,792.2624999999999,0.0562083333333333,0.0431041666666666,0.0501038580162339,0.0093516803848261,0.0054076043457818,15.733333333333334,14.722916666666668,0.0,792.2624999999999,59.13958333333333,17.83125,2023-07-12,0.1007436116536458,1031.1377133764115,2965.460544051581,2836.7656123766396,4147.795768137178,0.05730660780509807,0.12780660780509795,C3,6178.598100469683
12,2023-07-13,2023-07-13,5232.958333333333,0.009776013642908,102.29910030305582,2217.8806535279405,0.1000018227085039,2126.264073730368,0.0967903137207031,7.977898326700065e-06,791.6062499999999,0.0551666666666666,0.0423749999999999,0.0492077670725505,0.0104500194948981,0.0060427183681135,15.633333333333333,14.797916666666666,0.0,791.6062499999999,60.49166666666667,17.077083333333334,2023-07-13,0.0967903137207031,1027.7512473828067,2981.4551706648276,2858.2967287885244,4162.544279061742,0.05628169806160633,0.12678169806160622,C3,6208.906028070103
13,2023-07-14,2023-07-14,5287.4375,0.0097255535830479,102.8301186433314,2208.478270316376,0.102518720790603,2129.078178142161,0.0960222880045573,6.912001696473766e-06,792.0124999999999,0.0539166666666666,0.041875,0.0483071488077104,0.0115539077447369,0.0066810411776453,15.439583333333331,14.658333333333331,0.0,792.0124999999999,59.92083333333333,16.160416666666666,2023-07-14,0.0960222880045573,1024.1753366940936,2968.8157240841024,2862.079676322687,4137.238143501626,0.05525161016560884,0.12575161016560873,C3,6202.97885653409
14,2023-07-15,2023-07-15,5166.541666666667,0.0098398003838663,101.64385246217178,2233.224513916969,0.0957214523642952,2162.607781717064,0.0880317687988281,6.043933277220036e-06,794.0729166666666,0.0526875,0.0412708333333333,0.0473691335870104,0.0127036334617527,0.0073458694788648,14.995833333333332,14.445833333333333,0.0,794.0729166666666,55.06875,14.741666666666667,2023-07-15,0.0880317687988281,1036.9216469102737,3002.081633059033,2907.1528906048534,4175.496319687209,0.05417874926235363,0.12467874926235353,C3,6283.828094574979
15,2023-07-16,2023-07-16,5138.1875,0.0098658085922279,101.36836547920936,2257.005411141345,0.0894501146317124,2184.350009346113,0.0831133524576823,6.155515729895164e-06,795.5479166666668,0.0517291666666666,0.040625,0.0465563759766603,0.0136998308642024,0.0079219201115922,15.054166666666667,14.308333333333332,0.0,795.5479166666668,56.75,15.322916666666666,2023-07-16,0.0831133524576823,1033.5588211063337,3034.0498450905875,2936.380557514381,4212.839073266023,0.05324915255142069,0.12374915255142058,C3,6331.661106887073
16,2023-07-17,2023-07-17,5083.75,0.0099192428486166,100.82736412650758,2254.176164064281,0.0902429440770202,2175.0727673887272,0.085302988688151,6.734853144487257e-06,794.9208333333332,0.0507499999999999,0.0403125,0.045887770852358,0.0145193404936572,0.0083958011309692,15.745833333333332,14.65,0.0,794.9208333333332,54.33958333333334,17.322916666666668,2023-07-17,0.085302988688151,1046.3641074669508,3030.2465415568363,2923.9093359635917,4201.68831216486,0.052484431167641094,0.12298443116764099,C3,6293.223478616438
17,2023-07-18,2023-07-18,5204.395833333333,0.0098024323638642,102.0208238820107,2281.6887336902173,0.0830173098388341,2194.2835682035616,0.0808372497558593,7.375556536950523e-06,793.4104166666666,0.0499583333333333,0.0399583333333333,0.045299910197868,0.0152398815867799,0.0088124536453993,16.631249999999998,15.341666666666669,0.0,793.4104166666666,51.60208333333333,18.41875,2023-07-18,0.0808372497558593,1046.2155475479758,3067.231170481321,2949.7340535068424,4247.732000248386,0.051812061787223494,0.1223120617872234,C3,6338.307986900401
18,2023-07-19,2023-07-19,5083.541666666667,0.0099183765372981,100.8289585410916,2252.0525531709727,0.0906397966406367,2149.6865807957465,0.0910631815592448,8.818724996069805e-06,795.4499999999999,0.0491875,0.0395625,0.0447037677321146,0.0159705737000382,0.0092349759819727,17.337500000000002,15.822916666666666,0.0063,795.4499999999999,56.57708333333333,19.34375,2023-07-19,0.0910631815592448,1033.6500184755407,3027.391811448495,2889.783163682541,4187.302219308641,0.05113022003224675,0.12163022003224665,C3,6199.076005664215
19,2023-07-20,2023-07-20,5030.645833333333,0.0099710477399491,100.300766033163,2227.655077414301,0.0974562954887419,2110.6652114759368,0.1008694966634114,1.0256571478097876e-05,795.6833333333334,0.0484375,0.039125,0.0440993434550979,0.0167114168334323,0.0096633681406894,16.98125,15.935416666666669,2.9585,795.6833333333334,70.82083333333334,17.595833333333335,2023-07-20,0.1008694966634114,1030.6431903102862,2994.594744514261,2837.3274721916987,4136.652629718634,0.050438905902711,0.12093890590271089,C3,6075.980343623461
20,2023-07-21,2023-07-21,5093.458333333333,0.0099097773504329,100.92361496003946,2252.565576146874,0.0905915809288026,2155.14251346618,0.0899772644042968,8.386735343584183e-06,796.1374999999999,0.0476875,0.0383541666666666,0.043339638406899,0.0176425876843797,0.0102018172036428,16.316666666666666,15.477083333333333,1.1761,796.1374999999999,67.27499999999999,16.83125,2023-07-21,0.0899772644042968,1046.9514336001437,3028.0814585680264,2897.11747116441,4176.1705271635,0.04956998839878183,0.12006998839878172,C3,6189.97203598592
