Date (aggregated based on UTC),Raw_Moderated_cph,Raw_Mod_Coeff_of_Var,Raw_Mod_sqrt,Corrected_Mod_cph_for_Des,SWC_Des_cm3_cm3,Corrected_Mod_cph_for_UTS,SWC_UTS_cm3_cm3,SWC_5,SWC_10,SWC_20,SWC_50,WeightedTDR_SWC,WeightedTDR_SD,WeightedTDR_SE,sT_5,sT_10,sT_20,sT_50,PRISM_ppt_mm,BaroPress,airRH,airT
2023-06-22,,0.009730581306359325,102.77922632042839,2031.3978024351534,0.21806411161537562,1975.0351391777815,0.19397735595703125,,,,,,,,,,,,,,,
2023-06-23,,0.009617980959553088,103.99768623143534,2076.4877249436668,0.19599797024213506,2018.8740077983748,0.17621866861979166,,,,,,,,,,,,,,,
2023-06-24,,0.009702829830087075,103.09481585116714,236999.47263843936,0.17750744017205913,178937.83788984272,0.1647786891206782,,,,,,,,,,,,,,,
2023-06-25,,0.009785945332487946,102.21336802305039,2084.7823647542405,0.19211946862348586,2026.938506575064,0.17309188842773438,,,,,,,,,,,,,,,
2023-06-26,,0.009692032946154932,103.20291170153773,2112.470083661597,0.17974923905324666,2053.8580088508625,0.1631307399019282,,,,,,,,,,,,,,,
2023-06-27,,0.009612589317680185,104.05519324581702,2119.1151359194646,0.17639990639214378,2060.3186891249225,0.16043472290039062,,,,,,,,,,,,,,,
2023-06-28,,0.009608745749355349,104.10013603808765,2141.4451796276117,0.16676262965485686,2082.029168938427,0.15267308553059897,,,,,,,,,,,,,,,
2023-06-29,,0.00958349968923413,104.35458593265892,2136.1481973466684,0.16738853801214992,2080.0616784585427,0.1520730723505435,,,,,,,,,,,,,,,
2023-06-30,,0.009693468793443393,103.16828009765281,2138.325917868373,0.16622762835724292,2069.833112901423,0.15540524746509307,,,,,,,,,,,,,,,
2023-07-01,5207.208333333333,0.009791166149046644,102.1396692089136,2143.5848208025623,0.16411997236515055,2073.1139253046967,0.15434464164402173,0.1121875,0.13339583333333335,0.13470833333333335,0.088625,0.12267813167651406,0.0,0.0,18.654166666666665,17.685416666666665,16.347916666666666,14.2875,0.0,786.5604166666667,66.8625,12.845833333333333
2023-07-02,5261.5625,0.009744759834070856,102.62359621852833,2145.429346208914,0.16306682153190655,2072.781206381172,0.15428891389266305,0.10768749999999999,0.13075,0.1328541666666667,0.08720833333333333,0.11935240167866415,0.003927484360194038,0.0020891752872772514,17.84468085106383,17.416666666666668,16.474999999999998,14.420833333333334,1.0135,786.0520833333334,61.00208333333333,14.24375
2023-07-03,5280.979166666667,0.00975139730949512,102.55536517618071,2143.983355149367,0.16384983002218872,2074.1596651694113,0.153961181640625,0.10575,0.12977083333333334,0.13133333333333333,0.08635416666666666,0.11783911417578707,0.005714584637086397,0.0030398005201134155,19.435416666666665,18.172916666666666,16.54375,14.422916666666667,0.04,785.2229166666666,53.94583333333333,15.779166666666667
2023-07-04,5279.395833333333,0.009700324764677625,103.0953202588595,2147.2726407251107,0.16248683363554314,2060.1888185630396,0.15898164789727393,0.10252083333333334,0.12852083333333333,0.13077083333333334,0.08529166666666667,0.1158054703765308,0.00811619397426899,0.004317306021545455,19.84375,19.004166666666666,17.575,14.802083333333334,0.0,783.625,61.59583333333333,15.979166666666666
2023-07-05,5306.520833333333,0.009717608802062712,102.9134046130285,2143.806192688836,0.16398376384146635,2067.248261410761,0.15645980834960938,0.077125,0.10872916666666667,0.12735416666666668,0.0850625,0.09686738861802077,0.030480913890410775,0.016213933957034517,20.122916666666665,18.872916666666665,17.34375,15.014583333333334,0.3013,783.6875,56.458333333333336,16.210416666666667
