Date (aggregated based on UTC),Raw_Moderated_cph,Raw_Mod_Coeff_of_Var,Raw_Mod_sqrt,Corrected_Mod_cph_for_Des,SWC_Des_cm3_cm3,Corrected_Mod_cph_for_UTS,SWC_UTS_cm3_cm3,SWC_5,SWC_10,SWC_20,SWC_50,WeightedTDR_SWC,WeightedTDR_SD,WeightedTDR_SE,sT_5,sT_10,sT_20,sT_50,PRISM_ppt_mm,BaroPress,airRH,airT
2023-06-29,,0.00891311948045822,112.1955710204164,2611.0030993871114,0.03832190620254426,2549.9313681819017,0.029949951171875,,,,,,,,,,,,,,,
2023-06-30,,0.008999683544550881,111.14405383721109,2599.024435993307,0.040911366285899295,2519.6215261932475,0.034282595612281974,,,,,,,,,,,,,,,
2023-07-01,5877.625,0.009200368337277118,108.70446480837008,2544.514694733274,0.05216472894746216,2460.5916622084746,0.042551214044744316,0.021083333333333332,0.06664583333333333,,,0.041806679810303934,0.0,0.0,19.135416666666668,18.3875,,,2.4448,794.8270833333332,59.89166666666667,14.597916666666668
2023-07-02,6031.0,0.009083390236666353,110.10097447484004,2579.0797476595576,0.044768305043036104,2499.7041711050892,0.03681058661882267,0.028770833333333332,0.067,,,0.04615873492695065,0.005337445962626199,0.0030899750266990622,21.522916666666664,19.533333333333335,,,0.0,793.9416666666666,48.34166666666667,17.35625
2023-07-03,6126.916666666667,0.009033448577028083,110.70552842049271,2604.814916709169,0.03959190645283251,2532.2908038880228,0.032334391276041666,0.028875,0.06806250000000001,,,0.046698783595419166,0.005999772267758087,0.003473411553591115,23.764583333333334,21.006249999999998,,,0.0,793.1479166666667,38.9125,18.991666666666667
2023-07-04,6182.625,0.008992829095208871,111.2066237162162,2590.2018946536127,0.042469226171741724,2511.083090047041,0.0351715087890625,0.0215625,0.068375,,,0.04285438821845128,0.0012849301911838607,0.0007438767960577558,23.251063829787235,21.131249999999998,,,0.0,791.4770833333333,38.427083333333336,19.041666666666668
2023-07-05,6166.770833333333,0.009007368451955055,111.0243514571733,2616.1155329955036,0.037381769695857485,2520.876631604743,0.0338134765625,0.018645833333333334,0.06825,,,0.031042379084844852,0.013201550051108823,0.007642692826734074,22.502127659574466,20.59375,,,0.0022,791.5437499999999,48.90833333333333,17.872916666666665
2023-07-06,6259.145833333333,0.008897239788218778,112.41539570335354,2621.4974853446015,0.036397521681187726,2548.793067985725,0.030295993970788044,0.019083333333333334,0.0676875,,,0.03078653530117854,0.013515321897648518,0.007824342847488917,22.302083333333332,19.895833333333332,,,0.0,791.2666666666668,50.354166666666664,17.46875
2023-07-07,6422.333333333333,0.008819161488497828,113.39941694417038,2630.465795278244,0.03469088469890752,2560.8802463054963,0.028666856553819446,0.016520833333333335,0.0683125,,,0.03107080617191888,0.013166686512604421,0.0076225094910946515,23.922916666666666,21.197916666666668,,,0.0,789.5104166666666,40.71458333333333,17.35625
2023-07-08,6448.020833333333,0.008802684689125002,113.61584577050448,2640.987534288348,0.03278163209190013,2573.673120334077,0.027222389398619186,0.014916666666666667,0.06797916666666667,,,0.03091919504085737,0.013352625384627935,0.0077301539478382576,23.870833333333334,21.091666666666665,,,0.0,788.8395833333334,43.583333333333336,17.4875
2023-07-09,6476.0625,0.008810284894922273,113.50898984203312,2676.1723934530883,0.026297999814562427,2621.0344047988133,0.021418980189732144,0.013625,0.06752083333333334,,,0.03071072973564779,0.013608291333660271,0.007878165075860718,21.057499999999997,21.150000000000002,,,0.0,791.0166666666668,31.5,17.722916666666666
2023-07-10,6419.25,0.008837455286133767,113.16021194354087,2669.9345478744685,0.02737857185379837,2605.3056690620847,0.023229689825148808,0.012895833333333334,0.06806250000000001,,,0.03095709782362275,0.013306140666622054,0.0077032428336523545,25.754166666666666,22.474999999999998,,,0.0,792.1041666666666,28.354166666666668,19.908333333333335
2023-07-11,6353.833333333333,0.008883295840799032,112.57584213170372,2670.1369407241277,0.02732842806463765,2599.6695849128055,0.02386829464934593,0.01275,0.06756250000000001,,,0.03072968112703048,0.013585048974657328,0.007864709518767766,23.866666666666667,22.535416666666666,,,0.0,793.0958333333333,33.735416666666666,20.652083333333334
2023-07-12,6287.75,0.0089010025885473,112.3550681509945,2672.619834597197,0.02687951125428976,2583.7817463988968,0.02577572777157738,0.012208333333333333,0.06747916666666667,,,0.030691778344265102,0.013631533692663208,0.007891620632953667,26.397916666666664,23.193749999999998,,,0.0,792.8916666666668,36.72708333333333,21.03125
2023-07-13,6422.333333333333,0.008822508443069905,113.35133121620511,2665.652907040492,0.02815203473879597,2586.691484086489,0.02541559392755682,0.012458333333333333,0.06733333333333334,,,0.03062544847442569,0.013712881949173498,0.007938715082778998,25.672727272727272,23.629166666666666,,,0.0,792.1979166666666,37.47083333333333,21.131249999999998
2023-07-14,6503.458333333333,0.008762516796530945,114.12789145325252,2676.955716130688,0.02614480511022334,2609.677696652775,0.02271670386904762,0.011625000000000002,0.0666875,,,0.030331701907994005,0.014073138513719064,0.008147276217719738,24.01707317073171,23.425,,,0.0,792.6104166666668,36.454166666666666,20.116666666666667
2023-07-15,6364.854166666667,0.008892003278097393,112.46880894777661,2698.278809783642,0.02260562502126692,2635.1204607318305,0.019973400027252907,0.010583333333333333,0.0661875,,,0.03010428521140173,0.014352046821754345,0.008308742902835155,23.2625,23.516666666666666,,,0.0,794.6916666666666,33.77291666666667,18.175
